File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/DeepSpeech/native_client/generate_trie.cpp,"generate_trie( const char * alphabet_path , const char * kenlm_path , const char * trie_path)",6, 94, 0, 0
repos/cpp/DeepSpeech/native_client/generate_trie.cpp,"main( int argc , char ** argv)",8, 92, 4, 0
repos/cpp/DeepSpeech/native_client/client.cc,"LocalDsSTT( ModelState * aCtx , const short * aBuffer , size_t aBufferSize , int aSampleRate)",16, 73, 2, 0
repos/cpp/DeepSpeech/native_client/client.cc,"GetAudioBuffer( const char * path)",150, 161, 4, 0
repos/cpp/DeepSpeech/native_client/client.cc,"ProcessFile( ModelState * context , const char * path , bool show_times)",23, 68, 0, 0
repos/cpp/DeepSpeech/native_client/client.cc,"main( int argc , char ** argv)",78, 84, 2, 0
repos/cpp/DeepSpeech/native_client/trie_load.cc,"main( int argc , char ** argv)",13, 75, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"calc_hamming_window()",7, 61, 4, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"ModelState::ModelState()",24, 32, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"ModelState::~ModelState()",15, 80, 6, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"StreamingState::feedAudioContent( const short * buffer , unsigned int buffer_size)",25, 108, 6, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"StreamingState::intermediateDecode()",4, 44, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"StreamingState::finishStream()",17, 84, 4, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"StreamingState::processAudioWindow( const vector<float> & buf)",13, 93, 26, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"StreamingState::addZeroMfccWindow()",5, 57, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"StreamingState::pushMfccBuffer( const float * buf , unsigned int len)",17, 120, 4, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"StreamingState::processMfccWindow( const vector<float> & buf)",16, 174, 4, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"StreamingState::processBatch( const vector<float> & buf , unsigned int n_steps)",4, 77, 0, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"ModelState::infer( const float * aMfcc , unsigned int n_frames , vector<float> & logits_output)",70, 128, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"ModelState::decode( vector<float> & logits)",17, 70, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"tflite_get_tensor_by_name( const ModelState * ctx , const vector<int> & list , const char * name)",14, 96, 0, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"tflite_get_input_tensor_by_name( const ModelState * ctx , const char * name)",4, 103, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"tflite_get_output_tensor_by_name( const ModelState * ctx , const char * name)",4, 105, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_CreateModel( const char * aModelPath , unsigned int aNCep , unsigned int aNContext , const char * aAlphabetConfigPath , unsigned int aBeamWidth , ModelState ** retval)",169, 146, 4, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_DestroyModel( ModelState * ctx)",4, 33, 0, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_EnableDecoderWithLM( ModelState * aCtx , const char * aAlphabetConfigPath , const char * aLMPath , const char * aTriePath , float aLMAlpha , float aLMBeta)",17, 58, 30, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_SpeechToText( ModelState * aCtx , const short * aBuffer , unsigned int aBufferSize , unsigned int aSampleRate)",13, 59, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_SetupStream( ModelState * aCtx , unsigned int aPreAllocFrames , unsigned int aSampleRate , StreamingState ** retval)",41, 79, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_FeedAudioContent( StreamingState * aSctx , const short * aBuffer , unsigned int aBufferSize)",6, 49, 2, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_IntermediateDecode( StreamingState * aSctx)",4, 45, 0, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_FinishStream( StreamingState * aSctx)",6, 39, 0, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_DiscardStream( StreamingState * aSctx)",4, 40, 0, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_AudioToInputVector( const short * aBuffer , unsigned int aBufferSize , unsigned int aSampleRate , unsigned int aNCep , unsigned int aNContext , float ** aMfcc , int * aNFrames , int * aFrameLen)",66, 82, 26, 0
repos/cpp/DeepSpeech/native_client/deepspeech.cc,"DS_PrintVersions()",10, 70, 2, 0
repos/cpp/DeepSpeech/native_client/c_speech_features/c_speech_features.cpp,"csf_mfcc( const T * aSignal , unsigned int aSignalLen , int aSampleRate , csf_float aWinLen , csf_float aWinStep , int aNCep , int aNFilters , int aNFFT , int aLowFreq , int aHighFreq , csf_float aPreemph , int aCepLifter , int aAppendEnergy , csf_float * aWinFunc , csf_float ** aMFCC)",62, 83, 2, 0
repos/cpp/DeepSpeech/native_client/c_speech_features/c_speech_features.cpp,"csf_fbank( const T * aSignal , unsigned int aSignalLen , int aSampleRate , csf_float aWinLen , csf_float aWinStep , int aNFilters , int aNFFT , int aLowFreq , int aHighFreq , csf_float aPreemph , csf_float * aWinFunc , csf_float ** aFeatures , csf_float ** aEnergy)",72, 80, 10, 0
repos/cpp/DeepSpeech/native_client/c_speech_features/c_speech_features.cpp,"csf_logfbank( const T * aSignal , unsigned int aSignalLen , int aSampleRate , csf_float aWinLen , csf_float aWinStep , int aNFilters , int aNFFT , int aLowFreq , int aHighFreq , csf_float aPreemph , csf_float * aWinFunc , csf_float ** aFeatures , csf_float ** aEnergy)",18, 80, 2, 0
