File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/bitcoin/build_msvc/testconsensus/testconsensus.cpp,"BuildSpendingTransaction( const CScript & scriptSig , const CScriptWitness & scriptWitness , int nValue = 0)",17, 124, 0, 0
repos/cpp/bitcoin/build_msvc/testconsensus/testconsensus.cpp,"main()",23, 215, 4, 0
repos/cpp/bitcoin/src/psbt.cpp,"PartiallySignedTransaction::PartiallySignedTransaction( const CMutableTransaction & tx)",5, 95, 0, 0
repos/cpp/bitcoin/src/psbt.cpp,"PartiallySignedTransaction::IsNull() const",4, 72, 4, 0
repos/cpp/bitcoin/src/psbt.cpp,"PartiallySignedTransaction::Merge( const PartiallySignedTransaction & psbt)",17, 79, 0, 0
repos/cpp/bitcoin/src/psbt.cpp,"PartiallySignedTransaction::IsSane() const",7, 48, 0, 0
repos/cpp/bitcoin/src/psbt.cpp,"PartiallySignedTransaction::AddInput( const CTxIn & txin , PSBTInput & psbtin)",12, 80, 0, 0
repos/cpp/bitcoin/src/psbt.cpp,"PartiallySignedTransaction::AddOutput( const CTxOut & txout , const PSBTOutput & psbtout)",6, 91, 0, 0
repos/cpp/bitcoin/src/psbt.cpp,"PartiallySignedTransaction::GetInputUTXO( CTxOut & utxo , int input_index) const",13, 83, 0, 0
repos/cpp/bitcoin/src/psbt.cpp,"PSBTInput::IsNull() const",4, 172, 4, 0
repos/cpp/bitcoin/src/psbt.cpp,"PSBTInput::FillSignatureData( SignatureData & sigdata) const",25, 73, 4, 0
repos/cpp/bitcoin/src/psbt.cpp,"PSBTInput::FromSignatureData( const SignatureData & sigdata)",28, 79, 4, 0
repos/cpp/bitcoin/src/psbt.cpp,"PSBTInput::Merge( const PSBTInput & input)",17, 130, 4, 0
repos/cpp/bitcoin/src/psbt.cpp,"PSBTInput::IsSane() const",11, 88, 4, 0
repos/cpp/bitcoin/src/psbt.cpp,"PSBTOutput::FillSignatureData( SignatureData & sigdata) const",12, 72, 8, 0
