File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"swap_endian( uint32_t val)",63, 4, 0
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"read_image( std :: ifstream * image_file , std :: ifstream * label_file , uint32_t index , uint32_t rows , uint32_t cols , char * pixels , char * label)",70, 0, 0
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"convert_dataset( const char * image_filename , const char * label_filename , const char * db_filename)",77, 0, 0
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"main( int argc , char ** argv)",81, 4, 0
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"main( int argc , char ** argv)",76, 2, 0
repos/cpp/caffe/examples/cifar10/convert_cifar_data.cpp,"read_image( std :: ifstream * file , int * label , char * buffer)",65, 0, 0
repos/cpp/caffe/examples/cifar10/convert_cifar_data.cpp,"convert_dataset( const string & input_folder , const string & output_folder , const string & db_type)",78, 0, 0
repos/cpp/caffe/examples/cifar10/convert_cifar_data.cpp,"main( int argc , char ** argv)",81, 4, 0
repos/cpp/caffe/examples/mnist/convert_mnist_data.cpp,"swap_endian( uint32_t val)",63, 4, 0
repos/cpp/caffe/examples/mnist/convert_mnist_data.cpp,"convert_dataset( const char * image_filename , const char * label_filename , const char * db_path , const string & db_backend)",77, 0, 0
repos/cpp/caffe/examples/mnist/convert_mnist_data.cpp,"main( int argc , char ** argv)",76, 8, 0
repos/cpp/caffe/examples/mnist/convert_mnist_data.cpp,"main( int argc , char ** argv)",62, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::Classifier( const string & model_file , const string & trained_file , const string & mean_file , const string & label_file)",81, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"PairCompare( const std :: pair<float,int> & lhs , const std :: pair<float,int> & rhs)",60, 24, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Argmax( const std :: vector<float> & v , int N)",81, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::Classify( const cv :: Mat & img , int N)",74, 0, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::SetMean( const string & mean_file)",77, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::Predict( const cv :: Mat & img)",71, 23, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::WrapInputLayer( std :: vector<cv::Mat> * input_channels)",72, 0, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::Preprocess( const cv :: Mat & img , std :: vector<cv::Mat> * input_channels)",74, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"main( int argc , char ** argv)",75, 4, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"main( int argc , char ** argv)",74, 2, 0
repos/cpp/caffe/tools/upgrade_net_proto_text.cpp,"main( int argc , char ** argv)",78, 2, 0
repos/cpp/caffe/tools/upgrade_net_proto_binary.cpp,"main( int argc , char ** argv)",79, 8, 0
repos/cpp/caffe/tools/extract_features.cpp,"main( int argc , char ** argv)",60, 0, 0
repos/cpp/caffe/tools/extract_features.cpp,"feature_extraction_pipeline( int argc , char ** argv)",81, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"GetBrewFunction( const caffe :: string & name)",76, 4, 0
repos/cpp/caffe/tools/caffe.cpp,"get_gpus( vector<int> * gpus)",61, 4, 0
repos/cpp/caffe/tools/caffe.cpp,"get_phase_from_flags( caffe :: Phase default_value)",64, 0, 0
repos/cpp/caffe/tools/caffe.cpp,"get_stages_from_flags()",60, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"device_query()",46, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"GetRequestedAction( const std :: string & flag_value)",79, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"train()",80, 6, 0
repos/cpp/caffe/tools/caffe.cpp,"test()",78, 4, 0
repos/cpp/caffe/tools/caffe.cpp,"time()",78, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"main( int argc , char ** argv)",64, 4, 0
repos/cpp/caffe/tools/convert_imageset.cpp,"main( int argc , char ** argv)",81, 4, 0
repos/cpp/caffe/tools/upgrade_solver_proto_text.cpp,"main( int argc , char ** argv)",78, 2, 0
repos/cpp/caffe/tools/compute_image_mean.cpp,"main( int argc , char ** argv)",79, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::set_mode_cpu()",53, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::set_mode_gpu()",53, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::InitLog()",43, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::InitLogLevel( int level)",31, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::InitLogLevelPipe( int level , bool stderr)",48, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Log( const string & s)",28, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::set_random_seed( unsigned int seed)",74, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::CheckFile( const string & filename)",67, 6, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::CheckContiguousArray( PyArrayObject * arr , string name , int channels , int height , int width)",70, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_Init( string network_file , int phase , const int level , const bp :: object & stages , const bp :: object & weights)",70, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_Init_Load( string param_file , string pretrained_param_file , int phase)",78, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_Save( const Net<Dtype> & net , string filename)",56, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_SaveHDF5( const Net<Dtype> & net , string filename)",60, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_LoadHDF5( Net<Dtype> * net , string filename)",54, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_SetInputArrays( Net<Dtype> * net , bp :: object data_obj , bp :: object labels_obj)",76, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::GetSolverFromFile( const string & filename)",59, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NdarrayConverterGenerator::apply<Dtype*>::type::operator ( )( Dtype * data) const",81, 6, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NdarrayConverterGenerator::apply<Dtype*>::type::get_pytype()",39, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NdarrayCallPolicies::postcall( PyObject * pyargs , PyObject * result)",78, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Blob_Reshape( bp :: tuple args , bp :: dict kwargs)",64, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::BlobVec_add_blob( bp :: tuple args , bp :: dict kwargs)",69, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::SolverCallback::SolverCallback( bp :: object on_start , bp :: object on_gradients_ready)",71, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::SolverCallback::on_gradients_ready()",38, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::SolverCallback::on_start()",28, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Solver_add_callback( Solver<Dtype> * solver , bp :: object on_start , bp :: object on_gradients_ready)",81, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Solver_add_nccl( Solver<Dtype> * solver , NCCL<Dtype> * nccl)",43, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::share_weights( Solver<Dtype> * solver , Net<Dtype> * net)",61, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NetCallback::NetCallback( bp :: object run)",54, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NetCallback::run( int layer)",32, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_before_forward( Net<Dtype> * net , bp :: object run)",59, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_after_forward( Net<Dtype> * net , bp :: object run)",58, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_before_backward( Net<Dtype> * net , bp :: object run)",60, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_after_backward( Net<Dtype> * net , bp :: object run)",59, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_add_nccl( Net<Dtype> * net , NCCL<Dtype> * nccl)",34, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NCCL::NCCL( shared_ptr<Solver<Dtype>> solver , const string & uid)",64, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::HasNCCL()",17, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NCCL_New_Uid()",65, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::BOOST_PYTHON_MODULE( _caffe)",81, 8, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"mxCHECK( bool expr , const char * msg)",50, 0, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"mxERROR( const char * msg)",60, 0, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"mxCHECK_FILE_EXIST( const char * file)",45, 4, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"mx_mat_to_blob( const mxArray * mx_mat , Blob<float> * blob , WhichMemory data_or_diff)",80, 6, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"blob_to_mx_mat( const Blob<float> * blob , WhichMemory data_or_diff)",81, 4, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"int_vec_to_mx_vec( const vector<int> & int_vec)",69, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"str_vec_to_mx_strcell( const vector<std::string> & str_vec)",76, 0, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"handle_to_ptr( const mxArray * mx_handle)",80, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"create_handle_vec( int ptr_num)",76, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"setup_handle( const T * ptr , int index , mxArray * mx_handle_vec)",80, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"ptr_to_handle( const T * ptr)",48, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"ptr_vec_to_handle_vec( const vector<shared_ptr<T>> & ptr_vec)",79, 0, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"get_solver( MEX_ARGS)",65, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"delete_solver( MEX_ARGS)",66, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"solver_get_attr( MEX_ARGS)",80, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"solver_get_iter( MEX_ARGS)",66, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"solver_restore( MEX_ARGS)",66, 6, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"solver_solve( MEX_ARGS)",66, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"solver_step( MEX_ARGS)",67, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"get_net( MEX_ARGS)",73, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"delete_net( MEX_ARGS)",57, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"net_get_attr( MEX_ARGS)",81, 6, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"net_forward( MEX_ARGS)",57, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"net_backward( MEX_ARGS)",57, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"net_copy_from( MEX_ARGS)",65, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"net_reshape( MEX_ARGS)",57, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"net_save( MEX_ARGS)",65, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"layer_get_attr( MEX_ARGS)",70, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"layer_get_type( MEX_ARGS)",63, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"blob_get_shape( MEX_ARGS)",75, 4, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"blob_reshape( MEX_ARGS)",73, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"blob_get_data( MEX_ARGS)",60, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"blob_set_data( MEX_ARGS)",67, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"blob_get_diff( MEX_ARGS)",60, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"blob_set_diff( MEX_ARGS)",67, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"set_mode_cpu( MEX_ARGS)",55, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"set_mode_gpu( MEX_ARGS)",55, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"set_device( MEX_ARGS)",58, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"get_init_key( MEX_ARGS)",55, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"reset( MEX_ARGS)",75, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"read_mean( MEX_ARGS)",71, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"write_mean( MEX_ARGS)",81, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"version( MEX_ARGS)",54, 2, 0
repos/cpp/caffe/matlab/+caffe/private/caffe_.cpp,"mexFunction( MEX_ARGS)",68, 2, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::GetRandomSeedFromFlag( Int32 random_seed_flag)",71, 2, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::GetNextRandomSeed( int seed)",64, 6, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::GTestFlagSaver::GTestFlagSaver()",68, 4, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::GTestFlagSaver::~GTestFlagSaver()",68, 4, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::CountIf( const Container & c , Predicate predicate)",81, 2, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::ForEach( const Container & c , Functor functor)",52, 0, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::GetElementOr( const std :: vector<E> & v , int i , E default_value)",76, 2, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::ShuffleRange( internal :: Random * random , int begin , int end , std :: vector<E> * v)",78, 6, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::Shuffle( internal :: Random * random , std :: vector<E> * v)",67, 0, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::Delete( T * x)",27, 0, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::TestPropertyKeyIs::TestPropertyKeyIs( const char * key)",46, 2, 0
repos/cpp/caffe/src/gtest/gtest-all.cpp,"testing::internal::TestPropertyKeyIs::operator ( )( const TestProperty & test_property) const",61, 2, 0
