File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"swap_endian( uint32_t val)",4, 63, 4, 0
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"read_image( std :: ifstream * image_file , std :: ifstream * label_file , uint32_t index , uint32_t rows , uint32_t cols , char * pixels , char * label)",8, 70, 0, 0
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"convert_dataset( const char * image_filename , const char * label_filename , const char * db_filename)",72, 77, 0, 0
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"main( int argc , char ** argv)",16, 81, 4, 0
repos/cpp/caffe/examples/siamese/convert_mnist_siamese_data.cpp,"main( int argc , char ** argv)",3, 76, 2, 0
repos/cpp/caffe/examples/cifar10/convert_cifar_data.cpp,"read_image( std :: ifstream * file , int * label , char * buffer)",7, 65, 0, 0
repos/cpp/caffe/examples/cifar10/convert_cifar_data.cpp,"convert_dataset( const string & input_folder , const string & output_folder , const string & db_type)",53, 78, 0, 0
repos/cpp/caffe/examples/cifar10/convert_cifar_data.cpp,"main( int argc , char ** argv)",18, 81, 4, 0
repos/cpp/caffe/examples/mnist/convert_mnist_data.cpp,"swap_endian( uint32_t val)",4, 63, 4, 0
repos/cpp/caffe/examples/mnist/convert_mnist_data.cpp,"convert_dataset( const char * image_filename , const char * label_filename , const char * db_path , const string & db_backend)",69, 77, 0, 0
repos/cpp/caffe/examples/mnist/convert_mnist_data.cpp,"main( int argc , char ** argv)",29, 76, 8, 0
repos/cpp/caffe/examples/mnist/convert_mnist_data.cpp,"main( int argc , char ** argv)",4, 62, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::Classifier( const string & model_file , const string & trained_file , const string & mean_file , const string & label_file)",37, 81, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"PairCompare( const std :: pair<float,int> & lhs , const std :: pair<float,int> & rhs)",4, 60, 24, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Argmax( const std :: vector<float> & v , int N)",11, 81, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::Classify( const cv :: Mat & img , int N)",13, 74, 0, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::SetMean( const string & mean_file)",29, 77, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::Predict( const cv :: Mat & img)",20, 71, 23, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::WrapInputLayer( std :: vector<cv::Mat> * input_channels)",12, 72, 0, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"Classifier::Preprocess( const cv :: Mat & img , std :: vector<cv::Mat> * input_channels)",39, 74, 2, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"main( int argc , char ** argv)",32, 75, 4, 0
repos/cpp/caffe/examples/cpp_classification/classification.cpp,"main( int argc , char ** argv)",3, 74, 2, 0
repos/cpp/caffe/tools/upgrade_net_proto_text.cpp,"main( int argc , char ** argv)",34, 78, 2, 0
repos/cpp/caffe/tools/upgrade_net_proto_binary.cpp,"main( int argc , char ** argv)",33, 79, 8, 0
repos/cpp/caffe/tools/extract_features.cpp,"main( int argc , char ** argv)",4, 60, 0, 0
repos/cpp/caffe/tools/extract_features.cpp,"feature_extraction_pipeline( int argc , char ** argv)",153, 81, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"GetBrewFunction( const caffe :: string & name)",13, 76, 4, 0
repos/cpp/caffe/tools/caffe.cpp,"get_gpus( vector<int> * gpus)",21, 61, 4, 0
repos/cpp/caffe/tools/caffe.cpp,"get_phase_from_flags( caffe :: Phase default_value)",10, 64, 0, 0
repos/cpp/caffe/tools/caffe.cpp,"get_stages_from_flags()",5, 60, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"device_query()",10, 46, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"GetRequestedAction( const std :: string & flag_value)",13, 79, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"train()",87, 80, 6, 0
repos/cpp/caffe/tools/caffe.cpp,"test()",69, 78, 4, 0
repos/cpp/caffe/tools/caffe.cpp,"time()",88, 78, 2, 0
repos/cpp/caffe/tools/caffe.cpp,"main( int argc , char ** argv)",30, 64, 4, 0
repos/cpp/caffe/tools/convert_imageset.cpp,"main( int argc , char ** argv)",114, 81, 4, 0
repos/cpp/caffe/tools/upgrade_solver_proto_text.cpp,"main( int argc , char ** argv)",34, 78, 2, 0
repos/cpp/caffe/tools/compute_image_mean.cpp,"main( int argc , char ** argv)",102, 79, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::set_mode_cpu()",1, 53, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::set_mode_gpu()",1, 53, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::InitLog()",4, 43, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::InitLogLevel( int level)",4, 31, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::InitLogLevelPipe( int level , bool stderr)",5, 48, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Log( const string & s)",3, 28, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::set_random_seed( unsigned int seed)",1, 74, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::CheckFile( const string & filename)",8, 67, 6, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::CheckContiguousArray( PyArrayObject * arr , string name , int channels , int height , int width)",21, 70, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_Init( string network_file , int phase , const int level , const bp :: object & stages , const bp :: object & weights)",26, 70, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_Init_Load( string param_file , string pretrained_param_file , int phase)",15, 78, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_Save( const Net<Dtype> & net , string filename)",5, 56, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_SaveHDF5( const Net<Dtype> & net , string filename)",3, 60, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_LoadHDF5( Net<Dtype> * net , string filename)",3, 54, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Net_SetInputArrays( Net<Dtype> * net , bp :: object data_obj , bp :: object labels_obj)",31, 76, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::GetSolverFromFile( const string & filename)",5, 59, 0, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NdarrayConverterGenerator::apply<Dtype*>::type::operator ( )( Dtype * data) const",4, 81, 6, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NdarrayConverterGenerator::apply<Dtype*>::type::get_pytype()",3, 39, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::NdarrayCallPolicies::postcall( PyObject * pyargs , PyObject * result)",18, 78, 4, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::Blob_Reshape( bp :: tuple args , bp :: dict kwargs)",13, 64, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::BlobVec_add_blob( bp :: tuple args , bp :: dict kwargs)",14, 69, 2, 0
repos/cpp/caffe/python/caffe/_caffe.cpp,"caffe::SolverCallback::SolverCallback( bp :: object on_start , bp :: object on_gradients_ready)",2, 71, 4, 0
