File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::CreateNewWindowFrameService( _In_ Frame ^ viewFrame , bool createdByUs , Platform :: WeakReference parent)",7, 145, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::WindowFrameService( _In_ Frame ^ frame , WeakReference parent)",8, 90, 8, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::InitializeFrameService( bool createdByUs)",13, 158, 12, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::GetCoreDispatcher()",4, 60, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::GetViewId()",4, 40, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::GetFrame()",4, 42, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::GetCurrentPage()",4, 54, 8, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::SetNewFrame( _In_ Windows :: UI :: Xaml :: Controls :: Frame ^ frame)",5, 89, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::RegisterOnWindowClosingHandler( function<void()> onWindowClosingHandler)",4, 101, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::InvokeWindowClosingHandlers()",9, 70, 8, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::HandleViewRelease()",18, 130, 8, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::OnConsolidated( _In_ ApplicationView ^ sender , _In_ ApplicationViewConsolidatedEventArgs ^ e)",9, 120, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::OnClosed( _In_ CoreWindow ^ sender , _In_ CoreWindowEventArgs ^ args)",9, 95, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::LogOnViewClosed( _In_ CoreWindow ^ coreWindow)",11, 124, 12, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::RegisterRuntimeWindowService( TypeName serviceId , _In_opt_ Object ^ service)",9, 104, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::RemoveRuntimeWindowService( TypeName serviceId)",4, 76, 4, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::ResolveRuntimeWindowService( TypeName serviceId)",13, 84, 12, 0
repos/cpp/calculator/src/Calculator/WindowFrameService.cpp,"CalculatorApp::WindowFrameService::TryResolveRuntimeWindowService( TypeName serviceId)",11, 99, 4, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::App()",25, 136, 4, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::IsAnimationEnabled()",4, 38, 4, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::GetAppViewState()",15, 73, 4, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::AddWindowToMap( _In_ WindowFrameService ^ frameService)",6, 77, 4, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::GetWindowFromMap( int viewId)",10, 65, 4, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::RemoveWindowFromMap( int viewId)",7, 85, 4, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::RemoveWindow( _In_ WindowFrameService ^ frameService)",8, 63, 8, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::HandleViewReleaseAndRemoveWindowFromMap( _In_ WindowFrameService ^ frameService)",16, 95, 0, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::SetupJumpList()",25, 152, 12, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::RemoveSecondaryWindow( _In_ WindowFrameService ^ frameService)",8, 71, 0, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::CreateFrame()",7, 83, 4, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::OnLaunched( LaunchActivatedEventArgs ^ args)",11, 79, 8, 0
repos/cpp/calculator/src/Calculator/App.xaml.cpp,"App::OnAppLaunch( IActivatedEventArgs ^ args , String ^ argument)",205, 211, 8, 0
