File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/chunkwm/src/core/callback.cpp,"WORK_QUEUE_CALLBACK( PluginWorkCallback)",6, 46, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"ChunkwmBroadcast( const char * PluginName , const char * EventName , void * PluginData , size_t Size)",25, 93, 0, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_PluginBroadcast)",37, 68, 20, 0
repos/cpp/chunkwm/src/core/callback.cpp,"BeginCallbackThreads( int Count)",13, 96, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_PluginLoad)",7, 60, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_PluginUnload)",7, 62, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_PluginCommand)",19, 94, 8, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_ApplicationLaunched)",22, 119, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_ApplicationTerminated)",18, 87, 8, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_ApplicationActivated)",17, 92, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_ApplicationDeactivated)",17, 92, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_ApplicationVisible)",17, 92, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_ApplicationHidden)",17, 92, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_SpaceChanged)",18, 94, 5, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_DisplayAdded)",14, 73, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_DisplayRemoved)",14, 74, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_DisplayMoved)",14, 73, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_DisplayResized)",14, 78, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_DisplayChanged)",18, 94, 5, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowCreated)",24, 131, 8, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowDestroyed)",13, 108, 4, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowFocused)",25, 114, 12, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowMoved)",20, 108, 8, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowResized)",21, 110, 8, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowMinimized)",20, 112, 8, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowDeminimized)",40, 114, 8, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowSheetCreated)",24, 137, 8, 0
repos/cpp/chunkwm/src/core/callback.cpp,"CHUNKWM_CALLBACK( Callback_ChunkWM_WindowTitleChanged)",20, 116, 8, 0
repos/cpp/chunkwm/src/core/state.cpp,"SystemWideElement()",11, 49, 8, 0
repos/cpp/chunkwm/src/core/state.cpp,"GetWindowByID( uint32_t Id)",9, 70, 4, 0
repos/cpp/chunkwm/src/core/state.cpp,"AddWindowToCollection( macos_window * Window)",48, 164, 8, 0
repos/cpp/chunkwm/src/core/state.cpp,"RemoveWindowFromCollection( macos_window * Window)",12, 113, 4, 0
repos/cpp/chunkwm/src/core/state.cpp,"UpdateWindowTitle( macos_window * Window)",8, 53, 4, 0
repos/cpp/chunkwm/src/core/state.cpp,"AddApplicationWindowsToCollection( macos_application * Application)",25, 119, 12, 0
repos/cpp/chunkwm/src/core/state.cpp,"GetApplicationFromPID( pid_t PID)",11, 58, 4, 0
repos/cpp/chunkwm/src/core/state.cpp,"AddApplication( macos_application * Application)",7, 71, 4, 0
repos/cpp/chunkwm/src/core/state.cpp,"OBSERVER_CALLBACK( ApplicationCallback)",100, 105, 9, 0
repos/cpp/chunkwm/src/core/state.cpp,"ConstructAndAddApplicationDispatch( macos_application * Application , carbon_application_details * Info , float Delay)",48, 153, 12, 0
repos/cpp/chunkwm/src/core/state.cpp,"ConstructAndAddApplication( carbon_application_details * Info)",9, 105, 4, 0
repos/cpp/chunkwm/src/core/state.cpp,"RemoveAndDestroyApplication( macos_application * Application)",9, 71, 4, 0
repos/cpp/chunkwm/src/core/state.cpp,"UpdateWindowCollection()",7, 95, 4, 0
repos/cpp/chunkwm/src/core/state.cpp,"InitState()",20, 101, 8, 0
repos/cpp/chunkwm/src/core/cvar.cpp,"_FindCVar( const char * Name)",5, 50, 4, 0
repos/cpp/chunkwm/src/core/cvar.cpp,"_CreateCVar( const char * Name , char * Value)",9, 47, 4, 0
repos/cpp/chunkwm/src/core/cvar.cpp,"BeginCVars()",5, 54, 4, 0
repos/cpp/chunkwm/src/core/cvar.cpp,"EndCVars()",13, 68, 4, 0
repos/cpp/chunkwm/src/core/cvar.cpp,"UpdateCVarAPI( const char * Name , char * Value)",14, 50, 0, 0
repos/cpp/chunkwm/src/core/cvar.cpp,"AcquireCVarAPI( const char * Name)",8, 46, 4, 0
repos/cpp/chunkwm/src/core/cvar.cpp,"FindCVarAPI( const char * Name)",7, 38, 4, 0
repos/cpp/chunkwm/src/core/plugin.cpp,"VerifyPluginFormat( plugin_details * Info)",10, 46, 4, 0
