File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/curv/tests/tests.cc,"main( int argc , char ** argv)",5, 44, 4, 0
repos/cpp/curv/tests/value.cc,"prints_as( Value val , const char * expect)",11, 79, 8, 0
repos/cpp/curv/tests/value.cc,"Id_Function::Id_Function()",1, 47, 4, 0
repos/cpp/curv/tests/value.cc,"Id_Function::call( Frame & args)",4, 37, 4, 0
repos/cpp/curv/tests/value.cc,"TEST( curv , value)",125, 69, 4, 0
repos/cpp/curv/tests/eval.cc,"Std_System::Std_System()",5, 41, 4, 0
repos/cpp/curv/tests/eval.cc,"make_system()",10, 58, 8, 0
repos/cpp/curv/tests/eval.cc,"Evaluator::Evaluator( const char * text)",44, 60, 12, 0
repos/cpp/curv/tests/eval.cc,"evaltest( const char * expr , const char * expected , Expectation expectation)",55, 74, 0, 0
repos/cpp/curv/tests/eval.cc,"eval_success( const char * e1 , const char * e2 , const char * expr , const char * expected)",6, 48, 4, 0
repos/cpp/curv/tests/eval.cc,"eval_failmsg( const char * e1 , const char * e2 , const char * expr , const char * expected)",6, 48, 4, 0
repos/cpp/curv/tests/eval.cc,"eval_failall( const char * e1 , const char * e2 , const char * expr , const char * expected)",6, 48, 4, 0
repos/cpp/curv/tests/eval.cc,"reps()",10, 37, 4, 0
repos/cpp/curv/tests/eval.cc,"TEST( curv , eval)",282, 82, 8, 0
repos/cpp/curv/tests/parse.cc,"TEST( curv , parse)",30, 53, 4, 0
repos/cpp/curv/tests/string.cc,"TEST( curv , string)",35, 62, 4, 0
repos/cpp/curv/tests/file.cc,"writefile( const fs :: path & path , const std :: string & data)",6, 62, 0, 0
repos/cpp/curv/tests/file.cc,"readfile( const fs :: path & path)",7, 43, 0, 0
repos/cpp/curv/tests/file.cc,"TEST( curv , output_file)",38, 36, 4, 0
repos/cpp/curv/tests/cli.cc,"curvout( std :: string args)",10, 59, 4, 0
repos/cpp/curv/tests/cli.cc,"curverr( std :: string args)",10, 59, 4, 0
repos/cpp/curv/tests/cli.cc,"TEST( curv , cli)",16, 48, 8, 0
repos/cpp/curv/tests/record.cc,"prints_as( Value val , const char * expect)",11, 79, 8, 0
repos/cpp/curv/tests/record.cc,"TEST( curv , record)",25, 54, 4, 0
repos/cpp/curv/tests/program.cc,"nub( const char * str)",7, 48, 4, 0
repos/cpp/curv/tests/program.cc,"skip_prefix( const char * src , unsigned len)",7, 64, 4, 0
repos/cpp/curv/tests/program.cc,"TEST( curv , program)",26, 75, 4, 0
repos/cpp/curv/tests/geom.cc,"TEST( curv , geom)",4, 45, 4, 0
repos/cpp/curv/tests/tail_array.cc,"TEST( curv , tail_array)",20, 72, 4, 0
repos/cpp/curv/tests/dtostr.cc,"eq( double x , double y)",7, 51, 8, 0
repos/cpp/curv/tests/dtostr.cc,"test( const char * file , int line , double n , const char * str , dfmt :: style style)",20, 77, 0, 0
repos/cpp/curv/tests/dtostr.cc,"TEST( curv , dtostr)",51, 59, 4, 0
repos/cpp/curv/tests/list.cc,"TEST( curv , list)",18, 42, 4, 0
repos/cpp/curv/libcurv/gpu_program.cc,"curv::GPU_Program::GPU_Program( Program & prog)",9, 61, 4, 0
repos/cpp/curv/libcurv/gpu_program.cc,"curv::GPU_Program::location() const",4, 30, 0, 0
repos/cpp/curv/libcurv/gpu_program.cc,"curv::GPU_Program::recognize( Value val , const Frag_Export & opts)",64, 82, 12, 0
repos/cpp/curv/libcurv/gpu_program.cc,"curv::GPU_Program::write_json( std :: ostream & out) const",15, 58, 8, 0
repos/cpp/curv/libcurv/gpu_program.cc,"curv::GPU_Program::write_curv( std :: ostream & out) const",15, 56, 8, 0
repos/cpp/curv/libcurv/math.cc,"curv::isnum( Value a)",6, 46, 4, 0
repos/cpp/curv/libcurv/math.cc,"curv::isbool( Value a)",6, 47, 4, 0
repos/cpp/curv/libcurv/math.cc,"curv::islist( Value a)",8, 45, 4, 0
repos/cpp/curv/libcurv/math.cc,"curv::isvec3( Value a)",11, 47, 4, 0
repos/cpp/curv/libcurv/math.cc,"curv::add( Value a , Value b , const At_Syntax & cx)",20, 65, 8, 0
repos/cpp/curv/libcurv/math.cc,"curv::multiply( Value a , Value b , const At_Syntax & cx)",20, 65, 8, 0
repos/cpp/curv/libcurv/math.cc,"curv::dot( Value a , Value b , const At_Syntax & cx)",20, 74, 12, 0
repos/cpp/curv/libcurv/module.cc,"curv::Module_Base::print( std :: ostream & out) const",12, 44, 0, 0
repos/cpp/curv/libcurv/module.cc,"curv::Module_Base::get( slot_t i) const",15, 81, 4, 0
repos/cpp/curv/libcurv/module.cc,"curv::Module_Base::getfield( Symbol name , const Context & cx) const",7, 60, 0, 0
repos/cpp/curv/libcurv/module.cc,"curv::Module_Base::hasfield( Symbol name) const",5, 41, 0, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::to_null( const Context & cx) const",5, 63, 8, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::to_bool( const Context & cx) const",6, 64, 4, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::to_num( const Context & cx) const",6, 63, 4, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::is_int() const",8, 42, 4, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::to_int( int lo , int hi , const Context & cx) const",14, 67, 8, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::at( Symbol field , const Context & cx) const",9, 77, 4, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::print( std :: ostream & out) const",15, 55, 8, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::equal( Value v , const Context & cx) const",40, 74, 8, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::hash() const",6, 57, 4, 0
repos/cpp/curv/libcurv/value.cc,"curv::Value::hash_eq( Value rhs) const",11, 60, 8, 0
repos/cpp/curv/libcurv/value.cc,"curv::Missing::Missing()",1, 41, 4, 0
repos/cpp/curv/libcurv/value.cc,"curv::Missing::print( std :: ostream & out) const",4, 49, 4, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Builtin_Value::to_meaning( const Identifier & id) const",4, 54, 0, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Is_Null_Function::name()",1, 52, 4, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Is_Null_Function::Is_Null_Function()",1, 54, 4, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Is_Null_Function::call( Frame & args)",4, 37, 4, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Is_Bool_Function::name()",1, 52, 4, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Is_Bool_Function::Is_Bool_Function()",1, 54, 4, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Is_Bool_Function::call( Frame & args)",4, 37, 4, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Is_Num_Function::name()",1, 51, 4, 0
repos/cpp/curv/libcurv/builtin.cc,"curv::Is_Num_Function::Is_Num_Function()",1, 53, 4, 0
