File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/electron/native_mate/native_mate/persistent_dictionary.cc,"mate::PersistentDictionary::PersistentDictionary()",1, 48, 0, 0
repos/cpp/electron/native_mate/native_mate/persistent_dictionary.cc,"mate::PersistentDictionary::PersistentDictionary( v8 :: Isolate * isolate , v8 :: Local<v8::Object> object)",5, 73, 43, 0
repos/cpp/electron/native_mate/native_mate/persistent_dictionary.cc,"mate::PersistentDictionary::~PersistentDictionary()",1, 49, 0, 0
repos/cpp/electron/native_mate/native_mate/persistent_dictionary.cc,"mate::PersistentDictionary::GetHandle() const",3, 64, 0, 0
repos/cpp/electron/native_mate/native_mate/persistent_dictionary.cc,"mate::Converter<PersistentDictionary>::FromV8( v8 :: Isolate * isolate , v8 :: Local<v8::Value> val , PersistentDictionary * out)",8, 74, 45, 0
repos/cpp/electron/native_mate/native_mate/wrappable.cc,"mate::WrappableBase::WrappableBase()",1, 54, 0, 0
repos/cpp/electron/native_mate/native_mate/wrappable.cc,"mate::WrappableBase::~WrappableBase()",8, 62, 2, 0
repos/cpp/electron/native_mate/native_mate/wrappable.cc,"mate::WrappableBase::GetWrapper() const",6, 59, 4, 0
repos/cpp/electron/native_mate/native_mate/wrappable.cc,"mate::WrappableBase::InitWith( v8 :: Isolate * isolate , v8 :: Local<v8::Object> wrapper)",15, 79, 2, 0
repos/cpp/electron/native_mate/native_mate/wrappable.cc,"mate::WrappableBase::FirstWeakCallback( const v8 :: WeakCallbackInfo<WrappableBase> & data)",6, 55, 4, 0
repos/cpp/electron/native_mate/native_mate/wrappable.cc,"mate::WrappableBase::SecondWeakCallback( const v8 :: WeakCallbackInfo<WrappableBase> & data)",5, 55, 4, 0
repos/cpp/electron/native_mate/native_mate/wrappable.cc,"mate::internal::FromV8Impl( v8 :: Isolate * isolate , v8 :: Local<v8::Value> val)",8, 67, 0, 0
repos/cpp/electron/native_mate/native_mate/promise.cc,"mate::Promise::Promise()",3, 23, 4, 0
repos/cpp/electron/native_mate/native_mate/promise.cc,"mate::Promise::Promise( v8 :: Isolate * isolate)",4, 51, 2, 0
repos/cpp/electron/native_mate/native_mate/promise.cc,"mate::Promise::~Promise()",2, 22, 0, 0
repos/cpp/electron/native_mate/native_mate/promise.cc,"mate::Promise::Create( v8 :: Isolate * isolate)",3, 48, 0, 0
repos/cpp/electron/native_mate/native_mate/promise.cc,"mate::Promise::Create()",3, 53, 2, 0
repos/cpp/electron/native_mate/native_mate/promise.cc,"mate::Promise::RejectWithErrorMessage( const std :: string & string)",6, 68, 2, 0
repos/cpp/electron/native_mate/native_mate/promise.cc,"mate::Promise::GetHandle() const",3, 51, 0, 0
repos/cpp/electron/native_mate/native_mate/promise.cc,"mate::Converter<Promise>::ToV8( v8 :: Isolate * isolate , Promise val)",4, 68, 0, 0
repos/cpp/electron/native_mate/native_mate/function_template.cc,"mate::internal::CallbackHolderBase::CallbackHolderBase( v8 :: Isolate * isolate)",5, 64, 2, 0
repos/cpp/electron/native_mate/native_mate/function_template.cc,"mate::internal::CallbackHolderBase::~CallbackHolderBase()",3, 44, 0, 0
repos/cpp/electron/native_mate/native_mate/function_template.cc,"mate::internal::CallbackHolderBase::GetHandle( v8 :: Isolate * isolate)",3, 78, 0, 0
repos/cpp/electron/native_mate/native_mate/function_template.cc,"mate::internal::CallbackHolderBase::FirstWeakCallback( const v8 :: WeakCallbackInfo<CallbackHolderBase> & data)",5, 60, 4, 0
repos/cpp/electron/native_mate/native_mate/function_template.cc,"mate::internal::CallbackHolderBase::SecondWeakCallback( const v8 :: WeakCallbackInfo<CallbackHolderBase> & data)",4, 60, 4, 0
repos/cpp/electron/native_mate/native_mate/object_template_builder.cc,"mate::ObjectTemplateBuilder::ObjectTemplateBuilder( v8 :: Isolate * isolate , v8 :: Local<v8::ObjectTemplate> templ)",5, 46, 0, 0
repos/cpp/electron/native_mate/native_mate/object_template_builder.cc,"mate::ObjectTemplateBuilder::~ObjectTemplateBuilder()",2, 50, 0, 0
repos/cpp/electron/native_mate/native_mate/object_template_builder.cc,"mate::ObjectTemplateBuilder::SetImpl( const base :: StringPiece & name , v8 :: Local<v8::Data> val)",5, 62, 4, 0
repos/cpp/electron/native_mate/native_mate/object_template_builder.cc,"mate::ObjectTemplateBuilder::SetPropertyImpl( const base :: StringPiece & name , v8 :: Local<v8::FunctionTemplate> getter , v8 :: Local<v8::FunctionTemplate> setter)",7, 75, 4, 0
repos/cpp/electron/native_mate/native_mate/object_template_builder.cc,"mate::ObjectTemplateBuilder::MakeDestroyable()",5, 76, 2, 0
repos/cpp/electron/native_mate/native_mate/object_template_builder.cc,"mate::ObjectTemplateBuilder::Build()",5, 63, 0, 0
repos/cpp/electron/native_mate/native_mate/arguments.cc,"mate::V8TypeAsString( v8 :: Isolate * isolate , v8 :: Local<v8::Value> value)",10, 79, 0, 0
repos/cpp/electron/native_mate/native_mate/arguments.cc,"mate::Arguments::Arguments()",6, 39, 6, 0
repos/cpp/electron/native_mate/native_mate/arguments.cc,"mate::Arguments::Arguments( const v8 :: FunctionCallbackInfo<v8::Value> & info)",6, 70, 0, 0
repos/cpp/electron/native_mate/native_mate/arguments.cc,"mate::Arguments::~Arguments()",2, 26, 0, 0
repos/cpp/electron/native_mate/native_mate/arguments.cc,"mate::Arguments::PeekNext() const",5, 51, 0, 0
repos/cpp/electron/native_mate/native_mate/arguments.cc,"mate::Arguments::ThrowError() const",8, 75, 6, 0
repos/cpp/electron/native_mate/native_mate/arguments.cc,"mate::Arguments::ThrowError( const std :: string & message) const",5, 79, 0, 0
repos/cpp/electron/native_mate/native_mate/arguments.cc,"mate::Arguments::ThrowTypeError( const std :: string & message) const",6, 53, 2, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::FromMaybe( Maybe<T> maybe , U * out)",6, 43, 2, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<bool>::ToV8( Isolate * isolate , bool val)",3, 65, 0, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<bool>::FromV8( Isolate * isolate , Local<Value> val , bool * out)",6, 78, 0, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<unsignedlong>::ToV8( Isolate * isolate , unsigned long val)",4, 65, 44, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<unsignedlong>::FromV8( Isolate * isolate , Local<Value> val , unsigned long * out)",7, 74, 2, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<int32_t>::ToV8( Isolate * isolate , int32_t val)",3, 71, 0, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<int32_t>::FromV8( Isolate * isolate , Local<Value> val , int32_t * out)",8, 50, 0, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<uint32_t>::ToV8( Isolate * isolate , uint32_t val)",3, 73, 0, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<uint32_t>::FromV8( Isolate * isolate , Local<Value> val , uint32_t * out)",8, 51, 0, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<int64_t>::ToV8( Isolate * isolate , int64_t val)",3, 71, 0, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<int64_t>::FromV8( Isolate * isolate , Local<Value> val , int64_t * out)",9, 75, 2, 0
repos/cpp/electron/native_mate/native_mate/converter.cc,"mate::Converter<uint64_t>::ToV8( Isolate * isolate , uint64_t val)",3, 73, 0, 0
