File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/envoy/tools/bootstrap2pb.cc,"main( int argc , char ** argv)",18, 97, 4, 0
repos/cpp/envoy/tools/v1_to_bootstrap.cc,"main( int argc , char ** argv)",20, 92, 2, 0
repos/cpp/envoy/tools/testdata/check_format/real_time_source_override.cc,"Envoy::foo()",3, 65, 2, 0
repos/cpp/envoy/tools/testdata/check_format/steady_clock.cc,"Envoy::foo()",1, 55, 0, 0
repos/cpp/envoy/tools/testdata/check_format/sleep.cc,"Envoy::waiting()",3, 55, 2, 0
repos/cpp/envoy/tools/testdata/check_format/real_time_system.cc,"Envoy::foo()",3, 35, 2, 0
repos/cpp/envoy/tools/testdata/check_format/shared_mutex.cc,"Envoy::make_a_mutex()",3, 33, 2, 0
repos/cpp/envoy/tools/testdata/check_format/condvar_wait_for.cc,"Envoy::waiting()",3, 43, 2, 0
repos/cpp/envoy/tools/testdata/check_format/real_time_source.cc,"Envoy::foo()",3, 35, 2, 0
repos/cpp/envoy/tools/testdata/check_format/system_clock.cc,"Envoy::foo()",1, 55, 0, 0
repos/cpp/envoy/tools/testdata/check_format/serialize_as_string.cc,"Envoy::use_serialize_as_string()",4, 52, 2, 0
repos/cpp/envoy/tools/testdata/check_format/std_atomic_free_functions.cc,"Envoy::do_atomic_stuff()",4, 41, 2, 0
repos/cpp/envoy/tools/testdata/check_format/std_get_time.cc,"Envoy::parse_time()",10, 54, 2, 0
repos/cpp/envoy/tools/testdata/check_format/time_system_wait_for.cc,"Envoy::waiting()",1, 73, 0, 0
repos/cpp/envoy/test/main.cc,"main( int argc , char ** argv)",25, 101, 36, 0
repos/cpp/envoy/test/test_listener.cc,"Envoy::TestListener::OnTestEnd( const :: testing :: TestInfo & test_info)",7, 92, 17, 0
repos/cpp/envoy/test/dummy_main.cc,"main( int , char **)",1, 54, 0, 0
repos/cpp/envoy/test/mocks/common.cc,"Envoy::ReadyWatcher::ReadyWatcher()",1, 32, 0, 0
repos/cpp/envoy/test/mocks/common.cc,"Envoy::ReadyWatcher::~ReadyWatcher()",1, 33, 0, 0
repos/cpp/envoy/test/mocks/common.cc,"Envoy::MockTimeSystem::MockTimeSystem()",1, 36, 0, 0
repos/cpp/envoy/test/mocks/common.cc,"Envoy::MockTimeSystem::~MockTimeSystem()",1, 37, 0, 0
repos/cpp/envoy/test/mocks/init/mocks.cc,"Envoy::Init::MockTarget::MockTarget()",7, 77, 6, 0
repos/cpp/envoy/test/mocks/init/mocks.cc,"Envoy::Init::MockTarget::~MockTarget()",1, 29, 0, 0
repos/cpp/envoy/test/mocks/init/mocks.cc,"Envoy::Init::MockManager::MockManager()",5, 96, 10, 0
repos/cpp/envoy/test/mocks/init/mocks.cc,"Envoy::Init::MockManager::~MockManager()",1, 31, 0, 0
repos/cpp/envoy/test/mocks/tracing/mocks.cc,"Envoy::Tracing::MockSpan::MockSpan()",1, 24, 0, 0
repos/cpp/envoy/test/mocks/tracing/mocks.cc,"Envoy::Tracing::MockSpan::~MockSpan()",1, 25, 0, 0
repos/cpp/envoy/test/mocks/tracing/mocks.cc,"Envoy::Tracing::MockConfig::MockConfig()",5, 78, 2, 0
repos/cpp/envoy/test/mocks/tracing/mocks.cc,"Envoy::Tracing::MockConfig::~MockConfig()",1, 29, 0, 0
repos/cpp/envoy/test/mocks/tracing/mocks.cc,"Envoy::Tracing::MockHttpTracer::MockHttpTracer()",1, 36, 0, 0
repos/cpp/envoy/test/mocks/tracing/mocks.cc,"Envoy::Tracing::MockHttpTracer::~MockHttpTracer()",1, 37, 0, 0
repos/cpp/envoy/test/mocks/tracing/mocks.cc,"Envoy::Tracing::MockDriver::MockDriver()",1, 28, 0, 0
repos/cpp/envoy/test/mocks/tracing/mocks.cc,"Envoy::Tracing::MockDriver::~MockDriver()",1, 29, 0, 0
repos/cpp/envoy/test/mocks/stream_info/mocks.cc,"Envoy::StreamInfo::MockStreamInfo::MockStreamInfo()",69, 101, 10, 0
repos/cpp/envoy/test/mocks/stream_info/mocks.cc,"Envoy::StreamInfo::MockStreamInfo::~MockStreamInfo()",1, 37, 0, 0
repos/cpp/envoy/test/mocks/ssl/mocks.cc,"Envoy::Ssl::MockContextManager::MockContextManager()",1, 44, 0, 0
