File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/godot/drivers/register_driver_types.cpp,"register_core_driver_types()",8, 63, 0, 1
repos/cpp/godot/drivers/register_driver_types.cpp,"unregister_core_driver_types()",8, 66, 0, 1
repos/cpp/godot/drivers/register_driver_types.cpp,"register_driver_types()",6, 44, 0, 1
repos/cpp/godot/drivers/register_driver_types.cpp,"unregister_driver_types()",2, 33, 0, 0
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"store_transform2d( const Transform2D & p_mtx , float * p_array)",19, 89, 0, 0
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"store_transform( const Transform & p_mtx , float * p_array)",18, 85, 0, 0
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"store_camera( const CameraMatrix & p_mtx , float * p_array)",9, 85, 0, 0
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::light_internal_create()",11, 112, 0, 1
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::light_internal_update( RID p_rid , Light * p_light)",31, 103, 0, 1
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::light_internal_free( RID p_rid)",9, 61, 0, 0
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::canvas_begin()",51, 163, 0, 2
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::canvas_end()",9, 44, 0, 1
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::_bind_canvas_texture( const RID & p_texture , const RID & p_normal_map , bool p_force)",81, 140, 0, 0
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::_set_texture_rect_mode( bool p_enable , bool p_ninepatch)",32, 163, 0, 2
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::_draw_polygon( const int * p_indices , int p_index_count , int p_vertex_count , const Vector2 * p_vertices , const Vector2 * p_uvs , const Color * p_colors , bool p_singlecolor , const int * p_bones , const float * p_weights)",93, 241, 0, 0
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::_draw_generic( GLuint p_primitive , int p_vertex_count , const Vector2 * p_vertices , const Vector2 * p_uvs , const Color * p_colors , bool p_singlecolor)",46, 176, 0, 0
repos/cpp/godot/drivers/gles3/rasterizer_canvas_gles3.cpp,"RasterizerCanvasGLES3::_draw_gui_primitive( int p_points , const Vector2 * p_vertices , const Color * p_colors , const Vector2 * p_uvs)",57, 136, 0, 0
