File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/grpc/tools/codegen/core/gen_percent_encoding_tables.cc,"legal( int x)",10, 78, 3, 0
repos/cpp/grpc/tools/codegen/core/gen_percent_encoding_tables.cc,"dump( const char * name)",8, 55, 4, 0
repos/cpp/grpc/tools/codegen/core/gen_percent_encoding_tables.cc,"clear( void)",1, 71, 0, 0
repos/cpp/grpc/tools/codegen/core/gen_percent_encoding_tables.cc,"main( void)",22, 61, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"prefix_mask( unsigned char prefix_len)",12, 80, 5, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"suffix_mask( unsigned char prefix_len)",3, 61, 0, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"generate_first_byte_lut( void)",42, 80, 9, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"symset_all( void)",5, 45, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"symset_none( void)",5, 45, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"nibblelut_empty( void)",8, 41, 0, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"nsyms( symset s)",8, 51, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"state_index( unsigned bitofs , symset syms , unsigned * isnew)",22, 77, 0, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"build_dec_tbl( unsigned state , unsigned nibble , int nibbits , unsigned bitofs , unsigned emit , symset syms)",52, 78, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"ctbl_idx( nibblelut x)",9, 64, 4, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"dump_ctbl( const char * name)",11, 65, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"generate_huff_tables( void)",21, 68, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"generate_base64_huff_encoder_table( void)",14, 81, 4, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"generate_base64_inverse_table( void)",17, 75, 6, 0
repos/cpp/grpc/tools/codegen/core/gen_hpack_tables.cc,"main( void)",8, 40, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_legal_metadata_characters.cc,"legal( int x)",10, 78, 3, 0
repos/cpp/grpc/tools/codegen/core/gen_legal_metadata_characters.cc,"dump( void)",8, 62, 2, 0
repos/cpp/grpc/tools/codegen/core/gen_legal_metadata_characters.cc,"clear( void)",1, 71, 0, 0
repos/cpp/grpc/tools/codegen/core/gen_legal_metadata_characters.cc,"main( void)",19, 41, 2, 0
repos/cpp/grpc/tools/distrib/python/grpcio_tools/grpc_tools/main.cc,"protoc_main( int argc , char * argv [ ])",17, 80, 2, 0
repos/cpp/grpc/test/core/backoff/backoff_test.cc,"grpc::testing::TEST( BackOffTest , ConstantBackOff)",22, 74, 4, 0
repos/cpp/grpc/test/core/backoff/backoff_test.cc,"grpc::testing::TEST( BackOffTest , MinConnect)",15, 71, 2, 0
repos/cpp/grpc/test/core/backoff/backoff_test.cc,"grpc::testing::TEST( BackOffTest , NoJitterBackOff)",53, 77, 2, 0
repos/cpp/grpc/test/core/backoff/backoff_test.cc,"grpc::testing::TEST( BackOffTest , JitterBackOff)",41, 81, 8, 0
repos/cpp/grpc/test/core/backoff/backoff_test.cc,"main( int argc , char ** argv)",5, 50, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"tag( intptr_t t)",1, 50, 0, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"server_setup_transport( grpc_transport * transport)",7, 77, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"client_setup_transport( grpc_transport * transport)",15, 77, 37, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"init_client()",8, 77, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"init_server()",11, 78, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"test_init()",16, 80, 6, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"drain_cq( grpc_completion_queue * cq)",7, 80, 4, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"drain_and_destroy_cq( grpc_completion_queue * cq)",5, 62, 0, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"shutdown_server()",10, 79, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"shutdown_client()",5, 38, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"end_test()",10, 52, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"fd_type_str( fd_type fdtype)",10, 57, 4, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"_test_close_before_server_recv( fd_type fdtype)",165, 81, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"test_close_before_server_recv()",8, 77, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"_test_close_before_server_send( fd_type fdtype)",189, 81, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"test_close_before_server_send()",8, 79, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"_test_close_before_client_send( fd_type fdtype)",119, 81, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"test_close_before_client_send()",8, 79, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"_test_close_before_call_create( fd_type fdtype)",41, 79, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"test_close_before_call_create()",6, 73, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"main( int argc , char ** argv)",17, 50, 2, 0
repos/cpp/grpc/test/core/bad_connection/close_fd_test.cc,"main( int argc , char ** argv)",1, 46, 0, 0
repos/cpp/grpc/test/core/client_channel/uri_parser_test.cc,"test_succeeds( const char * uri_text , const char * scheme , const char * authority , const char * path , const char * query , const char * fragment)",14, 69, 26, 0
repos/cpp/grpc/test/core/client_channel/uri_parser_test.cc,"test_fails( const char * uri_text)",4, 54, 2, 0
repos/cpp/grpc/test/core/client_channel/uri_parser_test.cc,"test_query_parts()",71, 72, 4, 0
repos/cpp/grpc/test/core/client_channel/uri_parser_test.cc,"main( int argc , char ** argv)",33, 81, 2, 0
repos/cpp/grpc/test/core/client_channel/retry_throttle_test.cc,"grpc_core::internal::TEST( ServerRetryThrottleData , Basic)",38, 68, 2, 0
repos/cpp/grpc/test/core/client_channel/retry_throttle_test.cc,"grpc_core::internal::TEST( ServerRetryThrottleData , Replacement)",30, 73, 2, 0
repos/cpp/grpc/test/core/client_channel/retry_throttle_test.cc,"grpc_core::internal::TEST( ServerRetryThrottleMap , Replacement)",34, 74, 6, 0
repos/cpp/grpc/test/core/client_channel/retry_throttle_test.cc,"main( int argc , char ** argv)",5, 50, 2, 0
repos/cpp/grpc/test/core/client_channel/parse_address_test.cc,"test_grpc_parse_unix( const char * uri_text , const char * pathname)",13, 79, 0, 0
repos/cpp/grpc/test/core/client_channel/parse_address_test.cc,"test_grpc_parse_unix( const char * uri_text , const char * pathname)",1, 80, 0, 0
repos/cpp/grpc/test/core/client_channel/parse_address_test.cc,"test_grpc_parse_ipv4( const char * uri_text , const char * host , unsigned short port)",17, 78, 2, 0
repos/cpp/grpc/test/core/client_channel/parse_address_test.cc,"test_grpc_parse_ipv6( const char * uri_text , const char * host , unsigned short port , uint32_t scope_id)",18, 81, 2, 0
repos/cpp/grpc/test/core/client_channel/parse_address_test.cc,"test_grpc_parse_ipv6_invalid( const char * uri_text)",7, 65, 0, 0
repos/cpp/grpc/test/core/client_channel/parse_address_test.cc,"main( int argc , char ** argv)",16, 81, 2, 0
repos/cpp/grpc/test/core/client_channel/parse_address_with_named_scope_id_test.cc,"test_grpc_parse_ipv6_parity_with_getaddrinfo( const char * target , const struct sockaddr_in6 result_from_getaddrinfo)",22, 81, 20, 0
repos/cpp/grpc/test/core/client_channel/parse_address_with_named_scope_id_test.cc,"resolve_with_gettaddrinfo( const char * uri_text)",33, 80, 2, 0
repos/cpp/grpc/test/core/client_channel/parse_address_with_named_scope_id_test.cc,"main( int argc , char ** argv)",32, 81, 2, 0
repos/cpp/grpc/test/core/client_channel/uri_fuzzer_test.cc,"LLVMFuzzerTestOneInput( const uint8_t * data , size_t size)",20, 74, 0, 0
repos/cpp/grpc/test/core/client_channel/resolvers/dns_resolver_test.cc,"test_succeeds( grpc_core :: ResolverFactory * factory , const char * string)",15, 68, 2, 0
repos/cpp/grpc/test/core/client_channel/resolvers/dns_resolver_test.cc,"test_fails( grpc_core :: ResolverFactory * factory , const char * string)",15, 70, 2, 0
repos/cpp/grpc/test/core/client_channel/resolvers/dns_resolver_test.cc,"main( int argc , char ** argv)",28, 77, 2, 0
repos/cpp/grpc/test/core/client_channel/resolvers/fake_resolver_test.cc,"build_fake_resolver( grpc_combiner * combiner , grpc_core :: FakeResolverResponseGenerator * response_generator)",16, 74, 0, 0
repos/cpp/grpc/test/core/client_channel/resolvers/fake_resolver_test.cc,"on_resolution_cb( void * arg , grpc_error * error)",18, 81, 6, 0
repos/cpp/grpc/test/core/client_channel/resolvers/fake_resolver_test.cc,"create_new_resolver_result()",37, 80, 2, 0
repos/cpp/grpc/test/core/client_channel/resolvers/fake_resolver_test.cc,"create_on_resolution_arg( grpc_channel_args * results)",7, 80, 0, 0
repos/cpp/grpc/test/core/client_channel/resolvers/fake_resolver_test.cc,"test_fake_resolver()",98, 81, 10, 0
repos/cpp/grpc/test/core/client_channel/resolvers/fake_resolver_test.cc,"main( int argc , char ** argv)",9, 50, 2, 0
