File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/leveldb/util/testutil.cc,"leveldb::test::RandomString( Random * rnd , int len , std :: string * dst)",7, 75, 4, 0
repos/cpp/leveldb/util/testutil.cc,"leveldb::test::RandomKey( Random * rnd , int len)",12, 64, 4, 0
repos/cpp/leveldb/util/testutil.cc,"leveldb::test::CompressibleString( Random * rnd , double compressed_fraction , size_t len , std :: string * dst)",15, 66, 0, 0
repos/cpp/leveldb/util/status.cc,"leveldb::Status::CopyState( const char * state)",7, 51, 0, 0
repos/cpp/leveldb/util/status.cc,"leveldb::Status::Status( Code code , const Slice & msg , const Slice & msg2)",16, 65, 0, 0
repos/cpp/leveldb/util/status.cc,"leveldb::Status::ToString() const",38, 57, 8, 0
repos/cpp/leveldb/util/arena.cc,"leveldb::Arena::Arena()",4, 67, 2, 0
repos/cpp/leveldb/util/arena.cc,"leveldb::Arena::~Arena()",5, 48, 2, 0
repos/cpp/leveldb/util/arena.cc,"leveldb::Arena::AllocateFallback( size_t bytes)",17, 80, 4, 0
repos/cpp/leveldb/util/arena.cc,"leveldb::Arena::AllocateAligned( size_t bytes)",18, 77, 2, 0
repos/cpp/leveldb/util/arena.cc,"leveldb::Arena::AllocateNewBlock( size_t block_bytes)",7, 55, 2, 0
repos/cpp/leveldb/util/bloom.cc,"leveldb::BloomHash( const Slice & key)",3, 51, 2, 0
repos/cpp/leveldb/util/bloom.cc,"leveldb::BloomFilterPolicy::BloomFilterPolicy( int bits_per_key)",7, 71, 4, 0
repos/cpp/leveldb/util/bloom.cc,"leveldb::BloomFilterPolicy::Name() const",3, 42, 4, 0
repos/cpp/leveldb/util/bloom.cc,"leveldb::BloomFilterPolicy::CreateFilter( const Slice * keys , int n , std :: string * dst) const",27, 80, 2, 0
repos/cpp/leveldb/util/bloom.cc,"leveldb::BloomFilterPolicy::KeyMayMatch( const Slice & key , const Slice & bloom_filter) const",25, 80, 2, 0
repos/cpp/leveldb/util/bloom.cc,"leveldb::NewBloomFilterPolicy( int bits_per_key)",3, 61, 0, 0
repos/cpp/leveldb/util/env_windows_test.cc,"leveldb::EnvWindowsTest::EnvWindowsTest()",1, 45, 2, 0
repos/cpp/leveldb/util/env_windows_test.cc,"leveldb::EnvWindowsTest::SetFileLimits( int mmap_limit)",3, 60, 4, 0
repos/cpp/leveldb/util/env_windows_test.cc,"leveldb::TEST( EnvWindowsTest , TestOpenOnRead)",31, 74, 2, 0
repos/cpp/leveldb/util/env_windows_test.cc,"main( int argc , char ** argv)",5, 66, 2, 0
repos/cpp/leveldb/util/hash.cc,"leveldb::Hash( const char * data , size_t n , uint32_t seed)",32, 59, 0, 0
repos/cpp/leveldb/util/crc32c_test.cc,"leveldb::crc32c::TEST( CRC , StandardResults)",36, 77, 2, 0
repos/cpp/leveldb/util/crc32c_test.cc,"leveldb::crc32c::TEST( CRC , Values)",3, 45, 2, 0
repos/cpp/leveldb/util/crc32c_test.cc,"leveldb::crc32c::TEST( CRC , Extend)",4, 53, 12, 0
repos/cpp/leveldb/util/crc32c_test.cc,"leveldb::crc32c::TEST( CRC , Mask)",7, 51, 2, 0
repos/cpp/leveldb/util/crc32c_test.cc,"main( int argc , char ** argv)",3, 39, 2, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::Key( int i , char * buffer)",4, 42, 2, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::BloomTest()",1, 54, 2, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::~BloomTest()",3, 20, 4, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::Reset()",4, 21, 4, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::Add( const Slice & s)",3, 35, 4, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::Build()",11, 79, 4, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::FilterSize() const",3, 30, 2, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::DumpFilter()",10, 68, 6, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::Matches( const Slice & s)",6, 45, 4, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::BloomTest::FalsePositiveRate()",10, 50, 6, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::TEST( BloomTest , EmptyFilter)",4, 35, 2, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::TEST( BloomTest , Small)",8, 33, 2, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::NextLength( int length)",12, 36, 0, 0
repos/cpp/leveldb/util/bloom_test.cc,"leveldb::TEST( BloomTest , VaryingLengths)",39, 81, 6, 0
repos/cpp/leveldb/util/bloom_test.cc,"main( int argc , char ** argv)",3, 39, 2, 0
repos/cpp/leveldb/util/hash_test.cc,"leveldb::TEST( HASH , SignedUnsignedIssue)",37, 77, 6, 0
repos/cpp/leveldb/util/hash_test.cc,"main( int argc , char ** argv)",3, 39, 2, 0
repos/cpp/leveldb/util/filter_policy.cc,"leveldb::FilterPolicy::~FilterPolicy()",1, 34, 0, 0
repos/cpp/leveldb/util/arena_test.cc,"leveldb::TEST( ArenaTest , Empty)",3, 25, 0, 0
repos/cpp/leveldb/util/arena_test.cc,"leveldb::TEST( ArenaTest , Simple)",45, 64, 10, 0
repos/cpp/leveldb/util/arena_test.cc,"main( int argc , char ** argv)",3, 39, 2, 0
repos/cpp/leveldb/util/histogram.cc,"leveldb::Histogram::Clear()",10, 42, 2, 0
repos/cpp/leveldb/util/histogram.cc,"leveldb::Histogram::Add( double value)",13, 60, 2, 0
repos/cpp/leveldb/util/histogram.cc,"leveldb::Histogram::Merge( const Histogram & other)",10, 48, 0, 0
repos/cpp/leveldb/util/histogram.cc,"leveldb::Histogram::Median() const",3, 35, 0, 0
repos/cpp/leveldb/util/histogram.cc,"leveldb::Histogram::Percentile( double p) const",20, 68, 6, 0
repos/cpp/leveldb/util/histogram.cc,"leveldb::Histogram::Average() const",4, 36, 0, 0
repos/cpp/leveldb/util/histogram.cc,"leveldb::Histogram::StandardDeviation() const",5, 73, 2, 0
repos/cpp/leveldb/util/histogram.cc,"leveldb::Histogram::ToString() const",33, 81, 13, 0
repos/cpp/leveldb/util/logging_test.cc,"leveldb::TEST( Logging , NumberToString)",24, 79, 2, 0
repos/cpp/leveldb/util/logging_test.cc,"leveldb::ConsumeDecimalNumberRoundtripTest( uint64_t number , const std :: string & padding = '')",12, 74, 39, 0
repos/cpp/leveldb/util/logging_test.cc,"leveldb::TEST( Logging , ConsumeDecimalNumberRoundtrip)",21, 70, 4, 0
repos/cpp/leveldb/util/logging_test.cc,"leveldb::TEST( Logging , ConsumeDecimalNumberRoundtripWithPadding)",17, 70, 4, 0
repos/cpp/leveldb/util/logging_test.cc,"leveldb::ConsumeDecimalNumberOverflowTest( const std :: string & input_string)",6, 73, 0, 0
repos/cpp/leveldb/util/logging_test.cc,"leveldb::TEST( Logging , ConsumeDecimalNumberOverflow)",19, 79, 2, 0
repos/cpp/leveldb/util/logging_test.cc,"leveldb::ConsumeDecimalNumberNoDigitsTest( const std :: string & input_string)",8, 73, 0, 0
repos/cpp/leveldb/util/logging_test.cc,"leveldb::TEST( Logging , ConsumeDecimalNumberNoDigits)",10, 63, 2, 0
repos/cpp/leveldb/util/logging_test.cc,"main( int argc , char ** argv)",3, 39, 2, 0
