File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/nw.js/tools/payload.cc,"MakePathAbsolute( base :: FilePath * file_path)",27, 61, 2, 0
repos/cpp/nw.js/tools/payload.cc,"MyComputedHashes::Writer::Writer()",2, 71, 0, 0
repos/cpp/nw.js/tools/payload.cc,"MyComputedHashes::Writer::~Writer()",2, 38, 0, 0
repos/cpp/nw.js/tools/payload.cc,"MyComputedHashes::Writer::AddHash( const base :: FilePath & relative_path , int block_size , const std :: string & root)",15, 80, 18, 0
repos/cpp/nw.js/tools/payload.cc,"MyComputedHashes::Writer::WriteToFile( const base :: FilePath & path)",18, 80, 15, 0
repos/cpp/nw.js/tools/payload.cc,"MyComputedHashes::ComputeHashesForContent( const std :: string & contents , size_t block_size , std :: vector<std::string> * hashes)",26, 81, 45, 0
repos/cpp/nw.js/tools/payload.cc,"ComputeTreeHashRoot( const std :: vector<std::string> & leaf_hashes , int branch_factor)",39, 78, 2, 0
repos/cpp/nw.js/tools/payload.cc,"CreateHashes( const base :: FilePath & hashes_file , const base :: FilePath & work_path)",45, 88, 0, 0
repos/cpp/nw.js/tools/win_delay_load_hook.cc,"load_exe_hook( unsigned int event , DelayLoadInfo * info)",23, 79, 0, 0
repos/cpp/nw.js/test/sanity/native-module-buffer/buffer_example.cpp,"buffer_delete_callback( char * data , void * the_vector)",3, 60, 0, 0
repos/cpp/nw.js/test/sanity/native-module-buffer/buffer_example.cpp,"NAN_METHOD( rotate)",14, 113, 4, 0
repos/cpp/nw.js/test/sanity/native-module-buffer/buffer_example.cpp,"NAN_MODULE_INIT( Init)",4, 70, 8, 0
repos/cpp/nw.js/src/nw_content_verifier_delegate.cc,"extensions::NWContentVerifierDelegate::GetDefaultMode()",26, 79, 6, 0
repos/cpp/nw.js/src/nw_content_verifier_delegate.cc,"extensions::NWContentVerifierDelegate::NWContentVerifierDelegate( content :: BrowserContext * context)",4, 59, 4, 0
repos/cpp/nw.js/src/nw_content_verifier_delegate.cc,"extensions::NWContentVerifierDelegate::~NWContentVerifierDelegate()",2, 58, 0, 0
repos/cpp/nw.js/src/nw_content_verifier_delegate.cc,"extensions::NWContentVerifierDelegate::ShouldBeVerified( const Extension & extension)",12, 87, 2, 0
repos/cpp/nw.js/src/nw_content_verifier_delegate.cc,"extensions::NWContentVerifierDelegate::GetPublicKey()",4, 63, 0, 0
