File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::OliveGlobal()",17, 85, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::get_project_file_filter()",3, 56, 0, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::update_project_filename( const QString & s)",7, 62, 0, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::check_for_autorecovery_file()",16, 221, 6, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::set_rendering_state( bool rendering)",8, 56, 0, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::load_project_on_launch( const QString & s)",4, 61, 0, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::get_recent_project_list_file()",3, 54, 0, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::load_translation_from_config()",25, 112, 6, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::new_project()",18, 57, 4, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::open_project()",6, 112, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::open_recent( int index)",15, 127, 10, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::save_project_as()",12, 115, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::save_project()",8, 48, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::can_close_project()",20, 109, 10, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::open_export_dialog()",11, 81, 29, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::finished_initialize()",28, 110, 4, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::save_autorecovery_file()",6, 47, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::open_preferences()",8, 56, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::set_sequence( SequencePtr s)",9, 46, 0, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::open_project_worker( const QString & fn , bool autorecovery)",5, 78, 0, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::undo()",7, 79, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::redo()",7, 79, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::paste()",5, 42, 2, 0
repos/cpp/olive/oliveglobal.cpp,"OliveGlobal::paste_insert()",5, 42, 2, 0
