File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/opencv/3rdparty/openexr/Iex/IexThrowErrnoExc.cpp,"Iex::throwErrnoExc( const std :: string & text , int errnum)",799, 57, 0, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexThrowErrnoExc.cpp,"Iex::throwErrnoExc( const std :: string & text)",4, 45, 0, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::setStackTracer( StackTracer stackTracer)",4, 41, 0, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::stackTracer()",4, 31, 4, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::BaseExc::BaseExc( const char * s)",6, 63, 4, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::BaseExc::BaseExc( const std :: string & s)",6, 63, 4, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::BaseExc::BaseExc( std :: stringstream & s)",6, 63, 4, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::BaseExc::BaseExc( const BaseExc & be)",6, 48, 0, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::BaseExc::~BaseExc()",4, 30, 0, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::BaseExc::what() const",4, 32, 0, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::BaseExc::assign( std :: stringstream & s)",5, 39, 0, 0
repos/cpp/opencv/3rdparty/openexr/Iex/IexBaseExc.cpp,"Iex::BaseExc::append( std :: stringstream & s)",5, 39, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::insertChannels( Header & header , RgbaChannels rgbaChannels , const char fileName [ ])",37, 71, 8, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::rgbaChannels( const ChannelList & ch , const string & channelNamePrefix = '')",21, 75, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::prefixFromLayerName( const string & layerName , const Header & header)",10, 68, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::ywFromHeader( const Header & header)",9, 36, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::ToYa::ToYa( TiledOutputFile & outputFile , RgbaChannels rgbaChannels)",17, 71, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::ToYa::setFrameBuffer( const Rgba * base , size_t xStride , size_t yStride)",8, 61, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::ToYa::writeTile( int dx , int dy , int lx , int ly)",44, 70, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::TiledRgbaOutputFile( const char name [ ] , const Header & header , RgbaChannels rgbaChannels , int tileXSize , int tileYSize , LevelMode mode , LevelRoundingMode rmode , int numThreads)",21, 81, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::TiledRgbaOutputFile( OStream & os , const Header & header , RgbaChannels rgbaChannels , int tileXSize , int tileYSize , LevelMode mode , LevelRoundingMode rmode , int numThreads)",21, 81, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::TiledRgbaOutputFile( const char name [ ] , int tileXSize , int tileYSize , LevelMode mode , LevelRoundingMode rmode , const Imath :: Box2i & displayWindow , const Imath :: Box2i & dataWindow , RgbaChannels rgbaChannels , float pixelAspectRatio , const Imath :: V2f screenWindowCenter , float screenWindowWidth , LineOrder lineOrder , Compression compression , int numThreads)",34, 81, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::TiledRgbaOutputFile( const char name [ ] , int width , int height , int tileXSize , int tileYSize , LevelMode mode , LevelRoundingMode rmode , RgbaChannels rgbaChannels , float pixelAspectRatio , const Imath :: V2f screenWindowCenter , float screenWindowWidth , LineOrder lineOrder , Compression compression , int numThreads)",34, 81, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::~TiledRgbaOutputFile()",5, 45, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::setFrameBuffer( const Rgba * base , size_t xStride , size_t yStride)",24, 64, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::header() const",4, 37, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::frameBuffer() const",4, 42, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::displayWindow() const",4, 50, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::dataWindow() const",4, 47, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::pixelAspectRatio() const",4, 53, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::screenWindowCenter() const",4, 55, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::screenWindowWidth() const",4, 54, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::lineOrder() const",4, 46, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::compression() const",4, 48, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::channels() const",4, 60, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::tileXSize() const",4, 40, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::tileYSize() const",4, 40, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::levelMode() const",4, 40, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::levelRoundingMode() const",4, 48, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::numLevels() const",4, 40, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::numXLevels() const",4, 41, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::numYLevels() const",4, 41, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::isValidLevel( int lx , int ly) const",4, 57, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::levelWidth( int lx) const",4, 47, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::levelHeight( int ly) const",4, 48, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::numXTiles( int lx) const",4, 46, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::numYTiles( int ly) const",4, 46, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::dataWindowForLevel( int l) const",4, 54, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::dataWindowForLevel( int lx , int ly) const",4, 63, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::dataWindowForTile( int dx , int dy , int l) const",4, 69, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::dataWindowForTile( int dx , int dy , int lx , int ly) const",4, 78, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::writeTile( int dx , int dy , int l)",12, 55, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::writeTile( int dx , int dy , int lx , int ly)",12, 64, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::writeTiles( int dxMin , int dxMax , int dyMin , int dyMax , int lx , int ly)",16, 70, 8, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaOutputFile::writeTiles( int dxMin , int dxMax , int dyMin , int dyMax , int l)",5, 56, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaInputFile::FromYa::FromYa( TiledInputFile & inputFile)",14, 70, 4, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaInputFile::FromYa::setFrameBuffer( Rgba * base , size_t xStride , size_t yStride , const string & channelNamePrefix)",34, 57, 24, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaInputFile::FromYa::readTile( int dx , int dy , int lx , int ly)",39, 70, 0, 0
repos/cpp/opencv/3rdparty/openexr/IlmImf/ImfTiledRgbaFile.cpp,"Imf::TiledRgbaInputFile::TiledRgbaInputFile( const char name [ ] , int numThreads)",8, 76, 0, 0
