File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::parse_gflags( const std :: vector<std::string> & argv)",8, 69, 4, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::init_int( py :: dict d)",10, 68, 8, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::init_argv( std :: vector<std::string> argv)",5, 46, 0, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::WrapperPython::WrapperPython( int mode = 0)",7, 109, 8, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::WrapperPython::configure( py :: dict params = py :: dict())",79, 117, 12, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::WrapperPython::start()",3, 28, 8, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::WrapperPython::stop()",3, 27, 8, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::WrapperPython::exec()",18, 118, 12, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::WrapperPython::emplaceAndPop( std :: vector<std::shared_ptr<op::Datum>> & l)",5, 87, 8, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::WrapperPython::waitAndEmplace( std :: vector<std::shared_ptr<op::Datum>> & l)",5, 87, 8, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::WrapperPython::waitAndPop( std :: vector<std::shared_ptr<op::Datum>> & l)",5, 87, 8, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::getImagesFromDirectory( const std :: string & directoryPath)",4, 82, 0, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"op::PYBIND11_MODULE( pyopenpose , m)",86, 94, 4, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"pybind11::detail::type_caster<op::Array<float>>::load( handle src , bool imp)",20, 82, 12, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"pybind11::detail::type_caster<op::Array<float>>::cast( const op :: Array<float> & m , return_value_policy , handle defval)",12, 90, 8, 0
repos/cpp/openpose/python/openpose/openpose_python.cpp,"pybind11::detail::type_caster<cv::Mat>::load( handle src , bool)",42, 96, 12, 0
