File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/protobuf/python/google/protobuf/internal/api_implementation.cc,"google::protobuf::python::INITFUNC()",26, 50, 4, 0
repos/cpp/protobuf/python/google/protobuf/internal/python_protobuf.cc,"google::protobuf::python::GetCProtoInsidePyProtoStub( PyObject * msg)",3, 66, 0, 0
repos/cpp/protobuf/python/google/protobuf/internal/python_protobuf.cc,"google::protobuf::python::MutableCProtoInsidePyProtoStub( PyObject * msg)",3, 64, 0, 0
repos/cpp/protobuf/python/google/protobuf/internal/python_protobuf.cc,"google::protobuf::python::GetCProtoInsidePyProto( PyObject * msg)",3, 55, 0, 0
repos/cpp/protobuf/python/google/protobuf/internal/python_protobuf.cc,"google::protobuf::python::MutableCProtoInsidePyProto( PyObject * msg)",3, 53, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/extension_dict.cc,"google::protobuf::python::extension_dict::len( ExtensionDict * self)",24, 79, 6, 0
repos/cpp/protobuf/python/google/protobuf/pyext/extension_dict.cc,"google::protobuf::python::extension_dict::subscript( ExtensionDict * self , PyObject * key)",76, 81, 6, 0
repos/cpp/protobuf/python/google/protobuf/pyext/extension_dict.cc,"google::protobuf::python::extension_dict::ass_subscript( ExtensionDict * self , PyObject * key , PyObject * value)",21, 79, 4, 0
repos/cpp/protobuf/python/google/protobuf/pyext/extension_dict.cc,"google::protobuf::python::extension_dict::_FindExtensionByName( ExtensionDict * self , PyObject * arg)",30, 79, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/extension_dict.cc,"google::protobuf::python::extension_dict::_FindExtensionByNumber( ExtensionDict * self , PyObject * arg)",15, 80, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/extension_dict.cc,"google::protobuf::python::extension_dict::NewExtensionDict( CMessage * parent)",11, 58, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/extension_dict.cc,"google::protobuf::python::extension_dict::dealloc( ExtensionDict * self)",4, 61, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/extension_dict.cc,"google::protobuf::python::extension_dict::RichCompare( ExtensionDict * self , PyObject * other , int opid)",16, 79, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapContainer::GetMutableMessage()",4, 45, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::PyStringToSTL( PyObject * py_string , string * stl_string)",16, 69, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::PythonToMapKey( PyObject * obj , const FieldDescriptor * field_descriptor , MapKey * key)",45, 70, 6, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapKeyToPython( const FieldDescriptor * field_descriptor , const MapKey & key)",22, 73, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapValueRefToPython( const FieldDescriptor * field_descriptor , const MapValueRef & value)",28, 71, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::PythonToMapValueRef( PyObject * obj , const FieldDescriptor * field_descriptor , bool allow_unknown_enum_values , MapValueRef * value_ref)",74, 79, 8, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::GetMap( PyObject * obj)",3, 47, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::Length( PyObject * _self)",6, 75, 43, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::Clear( PyObject * _self)",9, 66, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::GetEntryClass( PyObject * _self)",8, 67, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::MergeFrom( PyObject * _self , PyObject * arg)",16, 75, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::Contains( PyObject * _self , PyObject * key)",18, 74, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::InitializeAndCopyToParentContainer( MapContainer * from , MapContainer * to)",34, 80, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapContainer::Release()",3, 57, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::NewScalarMapContainer( CMessage * parent , const google :: protobuf :: FieldDescriptor * parent_field_descriptor)",33, 90, 4, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::ScalarMapGetItem( PyObject * _self , PyObject * key)",20, 81, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::ScalarMapSetItem( PyObject * _self , PyObject * key , PyObject * v)",35, 80, 31, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::ScalarMapGet( PyObject * self , PyObject * args)",23, 74, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::ScalarMapToStr( PyObject * _self)",31, 73, 7, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::ScalarMapDealloc( PyObject * _self)",10, 71, 4, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::GetMessageMap( PyObject * obj)",3, 59, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::GetCMessage( MessageMapContainer * self , Message * message , bool insert_message_dict)",28, 74, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::NewMessageMapContainer( CMessage * parent , const google :: protobuf :: FieldDescriptor * parent_field_descriptor , CMessageClass * message_class)",44, 88, 4, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::MessageMapSetItem( PyObject * _self , PyObject * key , PyObject * v)",56, 79, 4, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::MessageMapGetItem( PyObject * _self , PyObject * key)",20, 81, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::MessageMapToStr( PyObject * _self)",33, 73, 7, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MessageMapGet( PyObject * self , PyObject * args)",23, 74, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MessageMapDealloc( PyObject * _self)",12, 71, 4, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::GetIter( PyObject * obj)",3, 46, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::GetIterator( PyObject * _self)",25, 72, 4, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::MapReflectionFriend::IterNext( PyObject * _self)",29, 81, 2, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::DeallocMapIterator( PyObject * _self)",7, 50, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/map_container.cc,"google::protobuf::python::InitMapContainers()",54, 78, 6, 0
repos/cpp/protobuf/python/google/protobuf/pyext/descriptor_database.cc,"google::protobuf::python::PyDescriptorDatabase::PyDescriptorDatabase( PyObject * py_database)",4, 66, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/descriptor_database.cc,"google::protobuf::python::PyDescriptorDatabase::~PyDescriptorDatabase()",1, 75, 0, 0
repos/cpp/protobuf/python/google/protobuf/pyext/descriptor_database.cc,"google::protobuf::python::GetFileDescriptorProto( PyObject * py_descriptor , FileDescriptorProto * output)",54, 79, 10, 0
repos/cpp/protobuf/python/google/protobuf/pyext/descriptor_database.cc,"google::protobuf::python::PyDescriptorDatabase::FindFileByName( const string & filename , FileDescriptorProto * output)",6, 81, 6, 0
repos/cpp/protobuf/python/google/protobuf/pyext/descriptor_database.cc,"google::protobuf::python::PyDescriptorDatabase::FindFileContainingSymbol( const string & symbol_name , FileDescriptorProto * output)",7, 74, 6, 0
repos/cpp/protobuf/python/google/protobuf/pyext/descriptor_database.cc,"google::protobuf::python::PyDescriptorDatabase::FindFileContainingExtension( const string & containing_type , int field_number , FileDescriptorProto * output)",15, 77, 6, 0
repos/cpp/protobuf/python/google/protobuf/pyext/descriptor_database.cc,"google::protobuf::python::PyDescriptorDatabase::FindAllExtensionNumbers( const string & containing_type , std :: vector<int> * output)",32, 76, 6, 0
