File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/pytorch/torch/abi-check.cpp,"main()",7, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDGetRank()",3, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDGetNumProcesses()",3, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDAllReduceMultiGPU( THDTensorDescriptor * data , size_t len , THDReduceOp operation , THDGroup group)",8, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDAllReduce( THDTensorDescriptor & desc , THDReduceOp operation , THDGroup group)",6, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDReduceMultiGPU( THDTensorDescriptor * desc , size_t len , THDReduceOp operation , int dst_rank , THDGroup group)",9, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDReduce( THDTensorDescriptor & desc , THDReduceOp operation , int dst_rank , THDGroup group)",7, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDBroadcastMultiGPU( THDTensorDescriptor * desc , size_t len , int src_rank , THDGroup group)",8, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDBroadcast( THDTensorDescriptor & desc , int src_rank , THDGroup group)",3, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDIsend( THDTensorDescriptor & desc , int dst_rank)",3, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDIrecv( THDTensorDescriptor & desc , int src_rank)",3, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDSend( THDTensorDescriptor & desc , int dst_rank)",3, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDRecvAnySource( THDTensorDescriptor & desc)",3, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDRecv( THDTensorDescriptor & desc , int src_rank)",3, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDAllGatherMultiGPU( THDTensorDescriptor * output , size_t outputLen , THDTensorDescriptor * input , size_t inputLen , THDGroup group)",10, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDAllGather( THDTensorDescriptor * output , size_t len , THDTensorDescriptor & input , THDGroup group)",8, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDGatherSend( THDTensorDescriptor & input , int dst_rank , THDGroup group)",4, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDGatherRecv( THDTensorDescriptor * output , size_t len , THDTensorDescriptor & input , THDGroup group)",8, 2, 0, 0
repos/cpp/pytorch/torch/lib/THD/process_group/Collectives.cpp,"THDScatterSend( THDTensorDescriptor * input , size_t len , THDTensorDescriptor & output , THDGroup group)",8, 2, 0, 0
