File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/pytorch/tools/cwrap/plugins/templates/nn_tail.cpp,"torch::nn::short_name( PyObject * c_module)",15, 67, 2, 0
repos/cpp/pytorch/tools/autograd/templates/python_nn_functions.cpp,"torch::autograd::THPVariable__parse_to( PyObject * module , PyObject * args , PyObject * kwargs)",25, 112, 2, 0
repos/cpp/pytorch/tools/autograd/templates/python_nn_functions.cpp,"torch::autograd::initNNFunctions( PyObject * module)",22, 65, 2, 0
repos/cpp/pytorch/tools/autograd/templates/python_functions.cpp,"torch::autograd::generated::addClass( PyTypeObject & type , const char * name , PyGetSetDef * function_properties = NULL , PyMethodDef * function_methods = NULL)",7, 80, 2, 0
repos/cpp/pytorch/tools/autograd/templates/python_functions.cpp,"torch::autograd::generated::initialize_autogenerated_functions()",3, 44, 0, 0
repos/cpp/pytorch/tools/autograd/templates/python_variable_methods.cpp,"torch::autograd::THPVariable_apply_( PyObject * self , PyObject * arg)",12, 68, 0, 0
repos/cpp/pytorch/tools/autograd/templates/python_variable_methods.cpp,"torch::autograd::THPVariable_size( PyObject * self , PyObject * args , PyObject * kwargs)",24, 85, 0, 0
repos/cpp/pytorch/tools/autograd/templates/python_variable_methods.cpp,"torch::autograd::THPVariable_stride( PyObject * self , PyObject * args , PyObject * kwargs)",22, 87, 0, 0
repos/cpp/pytorch/tools/autograd/templates/python_variable_methods.cpp,"torch::autograd::THPVariable_get_device( PyObject * self_ , PyObject * args)",7, 74, 0, 0
repos/cpp/pytorch/tools/autograd/templates/python_variable_methods.cpp,"torch::autograd::THPVariable_storage_offset( PyObject * self_ , PyObject * args)",7, 78, 0, 0
repos/cpp/pytorch/tools/autograd/templates/python_variable_methods.cpp,"torch::autograd::THPVariable_dim( PyObject * self , PyObject * args)",7, 66, 0, 0
repos/cpp/pytorch/tools/autograd/templates/python_variable_methods.cpp,"torch::autograd::dispatch_contiguous( const Tensor & self)",5, 57, 0, 0
repos/cpp/pytorch/tools/autograd/templates/python_variable_methods.cpp,"torch::autograd::THPVariable_contiguous( PyObject * self , PyObject * args)",24, 89, 6, 0
