File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/simdjson/benchmark/minifiercompetition.cpp,"rapidstringmeInsitu( char * json)",12, 46, 0, 0
repos/cpp/simdjson/benchmark/minifiercompetition.cpp,"rapidstringme( char * json)",12, 42, 4, 0
repos/cpp/simdjson/benchmark/minifiercompetition.cpp,"main( int argc , char * argv [ ])",113, 231, 2, 0
repos/cpp/simdjson/benchmark/statisticalmodel.cpp,"count_nonasciibytes( const uint8_t * input , size_t length)",7, 66, 0, 0
repos/cpp/simdjson/benchmark/statisticalmodel.cpp,"count_backslash( const uint8_t * input , size_t length)",7, 62, 0, 0
repos/cpp/simdjson/benchmark/statisticalmodel.cpp,"simdjson_computestats( const std :: string_view & p)",67, 99, 2, 0
repos/cpp/simdjson/benchmark/statisticalmodel.cpp,"main( int argc , char * argv [ ])",92, 83, 6, 0
repos/cpp/simdjson/benchmark/parse.cpp,"main( int argc , char * argv [ ])",233, 81, 2, 0
repos/cpp/simdjson/benchmark/parseandstatcompetition.cpp,"stat_equal( const stat_t & s1 , const stat_t & s2)",7, 81, 9, 0
repos/cpp/simdjson/benchmark/parseandstatcompetition.cpp,"print_stat( const stat_t & s)",9, 80, 2, 0
repos/cpp/simdjson/benchmark/parseandstatcompetition.cpp,"simdjson_computestats( const std :: string_view & p)",57, 58, 0, 0
repos/cpp/simdjson/benchmark/parseandstatcompetition.cpp,"sajson_traverse( stat_t & stats , const sajson :: value & node)",40, 65, 0, 0
repos/cpp/simdjson/benchmark/parseandstatcompetition.cpp,"sasjon_computestats( const std :: string_view & p)",20, 73, 25, 0
repos/cpp/simdjson/benchmark/parseandstatcompetition.cpp,"rapid_traverse( stat_t & stats , const rapidjson :: Value & v)",35, 77, 4, 0
repos/cpp/simdjson/benchmark/parseandstatcompetition.cpp,"rapid_computestats( const std :: string_view & p)",21, 55, 0, 0
repos/cpp/simdjson/benchmark/parseandstatcompetition.cpp,"main( int argc , char * argv [ ])",75, 82, 4, 0
repos/cpp/simdjson/benchmark/parsingcompetition.cpp,"on_json_error( void * , const fastjson :: ErrorContext & ec)",3, 63, 0, 0
repos/cpp/simdjson/benchmark/parsingcompetition.cpp,"fastjson_parse( const char * input)",6, 79, 2, 0
repos/cpp/simdjson/benchmark/parsingcompetition.cpp,"main( int argc , char * argv [ ])",203, 230, 6, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"equals( const char * s1 , const char * s2)",1, 76, 0, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"remove_duplicates( vector<int64_t> & v)",5, 47, 2, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"print_vec( vector<int64_t> & v)",6, 37, 0, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"simdjson_traverse( std :: vector<int64_t> & answer , ParsedJson :: iterator & i)",41, 80, 0, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"simdjson_computestats( const std :: string_view & p)",12, 72, 0, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"sajson_traverse( std :: vector<int64_t> & answer , const sajson :: value & node)",47, 81, 14, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"sasjon_computestats( const std :: string_view & p)",14, 73, 25, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"rapid_traverse( std :: vector<int64_t> & answer , const rapidjson :: Value & v)",37, 79, 0, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"rapid_computestats( const std :: string_view & p)",15, 69, 0, 0
repos/cpp/simdjson/benchmark/distinctuseridcompetition.cpp,"main( int argc , char * argv [ ])",78, 82, 4, 0
repos/cpp/simdjson/tools/minify.cpp,"main( int argc , char * argv [ ])",17, 74, 8, 0
repos/cpp/simdjson/tools/json2json.cpp,"compute_dump( ParsedJson :: iterator & pjh)",33, 55, 4, 0
repos/cpp/simdjson/tools/json2json.cpp,"main( int argc , char * argv [ ])",68, 88, 4, 0
repos/cpp/simdjson/tools/jsonstats.cpp,"count_nonasciibytes( const uint8_t * input , size_t length)",7, 66, 0, 0
repos/cpp/simdjson/tools/jsonstats.cpp,"count_backslash( const uint8_t * input , size_t length)",7, 62, 0, 0
repos/cpp/simdjson/tools/jsonstats.cpp,"simdjson_computestats( const std :: string_view & p)",66, 105, 2, 0
repos/cpp/simdjson/tools/jsonstats.cpp,"main( int argc , char * argv [ ])",32, 186, 2, 0
repos/cpp/simdjson/tests/singleheadertest.cpp,"main()",18, 58, 2, 0
repos/cpp/simdjson/tests/allparserscheckfile.cpp,"on_json_error( void * , const fastjson :: ErrorContext & ec)",3, 64, 0, 0
repos/cpp/simdjson/tests/allparserscheckfile.cpp,"fastjson_parse( const char * input)",5, 86, 2, 0
repos/cpp/simdjson/tests/allparserscheckfile.cpp,"main( int argc , char * argv [ ])",107, 127, 2, 0
repos/cpp/simdjson/tests/numberparsingcheck.cpp,"startsWith( const char * pre , const char * str)",4, 52, 0, 0
repos/cpp/simdjson/tests/numberparsingcheck.cpp,"is_in_bad_list( const char * buf)",7, 74, 2, 0
repos/cpp/simdjson/tests/numberparsingcheck.cpp,"foundInvalidNumber( const uint8_t * buf)",14, 80, 10, 0
repos/cpp/simdjson/tests/numberparsingcheck.cpp,"foundInteger( int64_t result , const uint8_t * buf)",10, 78, 4, 0
repos/cpp/simdjson/tests/numberparsingcheck.cpp,"foundFloat( double result , const uint8_t * buf)",25, 103, 4, 0
repos/cpp/simdjson/tests/numberparsingcheck.cpp,"hasExtension( const char * filename , const char * extension)",4, 72, 0, 0
repos/cpp/simdjson/tests/numberparsingcheck.cpp,"validate( const char * dirname)",68, 81, 2, 0
