File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/smhasher/metrohash64.cpp,"metrohash64_1( const uint8_t * key , uint64_t len , uint32_t seed , uint8_t * out)",76, 92, 8, 0
repos/cpp/smhasher/metrohash64.cpp,"metrohash64_2( const uint8_t * key , uint64_t len , uint32_t seed , uint8_t * out)",75, 92, 8, 0
repos/cpp/smhasher/lookup3.cpp,"lookup3( const void * key , int length , uint32_t initval)",40, 84, 4, 0
repos/cpp/smhasher/lookup3.cpp,"lookup3_test( const void * key , int len , uint32_t seed , void * out)",4, 75, 0, 0
repos/cpp/smhasher/md5.cpp,"md5_starts( md5_context * ctx)",10, 36, 0, 0
repos/cpp/smhasher/md5.cpp,"md5_process( md5_context * ctx , unsigned char data [ 64 ])",122, 68, 0, 0
repos/cpp/smhasher/md5.cpp,"md5_update( md5_context * ctx , unsigned char * input , int ilen)",40, 68, 0, 0
repos/cpp/smhasher/md5.cpp,"md5_finish( md5_context * ctx , unsigned char output [ 16 ])",24, 62, 0, 0
repos/cpp/smhasher/md5.cpp,"md5( unsigned char * input , int ilen , unsigned char output [ 16 ] , uint32_t seed)",11, 84, 0, 0
repos/cpp/smhasher/md5.cpp,"md5hash( const void * input , int len , uint32_t seed)",10, 68, 0, 0
repos/cpp/smhasher/md5.cpp,"md5_32( const void * key , int len , uint32_t seed , void * out)",8, 80, 0, 0
repos/cpp/smhasher/crc.cpp,"crc32( const void * key , int len , uint32_t seed , void * out)",20, 68, 0, 0
repos/cpp/smhasher/Types.cpp,"blackhole( uint32_t)",3, 28, 0, 0
repos/cpp/smhasher/Types.cpp,"whitehole( void)",4, 28, 0, 0
repos/cpp/smhasher/Types.cpp,"MixVCode( const void * blob , int len)",4, 45, 0, 0
repos/cpp/smhasher/Types.cpp,"isprime( uint32_t x)",27, 81, 4, 0
repos/cpp/smhasher/Types.cpp,"GenerateMixingConstants( void)",82, 82, 2, 0
repos/cpp/smhasher/fasthash.cpp,"mix( uint64_t h)",6, 45, 0, 0
repos/cpp/smhasher/fasthash.cpp,"fasthash64( const void * buf , size_t len , uint64_t seed)",32, 64, 0, 0
repos/cpp/smhasher/fasthash.cpp,"fasthash32( const void * buf , size_t len , uint32_t seed)",8, 65, 0, 1
repos/cpp/smhasher/Spooky.cpp,"SpookyHash::Short( const void * message , size_t length , uint64 * hash1 , uint64 * hash2)",101, 51, 8, 0
repos/cpp/smhasher/Spooky.cpp,"SpookyHash::Hash128( const void * message , size_t length , uint64 * hash1 , uint64 * hash2)",61, 72, 4, 0
repos/cpp/smhasher/Spooky.cpp,"SpookyHash::Init( uint64 seed1 , uint64 seed2)",7, 50, 0, 0
repos/cpp/smhasher/Spooky.cpp,"SpookyHash::Update( const void * message , size_t length)",101, 72, 8, 0
repos/cpp/smhasher/Spooky.cpp,"SpookyHash::Final( uint64 * hash1 , uint64 * hash2)",45, 71, 8, 0
repos/cpp/smhasher/metrohash128.cpp,"metrohash128_1( const uint8_t * key , uint64_t len , uint32_t seed , uint8_t * out)",74, 87, 12, 0
