File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"AccessScopeChecker::AccessScopeChecker( const DeclContext * useDC , bool treatUsableFromInlineAsPublic)",5, 38, 4, 0
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"AccessScopeChecker::visitDecl( ValueDecl * VD)",8, 2, 0, 0
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"TypeReprAccessScopeChecker::TypeReprAccessScopeChecker( const DeclContext * useDC , bool treatUsableFromInlineAsPublic)",4, 2, 0, 0
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"TypeReprAccessScopeChecker::walkToTypeReprPre( TypeRepr * TR)",5, 2, 0, 0
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"TypeReprAccessScopeChecker::walkToTypeReprPost( TypeRepr * TR)",3, 2, 0, 0
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"TypeReprAccessScopeChecker::getAccessScope( TypeRepr * TR , const DeclContext * useDC , bool treatUsableFromInlineAsPublic)",6, 2, 0, 0
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"TypeAccessScopeChecker::TypeAccessScopeChecker( const DeclContext * useDC , bool treatUsableFromInlineAsPublic)",3, 64, 4, 0
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"TypeAccessScopeChecker::walkToTypePre( Type T)",14, 2, 0, 0
repos/cpp/swift/lib/AST/AccessScopeChecker.cpp,"TypeAccessScopeChecker::getAccessScope( Type T , const DeclContext * useDC , bool treatUsableFromInlineAsPublic)",6, 2, 0, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"llvm::ilist_alloc_traits<EquivalenceClass>::deleteNode( EquivalenceClass * ptr)",1, 80, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewritePath::RewritePath()",1, 20, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewritePath::getBase() const",1, 61, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewritePath::getPath() const",1, 66, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewritePath::isEmpty() const",1, 74, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewritePath::operator bool() const",1, 56, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewritePath::LLVM_ATTRIBUTE_DEPRECATED( void dump() const LLVM_ATTRIBUTE_USED , "only for use within the debugger")",4, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewritePath::operator ==( const RewritePath & lhs , const RewritePath & rhs)",3, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"AnchorPathCache::AnchorPathCache( GenericSignatureBuilder & builder , EquivalenceClass & equivClass)",3, 51, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"AnchorPathCache::getAnchorPath()",6, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::RewriteTreeNode( AssociatedTypeDecl * assocType)",2, 51, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::getMatch() const",3, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::hasRewriteRule() const",3, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::setRewriteRule( RewritePath replacementPath)",5, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::removeRewriteRule()",4, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::getRewriteRule() const &",4, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::getRewriteRule() &&",4, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::enumerateRewritePaths( RelativeRewritePath matchPath , llvm :: function_ref<void(unsigned,RewritePath)> callback) const",5, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::RuleAction::RuleAction( Kind kind , RewritePath path = { })",2, 35, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::RuleAction::none()",1, 58, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::RuleAction::stop()",1, 58, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::RuleAction::remove()",1, 62, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::RuleAction::replace( RewritePath path)",3, 6, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::RuleAction::operator Kind() const",1, 43, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"RewriteTreeNode::enumerateRules( llvm :: function_ref<EnumerateCallback> fn , bool temporarilyDisableVisitedRule = false)",5, 4, 2, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"GenericSignatureBuilder::Implementation::~Implementation()",4, 2, 0, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"GenericSignatureBuilder::Implementation::allocateEquivalenceClass( PotentialArchetype * representative)",16, 2, 0, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"GenericSignatureBuilder::Implementation::deallocateEquivalenceClass( EquivalenceClass * equivClass)",5, 2, 0, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"EquivalenceClassVizNode::operator const void *() const",1, 66, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"EquivalenceClassVizIterator::EquivalenceClassVizIterator( EquivalenceClassVizNode node , BaseIterator base , BaseIterator baseEnd)",4, 6, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"EquivalenceClassVizIterator::getBase()",1, 45, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"EquivalenceClassVizIterator::getBase() const",1, 57, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"EquivalenceClassVizIterator::operator *() const",3, 6, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"EquivalenceClassVizIterator::operator ++()",4, 6, 4, 0
repos/cpp/swift/lib/AST/GenericSignatureBuilder.cpp,"EquivalenceClassVizIterator::operator ++( int)",5, 6, 4, 0
