File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/tesseract/sw.cpp,"build( Solution & s)",168, 109, 8, 0
repos/cpp/tesseract/sw.cpp,"check( Checker & c)",32, 52, 8, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::UnicharcompressTest::LoadUnicharset( const std :: string & unicharset_name)",27, 80, 8, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::UnicharcompressTest::SerializeAndUndo()",9, 48, 4, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::UnicharcompressTest::IsCJKLang( const std :: string & lang)",4, 70, 4, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::UnicharcompressTest::IsIndicLang( const std :: string & lang)",7, 79, 4, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::UnicharcompressTest::ExpectCorrect( const std :: string & lang)",55, 77, 4, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::UnicharcompressTest::CheckCodeExtensions( const RecodedCharID & code , const std :: vector<RecodedCharID> & times_seen)",24, 77, 4, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::TEST_F( UnicharcompressTest , DoesChinese)",8, 43, 0, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::TEST_F( UnicharcompressTest , DoesJapanese)",5, 44, 0, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::TEST_F( UnicharcompressTest , DoesKorean)",5, 42, 0, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::TEST_F( UnicharcompressTest , DoesKannada)",7, 43, 0, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::TEST_F( UnicharcompressTest , DoesMarathi)",5, 43, 0, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::TEST_F( UnicharcompressTest , DoesEnglish)",5, 43, 0, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::TEST_F( UnicharcompressTest , DoesLigaturesWithDoubles)",17, 75, 2, 0
repos/cpp/tesseract/unittest/unicharcompress_test.cc,"tesseract::TEST_F( UnicharcompressTest , GetEncodingAsString)",20, 80, 2, 0
repos/cpp/tesseract/unittest/validate_khmer_test.cc,"tesseract::TEST( ValidateKhmerTest , GoodKhmerWords)",10, 73, 2, 0
repos/cpp/tesseract/unittest/validate_khmer_test.cc,"tesseract::TEST( ValidateKhmerTest , BadKhmerWords)",18, 74, 2, 0
repos/cpp/tesseract/unittest/lstm_test.cc,"tesseract::TEST_F( LSTMTrainerTest , BasicTest)",20, 78, 2, 0
repos/cpp/tesseract/unittest/lstm_test.cc,"tesseract::TEST_F( LSTMTrainerTest , ColorTest)",9, 70, 2, 0
repos/cpp/tesseract/unittest/lstm_test.cc,"tesseract::TEST_F( LSTMTrainerTest , BidiTest)",10, 80, 2, 0
repos/cpp/tesseract/unittest/lstm_test.cc,"tesseract::TEST_F( LSTMTrainerTest , Test2D)",12, 80, 2, 0
repos/cpp/tesseract/unittest/lstm_test.cc,"tesseract::TEST_F( LSTMTrainerTest , TestAdam)",9, 70, 2, 0
repos/cpp/tesseract/unittest/lstm_test.cc,"tesseract::TEST_F( LSTMTrainerTest , SpeedTest)",8, 76, 6, 0
repos/cpp/tesseract/unittest/lstm_test.cc,"tesseract::TEST_F( LSTMTrainerTest , DeterminismTest)",33, 75, 2, 0
repos/cpp/tesseract/unittest/lstm_test.cc,"tesseract::TEST_F( LSTMTrainerTest , SoftmaxBaselineTest)",16, 76, 2, 0
