File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"ZydisMnemonicGetStringHook( ZydisMnemonic mnemonic)",70, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"ZydisPrintMnemonicIntelHook( const ZydisFormatter * formatter , ZydisString * string , const ZydisDecodedInstruction * instruction , void * userData)",101, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::GlobalInitialize()",105, 8, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::GlobalFinalize()",29, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Zydis()",40, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::~Zydis()",16, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Disassemble( size_t addr , const unsigned char data [ MAX_DISASM_BUFFER ])",82, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Disassemble( size_t addr , const unsigned char * data , int size)",97, 12, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::DisassembleSafe( size_t addr , const unsigned char * data , int size)",78, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::GetInstr() const",55, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Success() const",28, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::RegName( ZydisRegister reg) const",52, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::OperandText( int opindex) const",89, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Size() const",31, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Address() const",45, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsFilling() const",30, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsBranchType( std :: underlying_type_t<BranchType> bt) const",89, 8, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::GetId() const",35, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::InstructionText( bool replaceRipRelative) const",85, 12, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::OpCount() const",28, 4, 0
