File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"ZydisMnemonicGetStringHook( ZydisMnemonic mnemonic)",44, 70, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"ZydisPrintMnemonicIntelHook( const ZydisFormatter * formatter , ZydisString * string , const ZydisDecodedInstruction * instruction , void * userData)",24, 101, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::GlobalInitialize()",21, 105, 8, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::GlobalFinalize()",4, 29, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Zydis()",7, 40, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::~Zydis()",3, 16, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Disassemble( size_t addr , const unsigned char data [ MAX_DISASM_BUFFER ])",4, 82, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Disassemble( size_t addr , const unsigned char * data , int size)",52, 97, 12, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::DisassembleSafe( size_t addr , const unsigned char * data , int size)",7, 78, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::GetInstr() const",6, 55, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Success() const",4, 28, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::RegName( ZydisRegister reg) const",24, 52, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::OperandText( int opindex) const",63, 89, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Size() const",6, 31, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Address() const",7, 45, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsFilling() const",14, 30, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsBranchType( std :: underlying_type_t<BranchType> bt) const",83, 89, 8, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::GetId() const",6, 35, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::InstructionText( bool replaceRipRelative) const",35, 85, 12, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::OpCount() const",6, 28, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::operator [ ]( int index) const",6, 63, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"isSafe64NopRegOp( const ZydisDecodedOperand & op)",31, 97, 8, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsNop() const",98, 92, 19, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsPushPop() const",14, 33, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsUnusual() const",17, 58, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::Mnemonic() const",6, 56, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::MemSizeName( int size) const",30, 47, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::BranchDestination() const",9, 71, 12, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::ResolveOpValue( int opindex , const std :: function<size_t(ZydisRegister)> & resolveReg) const",24, 105, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsBranchGoingToExecute( size_t cflags , size_t ccx) const",6, 68, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsBranchGoingToExecute( ZydisMnemonic id , size_t cflags , size_t ccx)",59, 81, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsConditionalGoingToExecute( size_t cflags , size_t ccx) const",6, 73, 0, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::IsConditionalGoingToExecute( ZydisMnemonic id , size_t cflags , size_t ccx)",93, 92, 4, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::RegInfo( uint8_t regs [ ZYDIS_REGISTER_MAX_VALUE + 1 ]) const",50, 85, 12, 0
repos/cpp/x64dbg/src/zydis_wrapper/zydis_wrapper.cpp,"Zydis::FlagName( ZydisCPUFlag flag) const",50, 53, 0, 0
