File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGCheckNullPtr_R( SEXP handle)",3, 59, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"_DMatrixFinalizer( SEXP ext)",7, 53, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixCreateFromFile_R( SEXP fname , SEXP silent)",11, 88, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixCreateFromMat_R( SEXP mat , SEXP missing)",30, 94, 6, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixCreateFromCSC_R( SEXP indptr , SEXP indices , SEXP data , SEXP num_row)",34, 78, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixSliceDMatrix_R( SEXP handle , SEXP idxset)",18, 65, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixSaveBinary_R( SEXP handle , SEXP fname , SEXP silent)",8, 67, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixSetInfo_R( SEXP handle , SEXP field , SEXP array)",24, 82, 4, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixGetInfo_R( SEXP handle , SEXP field)",17, 62, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixNumRow_R( SEXP handle)",7, 65, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGDMatrixNumCol_R( SEXP handle)",7, 65, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"_BoosterFinalizer( SEXP ext)",5, 53, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterCreate_R( SEXP dmats)",16, 69, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterSetParam_R( SEXP handle , SEXP name , SEXP val)",8, 61, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterUpdateOneIter_R( SEXP handle , SEXP iter , SEXP dtrain)",8, 69, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterBoostOneIter_R( SEXP handle , SEXP dtrain , SEXP grad , SEXP hess)",18, 79, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterEvalOneIter_R( SEXP handle , SEXP iter , SEXP dmats , SEXP evnames)",24, 80, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterPredict_R( SEXP handle , SEXP dmat , SEXP option_mask , SEXP ntree_limit)",18, 86, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterLoadModel_R( SEXP handle , SEXP fname)",6, 82, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterSaveModel_R( SEXP handle , SEXP fname)",6, 82, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterLoadModelFromRaw_R( SEXP handle , SEXP raw)",8, 69, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterModelToRaw_R( SEXP handle)",14, 76, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterDumpModel_R( SEXP handle , SEXP fmap , SEXP with_stats , SEXP dump_format)",36, 87, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterGetAttr_R( SEXP handle , SEXP name)",19, 57, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterSetAttr_R( SEXP handle , SEXP name , SEXP val)",8, 61, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_R.cc,"XGBoosterGetAttrNames_R( SEXP handle)",19, 62, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_custom.cc,"dmlc::CustomLogMessage::Log( const std :: string & msg)",3, 53, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_custom.cc,"xgboost::ConsoleLogger::~ConsoleLogger()",6, 52, 4, 0
repos/cpp/xgboost/R-package/src/xgboost_custom.cc,"xgboost::TrackerLogger::~TrackerLogger()",3, 50, 2, 0
repos/cpp/xgboost/R-package/src/xgboost_custom.cc,"xgboost::common::CheckNAN( double v)",3, 26, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_custom.cc,"xgboost::common::LogGamma( double v)",3, 28, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_custom.cc,"xgboost::common::CustomGlobalRandomEngine::seed( CustomGlobalRandomEngine :: result_type val)",3, 81, 0, 0
repos/cpp/xgboost/R-package/src/xgboost_custom.cc,"xgboost::common::CustomGlobalRandomEngine::operator ( )()",4, 66, 6, 0
repos/cpp/xgboost/tests/cpp/test_learner.cc,"xgboost::TEST( Learner , Basic)",10, 67, 2, 0
repos/cpp/xgboost/tests/cpp/test_learner.cc,"xgboost::TEST( Learner , SelectTreeMethod)",33, 80, 2, 0
repos/cpp/xgboost/tests/cpp/test_learner.cc,"xgboost::TEST( Learner , CheckGroup)",40, 84, 6, 0
repos/cpp/xgboost/tests/cpp/test_learner.cc,"xgboost::TEST( Learner , SLOW_CheckMultiBatch)",21, 109, 2, 0
repos/cpp/xgboost/tests/cpp/test_main.cc,"main( int argc , char ** argv)",5, 56, 2, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"FileExists( const std :: string & filename)",4, 47, 0, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"GetFileSize( const std :: string & filename)",5, 48, 0, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"CreateSimpleTestData( const std :: string & filename)",3, 57, 0, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"CreateBigTestData( const std :: string & filename , size_t n_entries)",9, 76, 4, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"_CheckObjFunction( xgboost :: ObjFunction * obj , std :: vector<xgboost::bst_float> preds , std :: vector<xgboost::bst_float> labels , std :: vector<xgboost::bst_float> weights , xgboost :: MetaInfo info , std :: vector<xgboost::bst_float> out_grad , std :: vector<xgboost::bst_float> out_hess)",22, 75, 6, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"CheckObjFunction( xgboost :: ObjFunction * obj , std :: vector<xgboost::bst_float> preds , std :: vector<xgboost::bst_float> labels , std :: vector<xgboost::bst_float> weights , std :: vector<xgboost::bst_float> out_grad , std :: vector<xgboost::bst_float> out_hess)",13, 76, 2, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"CheckRankingObjFunction( xgboost :: ObjFunction * obj , std :: vector<xgboost::bst_float> preds , std :: vector<xgboost::bst_float> labels , std :: vector<xgboost::bst_float> weights , std :: vector<xgboost::bst_uint> groups , std :: vector<xgboost::bst_float> out_grad , std :: vector<xgboost::bst_float> out_hess)",15, 76, 2, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"GetMetricEval( xgboost :: Metric * metric , xgboost :: HostDeviceVector<xgboost::bst_float> preds , std :: vector<xgboost::bst_float> labels , std :: vector<xgboost::bst_float> weights)",11, 86, 33, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"xgboost::IsNear( std :: vector<xgboost::bst_float> :: const_iterator _beg1 , std :: vector<xgboost::bst_float> :: const_iterator _end1 , std :: vector<xgboost::bst_float> :: const_iterator _beg2)",10, 78, 2, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"xgboost::SimpleLCG::operator ( )()",4, 47, 0, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"xgboost::SimpleLCG::Min() const",3, 46, 0, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"xgboost::SimpleLCG::Max() const",3, 46, 0, 0
repos/cpp/xgboost/tests/cpp/helpers.cc,"xgboost::CreateDMatrix( int rows , int columns , float sparsity , int seed)",21, 77, 49, 0
repos/cpp/xgboost/tests/cpp/test_logging.cc,"xgboost::TEST( Logging , Basic)",48, 68, 2, 0
repos/cpp/xgboost/tests/cpp/tree/test_param.cc,"TEST( Param , VectorIOStream)",16, 52, 2, 0
repos/cpp/xgboost/tests/cpp/tree/test_param.cc,"TEST( Param , VectorStreamRead)",55, 55, 2, 0
repos/cpp/xgboost/tests/cpp/tree/test_param.cc,"TEST( Param , SplitEntry)",21, 72, 2, 0
repos/cpp/xgboost/tests/cpp/tree/test_refresh.cc,"xgboost::tree::TEST( Updater , Refresh)",36, 74, 8, 0
repos/cpp/xgboost/tests/cpp/tree/test_tree_model.cc,"xgboost::TEST( Tree , Load)",76, 81, 2, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::BuilderMock::BuilderMock( const TrainParam & param , std :: unique_ptr<TreeUpdater> pruner , std :: unique_ptr<SplitEvaluator> spliteval)",4, 70, 8, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::BuilderMock::TestInitData( const GHistIndexMatrix & gmat , const std :: vector<GradientPair> & gpair , DMatrix * p_fmat , const RegTree & tree)",61, 80, 6, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::BuilderMock::TestBuildHist( int nid , const GHistIndexMatrix & gmat , const DMatrix & fmat , const RegTree & tree)",36, 78, 12, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::BuilderMock::TestEvaluateSplit( const GHistIndexBlockMatrix & quantile_index_block , const RegTree & tree)",83, 88, 6, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::QuantileHistMock( const std :: vector<std::pair<std::string,std::string>> & args)",11, 75, 12, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::~QuantileHistMock()",1, 39, 2, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::GetNumColumns()",1, 51, 2, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::TestInitData()",14, 76, 10, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::TestBuildHist()",10, 60, 4, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::QuantileHistMock::TestEvaluateSplit()",6, 47, 4, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::TEST( Updater , QuantileHist_InitData)",6, 76, 6, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::TEST( Updater , QuantileHist_BuildHist)",8, 75, 6, 0
repos/cpp/xgboost/tests/cpp/tree/test_quantile_hist.cc,"xgboost::tree::TEST( Updater , QuantileHist_EvalSplits)",9, 75, 6, 0
repos/cpp/xgboost/tests/cpp/tree/test_prune.cc,"xgboost::tree::TEST( Updater , Prune)",45, 74, 8, 0
repos/cpp/xgboost/tests/cpp/linear/test_linear.cc,"TEST( Linear , shotgun)",24, 71, 4, 0
repos/cpp/xgboost/tests/cpp/linear/test_linear.cc,"TEST( Linear , coordinate)",17, 64, 6, 0
repos/cpp/xgboost/tests/cpp/objective/test_ranking_obj.cc,"TEST( Objective , PairwiseRankingGPair)",25, 78, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_objective.cc,"TEST( Objective , UnknownFunction)",6, 72, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(LinearRegressionGPair))",20, 75, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(LogisticRegressionGPair))",13, 93, 19, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(LogisticRegressionBasic))",27, 86, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(LogisticRawGPair))",13, 81, 19, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(PoissonRegressionGPair))",19, 78, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(PoissonRegressionBasic))",25, 85, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(GammaRegressionGPair))",18, 74, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(GammaRegressionBasic))",25, 85, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(TweedieRegressionGPair))",20, 76, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , DeclareUnifiedTest(TweedieRegressionBasic))",25, 85, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_regression_obj.cc,"TEST( Objective , CoxRegressionGPair)",13, 82, 19, 0
repos/cpp/xgboost/tests/cpp/objective/test_multiclass_obj.cc,"TEST( Objective , DeclareUnifiedTest(SoftmaxMultiClassObjGPair))",15, 78, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_multiclass_obj.cc,"TEST( Objective , DeclareUnifiedTest(SoftmaxMultiClassBasic))",19, 79, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_multiclass_obj.cc,"TEST( Objective , DeclareUnifiedTest(SoftprobMultiClassBasic))",17, 87, 2, 0
repos/cpp/xgboost/tests/cpp/objective/test_hinge.cc,"TEST( Objective , DeclareUnifiedTest(HingeObj))",22, 77, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , TestStatus)",5, 30, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , DlfConstructors)",34, 35, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , FromNullPtr)",22, 80, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , FromPtrLen)",46, 61, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , FromFirstLast)",46, 49, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::BaseClass::operator ( )()",1, 31, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::DerivedClass::operator ( )()",1, 31, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , FromOther)",21, 44, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , FromArray)",22, 38, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , FromContainer)",11, 60, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , Assignment)",5, 29, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( SpanIter , Construct)",5, 32, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( SpanIter , Ref)",5, 26, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( SpanIter , Calculate)",5, 32, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( SpanIter , Compare)",5, 30, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , BeginEnd)",5, 27, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , RBeginREnd)",5, 29, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , ElementAccess)",17, 34, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , Obversers)",5, 28, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , FirstLast)",81, 48, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , Subspan)",20, 43, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , Compare)",5, 26, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , AsBytes)",5, 26, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , AsWritableBytes)",5, 34, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_span.cc,"xgboost::common::TEST( Span , Empty)",23, 73, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_hist_util.cc,"xgboost::common::HistCutMatrixMock::SearchGroupIndFromBaseRow( std :: vector<bst_uint> const & group_ptr , size_t const base_rowid)",4, 76, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_hist_util.cc,"xgboost::common::TEST( HistCutMatrix , SearchGroupInd)",29, 82, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_random.cc,"xgboost::common::TEST( ColumnSampler , Test)",41, 70, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_compressed_iterator.cc,"xgboost::common::TEST( CompressedIterator , Test)",46, 77, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_column_matrix.cc,"xgboost::common::TEST( DenseColumn , Test)",16, 64, 8, 0
repos/cpp/xgboost/tests/cpp/common/test_column_matrix.cc,"xgboost::common::TEST( SparseColumn , Test)",14, 58, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_column_matrix.cc,"xgboost::common::TEST( DenseColumnWithMissing , Test)",14, 58, 4, 0
repos/cpp/xgboost/tests/cpp/common/test_common.cc,"xgboost::TEST( GPUSet , Basic)",32, 52, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_monitor.cc,"xgboost::common::TEST( Monitor , Logging)",24, 80, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_enum_class_param.cc,"MyParam::DMLC_DECLARE_PARAMETER( MyParam)",10, 36, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_enum_class_param.cc,"TEST( EnumClassParam , Basic)",28, 54, 2, 0
repos/cpp/xgboost/tests/cpp/common/test_transform_range.cc,"InitializeRange( Iter _begin , Iter _end)",6, 47, 0, 0
repos/cpp/xgboost/tests/cpp/common/test_transform_range.cc,"xgboost::common::TestTransformRange::operator ( )( size_t _idx , Span<bst_float> _out , Span<const bst_float> _in)",4, 84, 33, 0
repos/cpp/xgboost/tests/cpp/common/test_transform_range.cc,"xgboost::common::TEST( Transform , DeclareUnifiedTest(Basic))",20, 70, 2, 0
repos/cpp/xgboost/tests/cpp/predictor/test_cpu_predictor.cc,"xgboost::TEST( cpu_predictor , Test)",56, 85, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_multiclass_metric.cc,"TEST( Metric , MultiClassError)",13, 84, 28, 0
repos/cpp/xgboost/tests/cpp/metric/test_multiclass_metric.cc,"TEST( Metric , MultiClassLogLoss)",13, 84, 28, 0
repos/cpp/xgboost/tests/cpp/metric/test_rank_metric.cc,"TEST( Metric , AMS)",17, 70, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_rank_metric.cc,"TEST( Metric , AUC)",13, 64, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_rank_metric.cc,"TEST( Metric , AUCPR)",22, 82, 20, 0
repos/cpp/xgboost/tests/cpp/metric/test_rank_metric.cc,"TEST( Metric , Precision)",25, 75, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_rank_metric.cc,"TEST( Metric , NDCG)",45, 77, 28, 0
repos/cpp/xgboost/tests/cpp/metric/test_rank_metric.cc,"TEST( Metric , MAP)",29, 77, 28, 0
repos/cpp/xgboost/tests/cpp/metric/test_metric.cc,"TEST( Metric , UnknownMetric)",9, 72, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_elementwise_metric.cc,"TEST( Metric , DeclareUnifiedTest(RMSE))",12, 64, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_elementwise_metric.cc,"TEST( Metric , DeclareUnifiedTest(MAE))",11, 64, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_elementwise_metric.cc,"TEST( Metric , DeclareUnifiedTest(LogLoss))",11, 65, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_elementwise_metric.cc,"TEST( Metric , DeclareUnifiedTest(Error))",30, 64, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_elementwise_metric.cc,"TEST( Metric , DeclareUnifiedTest(PoissionNegLogLik))",11, 73, 2, 0
repos/cpp/xgboost/tests/cpp/metric/test_elementwise_metric.cc,"TEST( Metric , MGPU_RMSE)",25, 66, 4, 0
repos/cpp/xgboost/tests/cpp/data/test_simple_csr_source.cc,"TEST( SimpleCSRSource , SaveLoadBinary)",28, 83, 2, 0
repos/cpp/xgboost/tests/cpp/data/test_data.cc,"xgboost::TEST( SparsePage , PushCSC)",48, 63, 4, 0
repos/cpp/xgboost/tests/cpp/data/test_metainfo.cc,"TEST( MetaInfo , GetSet)",33, 69, 4, 0
repos/cpp/xgboost/tests/cpp/data/test_metainfo.cc,"TEST( MetaInfo , SaveLoadBinary)",24, 71, 2, 0
repos/cpp/xgboost/tests/cpp/data/test_metainfo.cc,"TEST( MetaInfo , LoadQid)",61, 81, 2, 0
repos/cpp/xgboost/tests/cpp/data/test_simple_dmatrix.cc,"TEST( SimpleDMatrix , MetaInfo)",14, 75, 2, 0
repos/cpp/xgboost/tests/cpp/data/test_simple_dmatrix.cc,"TEST( SimpleDMatrix , RowAccess)",21, 76, 2, 0
repos/cpp/xgboost/tests/cpp/data/test_simple_dmatrix.cc,"TEST( SimpleDMatrix , ColAccessWithoutBatches)",21, 75, 2, 0
repos/cpp/xgboost/tests/cpp/data/test_sparse_page_dmatrix.cc,"TEST( SparsePageDMatrix , MetaInfo)",17, 65, 2, 0
repos/cpp/xgboost/tests/cpp/data/test_sparse_page_dmatrix.cc,"TEST( SparsePageDMatrix , RowAccess)",25, 61, 2, 0
repos/cpp/xgboost/tests/cpp/data/test_sparse_page_dmatrix.cc,"TEST( SparsePageDMatrix , ColAccess)",31, 64, 2, 0
repos/cpp/xgboost/tests/cpp/c_api/test_c_api.cc,"TEST( c_api , XGDMatrixCreateFromMatDT)",26, 66, 2, 0
repos/cpp/xgboost/tests/cpp/c_api/test_c_api.cc,"TEST( c_api , XGDMatrixCreateFromMat_omp)",33, 81, 31, 0
repos/cpp/xgboost/plugin/dense_parser/dense_libsvm.cc,"dmlc::data::DensifyParser::DensifyParser( dmlc :: Parser<IndexType> * parser , uint32_t num_col)",3, 67, 2, 0
repos/cpp/xgboost/plugin/dense_parser/dense_libsvm.cc,"dmlc::data::DensifyParser::BeforeFirst()",3, 32, 2, 0
repos/cpp/xgboost/plugin/dense_parser/dense_libsvm.cc,"dmlc::data::DensifyParser::Next()",29, 64, 8, 0
repos/cpp/xgboost/plugin/dense_parser/dense_libsvm.cc,"dmlc::data::DensifyParser::Value() const",3, 60, 2, 0
repos/cpp/xgboost/plugin/dense_parser/dense_libsvm.cc,"dmlc::data::DensifyParser::BytesRead() const",3, 38, 2, 0
repos/cpp/xgboost/plugin/dense_parser/dense_libsvm.cc,"dmlc::data::CreateDenseLibSVMParser( const std :: string & path , const std :: map<std::string,std::string> & args , unsigned part_index , unsigned num_parts)",9, 86, 12, 0
repos/cpp/xgboost/plugin/example/custom_obj.cc,"xgboost::obj::MyLogisticParam::DMLC_DECLARE_PARAMETER( MyLogisticParam)",4, 81, 4, 0
repos/cpp/xgboost/plugin/example/custom_obj.cc,"xgboost::obj::MyLogistic::Configure( const std :: vector<std::pair<std::string,std::string>> & args)",3, 91, 2, 0
repos/cpp/xgboost/plugin/example/custom_obj.cc,"xgboost::obj::MyLogistic::GetGradient( const HostDeviceVector<bst_float> & preds , const MetaInfo & info , int iter , HostDeviceVector<GradientPair> * out_gpair)",21, 73, 19, 0
repos/cpp/xgboost/plugin/example/custom_obj.cc,"xgboost::obj::MyLogistic::DefaultEvalMetric() const",3, 51, 2, 0
repos/cpp/xgboost/plugin/example/custom_obj.cc,"xgboost::obj::MyLogistic::PredTransform( HostDeviceVector<bst_float> * io_preds)",7, 71, 2, 0
repos/cpp/xgboost/plugin/example/custom_obj.cc,"xgboost::obj::MyLogistic::ProbToMargin( bst_float base_score) const",4, 64, 2, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray::num_chunk() const",4, 53, 4, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray::RawBytes() const",3, 47, 4, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray::EncodedBytes() const",4, 74, 8, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray<DType>::Read( dmlc :: SeekStream * fi)",8, 76, 2, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray<DType>::Decompress( int chunk_id)",12, 77, 6, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray<DType>::InitCompressChunks( const std :: vector<bst_uint> & chunk_ptr)",9, 64, 4, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray<DType>::InitCompressChunks( size_t chunk_size , size_t max_nchunk)",18, 93, 0, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray<DType>::Compress( int chunk_id , bool use_hc)",21, 95, 2, 0
repos/cpp/xgboost/plugin/lz4/sparse_page_lz4_format.cc,"xgboost::data::CompressArray<DType>::Write( dmlc :: Stream * fo)",12, 81, 4, 0
