File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/DoraemonKit/Android/app/src/androidTest/java/com/didichuxing/doraemondemo/ExampleInstrumentedTest.java,"ExampleInstrumentedTest::useAppContext()",6, 83, 8, 0
repos/java/DoraemonKit/Android/app/src/test/java/com/didichuxing/doraemondemo/ExampleUnitTest.java,"ExampleUnitTest::addition_isCorrect()",3, 56, 4, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/MainActivity.java,"MainActivity::onCreate( Bundle savedInstanceState)",10, 76, 8, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/MainActivity.java,"MainActivity::onClick( View v)",58, 133, 16, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/MainActivity.java,"MainActivity::testCrash()",3, 32, 4, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/MainActivity.java,"MainActivity::requestByGet( final String path)",30, 96, 20, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/MainActivity.java,"MainActivity::requestByPost( final String path)",35, 96, 20, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/MainActivity.java,"MainActivity::requestByOkHttp()",17, 91, 8, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/MainActivity.java,"MainActivity::requestByCustom( String url)",48, 151, 24, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/WebViewActivity.java,"WebViewActivity::onCreate( @ Nullable Bundle savedInstanceState)",23, 80, 12, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/WebViewActivity.java,"WebViewActivity::onDestroy()",3, 33, 4, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/App.java,"App::onCreate()",14, 78, 8, 0
repos/java/DoraemonKit/Android/app/src/main/java/com/didichuxing/doraemondemo/TestActivity.java,"TestActivity::onCreate( @ Nullable Bundle savedInstanceState)",3, 67, 4, 0
repos/java/DoraemonKit/Android/adb/src/androidTest/java/com/didichuxing/doraemonkit/adb/ExampleInstrumentedTest.java,"ExampleInstrumentedTest::useAppContext()",6, 91, 8, 0
repos/java/DoraemonKit/Android/adb/src/test/java/com/didichuxing/doraemonkit/adb/ExampleUnitTest.java,"ExampleUnitTest::addition_isCorrect()",3, 56, 4, 0
repos/java/DoraemonKit/Android/adb/src/main/java/com/didichuxing/doraemonkit/adb/ThreadPoolProxyFactory.java,"ThreadPoolProxyFactory::getThreadPoolProxy()",10, 66, 20, 0
repos/java/DoraemonKit/Android/adb/src/main/java/com/didichuxing/doraemonkit/adb/AdbManager.java,"AdbManager::getInstance()",3, 45, 4, 0
