File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/JCSprout/src/test/java/com/crossoverjie/proxy/JDKProxyTest.java,"JDKProxyTest::test()",5, 136, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/proxy/JDKProxyTest.java,"JDKProxyTest::clazzTest()",13, 100, 12, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRUMapTest.java,"LRUMapTest::put()",14, 56, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRUMapTest.java,"LRUMapTest::put2()",14, 56, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRUMapTest.java,"LRUMapTest::put3()",15, 56, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRUMapTest.java,"LRUMapTest::put4()",12, 56, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRUMapTest.java,"LRUMapTest::get()",14, 56, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRUMapTest.java,"LRUMapTest::get2()",14, 56, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRUMapTest.java,"LRUMapTest::get3()",14, 56, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRUMapTest.java,"LRUMapTest::get4()",20, 54, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRULinkedMapTest.java,"LRULinkedMapTest::put()",16, 72, 12, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRULinkedMapTest.java,"LRULinkedMapTest::put2()",17, 72, 12, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/LRULinkedMapTest.java,"LRULinkedMapTest::get()",17, 72, 12, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/AbstractMapTest.java,"AbstractMapTest::test()",11, 52, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/actual/AbstractMapTest.java,"AbstractMapTest::main( String [ ] args)",12, 52, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkLoopTest.java,"LinkLoopTest::isLoop()",12, 55, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkLoopTest.java,"LinkLoopTest::isLoop2()",13, 55, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/LinkLoopTest.java,"LinkLoopTest::isLoop3()",11, 55, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/MergeTwoSortedListsTest.java,"MergeTwoSortedListsTest::setUp()",3, 57, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/MergeTwoSortedListsTest.java,"MergeTwoSortedListsTest::mergeTwoLists()",34, 71, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/MergeTwoSortedListsTest.java,"MergeTwoSortedListsTest::mergeTwoLists2()",15, 73, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/MergeTwoSortedListsTest.java,"MergeTwoSortedListsTest::mergeTwoLists3()",23, 73, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/TwoStackQueueTest.java,"TwoStackQueueTest::queue()",25, 76, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/HappyNumTest.java,"HappyNumTest::isHappy()",5, 46, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/HappyNumTest.java,"HappyNumTest::isHappy2()",5, 46, 4, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/HappyNumTest.java,"HappyNumTest::isHappy3()",5, 47, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java,"ReverseNodeTest::reverseNode1()",9, 64, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java,"ReverseNodeTest::reverseNode12()",7, 54, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java,"ReverseNodeTest::reverseNode13()",7, 54, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java,"ReverseNodeTest::reverseHead21()",10, 54, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/ReverseNodeTest.java,"ReverseNodeTest::recNodeTest31()",9, 54, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/BinaryNodeTest.java,"BinaryNodeTest::test1()",10, 45, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/TwoSumTest.java,"TwoSumTest::getTwo1()",7, 53, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/TwoSumTest.java,"TwoSumTest::getTwo2()",7, 52, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/BinaryNodeTravelTest.java,"BinaryNodeTravelTest::levelIterator()",13, 70, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/BloomFiltersTest.java,"BloomFiltersTest::guavaTest()",18, 58, 8, 0
repos/java/JCSprout/src/test/java/com/crossoverjie/algorithm/BloomFiltersTest.java,"BloomFiltersTest::hashMapTest()",14, 57, 8, 0
