File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/Leaf/leaf-server/src/test/java/com/sankuai/inf/leaf/server/LeafServerApplicationTests.java,"LeafServerApplicationTests::contextLoads()",2, 30, 0, 1
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/LeafMonitorController.java,"LeafMonitorController::getCache( Model model)",29, 100, 12, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/LeafMonitorController.java,"LeafMonitorController::getDb( Model model)",10, 100, 12, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/LeafController.java,"LeafController::getSegmentID( @ PathVariable('key') String key)",3, 66, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/LeafController.java,"LeafController::getSnowflakeID( @ PathVariable('key') String key)",4, 68, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/LeafController.java,"LeafController::get( @ PathVariable('key') String key , Result id)",12, 69, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/LeafServerApplication.java,"LeafServerApplication::main( String [ ] args)",3, 60, 0, 2
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/SegmentService.java,"SegmentService::SegmentService()",29, 108, 8, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/SegmentService.java,"SegmentService::getId( String key)",3, 38, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/SegmentService.java,"SegmentService::getIdGen()",6, 49, 8, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/SnowflakeService.java,"SnowflakeService::SnowflakeService()",17, 110, 8, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/SnowflakeService.java,"SnowflakeService::getId( String key)",3, 38, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::getKey()",3, 29, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setKey( String key)",3, 37, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::getValue1()",3, 30, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setValue1( long value1)",3, 41, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::getStep1()",3, 28, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setStep1( int step1)",3, 38, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::getMax1()",3, 28, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setMax1( long max1)",3, 37, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::getValue0()",3, 30, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setValue0( long value0)",3, 41, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::getStep0()",3, 28, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setStep0( int step0)",3, 38, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::getMax0()",3, 28, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setMax0( long max0)",3, 37, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::getPos()",3, 26, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setPos( int pos)",3, 34, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::isNextReady()",3, 35, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setNextReady( boolean nextReady)",3, 50, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::isInitOk()",3, 32, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/model/SegmentBufferView.java,"SegmentBufferView::setInitOk( boolean initOk)",3, 44, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/exception/LeafServerException.java,"LeafServerException::LeafServerException( String msg)",3, 45, 4, 0
repos/java/Leaf/leaf-server/src/main/java/com/sankuai/inf/leaf/server/exception/InitException.java,"InitException::InitException( String msg)",3, 39, 4, 0
repos/java/Leaf/leaf-core/src/test/java/com/sankuai/inf/leaf/segment/SpringIDGenServiceTest.java,"SpringIDGenServiceTest::testGetId()",6, 55, 12, 0
repos/java/Leaf/leaf-core/src/test/java/com/sankuai/inf/leaf/segment/IDGenServiceTest.java,"IDGenServiceTest::before()",19, 73, 8, 0
repos/java/Leaf/leaf-core/src/test/java/com/sankuai/inf/leaf/segment/IDGenServiceTest.java,"IDGenServiceTest::testGetId()",6, 55, 12, 0
repos/java/Leaf/leaf-core/src/test/java/com/sankuai/inf/leaf/segment/IDGenServiceTest.java,"IDGenServiceTest::after()",3, 27, 7, 0
repos/java/Leaf/leaf-core/src/test/java/com/sankuai/inf/leaf/snowflake/SnowflakeIDGenImplTest.java,"SnowflakeIDGenImplTest::testGetId()",9, 92, 8, 0
repos/java/Leaf/leaf-core/src/main/java/com/sankuai/inf/leaf/segment/SegmentIDGenImpl.java,"SegmentIDGenImpl::UpdateThreadFactory::nextThreadNum()",3, 58, 8, 0
repos/java/Leaf/leaf-core/src/main/java/com/sankuai/inf/leaf/segment/SegmentIDGenImpl.java,"SegmentIDGenImpl::UpdateThreadFactory::newThread( Runnable r)",3, 78, 12, 0
