File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onCreate( Bundle savedInstanceState)",74, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onProgressChanged( SeekBar seekBar , int progress , boolean fromUser)",89, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onCreateOptionsMenu( Menu menu)",54, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onOptionsItemSelected( MenuItem item)",177, 16, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::saveToGallery()",56, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartGestureStart( MotionEvent me , ChartTouchListener . ChartGesture lastPerformedGesture)",108, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartGestureEnd( MotionEvent me , ChartTouchListener . ChartGesture lastPerformedGesture)",107, 12, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartLongPressed( MotionEvent me)",53, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartDoubleTapped( MotionEvent me)",54, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartSingleTapped( MotionEvent me)",54, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartFling( MotionEvent me1 , MotionEvent me2 , float velocityX , float velocityY)",99, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartScale( MotionEvent me , float scaleX , float scaleY)",76, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartTranslate( MotionEvent me , float dX , float dY)",71, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onValueSelected( Entry e , Highlight h)",70, 24, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onNothingSelected()",39, 4, 0
