File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onCreate( Bundle savedInstanceState)",49, 74, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onProgressChanged( SeekBar seekBar , int progress , boolean fromUser)",39, 89, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onCreateOptionsMenu( Menu menu)",5, 54, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onOptionsItemSelected( MenuItem item)",141, 177, 16, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::saveToGallery()",3, 56, 8, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartGestureStart( MotionEvent me , ChartTouchListener . ChartGesture lastPerformedGesture)",3, 108, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartGestureEnd( MotionEvent me , ChartTouchListener . ChartGesture lastPerformedGesture)",7, 107, 12, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartLongPressed( MotionEvent me)",3, 53, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartDoubleTapped( MotionEvent me)",3, 54, 4, 0
repos/java/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"MultiLineChartActivity::onChartSingleTapped( MotionEvent me)",3, 54, 4, 0
