File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/MyBookshelf/app/src/test/java/com/kunfei/bookshelf/ExampleUnitTest.java,"ExampleUnitTest::addition_isCorrect()",3, 56, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/BitIntentDataManager.java,"BitIntentDataManager::BitIntentDataManager()",3, 37, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/BitIntentDataManager.java,"BitIntentDataManager::getInstance()",10, 59, 20, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/BitIntentDataManager.java,"BitIntentDataManager::getData( String key)",3, 40, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/BitIntentDataManager.java,"BitIntentDataManager::putData( String key , Object data)",3, 51, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/BitIntentDataManager.java,"BitIntentDataManager::cleanData( String key)",3, 40, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::getInstance()",3, 47, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::getVersionCode()",3, 41, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::getVersionName()",3, 44, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::getAppResources()",3, 48, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::onCreate()",39, 127, 16, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::attachBaseContext( Context base)",4, 53, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::upThemeStore()",15, 133, 20, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::setDownloadPath( String downloadPath)",7, 114, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::getConfigPreferences()",3, 61, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::getDonateHb()",3, 35, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::upDonateHb()",6, 68, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::createChannelIdDownload()",15, 120, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/MApplication.java,"MApplication::createChannelIdReadAloud()",15, 120, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/FilletImageView.java,"FilletImageView::FilletImageView( Context context)",3, 46, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/FilletImageView.java,"FilletImageView::FilletImageView( Context context , AttributeSet attrs)",4, 66, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/FilletImageView.java,"FilletImageView::FilletImageView( Context context , AttributeSet attrs , int defStyleAttr)",4, 84, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/FilletImageView.java,"FilletImageView::init( Context context , AttributeSet attrs)",26, 123, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/FilletImageView.java,"FilletImageView::onLayout( boolean changed , int left , int top , int right , int bottom)",5, 89, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/FilletImageView.java,"FilletImageView::onDraw( Canvas canvas)",28, 75, 12, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::BadgeView( Context context)",3, 40, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::BadgeView( Context context , AttributeSet attrs)",3, 60, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::BadgeView( Context context , AttributeSet attrs , int defStyle)",5, 74, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::init()",28, 65, 28, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setBackground( float dipRadius , int badgeColor)",9, 107, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setBackground( int badgeColor)",3, 48, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::isHideOnNull()",3, 36, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setHideOnNull( boolean hideOnNull)",4, 52, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setText( CharSequence text , BufferType type)",8, 62, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setBadgeCount( int count)",6, 43, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setHighlight( boolean highlight)",3, 101, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::getBadgeCount()",11, 44, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setBadgeGravity( int gravity)",5, 64, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::getBadgeGravity()",4, 64, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setBadgeMargin( int dipMargin)",3, 68, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setBadgeMargin( int leftDipMargin , int topDipMargin , int rightDipMargin , int bottomDipMargin)",8, 111, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::getBadgeMargin()",4, 104, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::incrementBadgeCount( int increment)",8, 53, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::decrementBadgeCount( int decrement)",3, 53, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setTargetView( TabWidget target , int tabIndex)",4, 64, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::setTargetView( View target)",34, 96, 20, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/BadgeView.java,"BadgeView::dip2Px( float dip)",3, 93, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/CoverImageView.java,"CoverImageView::CoverImageView( Context context)",3, 45, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/CoverImageView.java,"CoverImageView::CoverImageView( Context context , AttributeSet attrs)",3, 65, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/CoverImageView.java,"CoverImageView::CoverImageView( Context context , AttributeSet attrs , int defStyleAttr)",3, 83, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/CoverImageView.java,"CoverImageView::onLayout( boolean changed , int left , int top , int right , int bottom)",5, 89, 4, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/CoverImageView.java,"CoverImageView::onMeasure( int widthMeasureSpec , int heightMeasureSpec)",5, 109, 8, 0
repos/java/MyBookshelf/app/src/main/java/com/kunfei/bookshelf/widget/CoverImageView.java,"CoverImageView::onDraw( Canvas canvas)",19, 60, 12, 0
