File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::MyPaokuGame( ActionService actionService , int language)",4, 64, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::MyPaokuGame()",3, 26, 0, 2
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::create()",86, 99, 0, 2
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::showMenuScreen( int from)",24, 41, 0, 3
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::showLevelScreen()",15, 40, 0, 2
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::showHelpScreen()",13, 40, 0, 2
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::showGameScreen( int level)",14, 56, 0, 4
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::setFading( boolean fading)",3, 40, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::shareApp()",5, 27, 0, 3
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::render()",25, 71, 0, 3
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::dispose()",17, 30, 0, 2
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::getWorldWidth()",3, 32, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::getWorldHeight()",3, 33, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::getGraWidth()",3, 29, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::getGraHeight()",3, 30, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::getAssetManager()",3, 41, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::getAtlas()",3, 34, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::getFpsBitmapFont()",3, 39, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::getGameScreen()",3, 37, 0, 1
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::FPSDebug::init( BitmapFont fpsBitmapFont , int fontRawPixSize)",12, 74, 0, 3
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::FPSDebug::render()",8, 82, 0, 4
repos/java/TowerGame/core/src/com/xqs/mypaoku/MyPaokuGame.java,"MyPaokuGame::FPSDebug::dispose()",9, 40, 0, 3
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::getPrefs()",3, 36, 4, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::getInstance()",4, 64, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::clear()",3, 31, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::setSoundEffectsEnabled( boolean state)",3, 55, 4, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::isSoundEffectsEnabled()",3, 53, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::getPassedLevel()",3, 50, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::setPassedLevel( int level)",6, 59, 12, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::getPv()",3, 47, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::addPv()",4, 49, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::getPlayerBulletOneLeftNumber()",3, 88, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::setPlayerBulletOneLeftNumber( int number)",3, 80, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::getPlayerBulletTwoLeftNumber()",3, 88, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/app/Prefs.java,"Prefs::setPlayerBulletTwoLeftNumber( int number)",3, 80, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/LocaleUtil.java,"LocaleUtil::initText( int locale)",30, 107, 36, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/Util.java,"Util::log( String tag , String message)",5, 55, 4, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/Box2DManager.java,"Box2DManager::createWorld()",7, 65, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/Box2DManager.java,"Box2DManager::createBody( World world , float positionX , float positionY)",10, 83, 4, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/Box2DManager.java,"Box2DManager::removeBodies( World world)",10, 69, 12, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/Box2DManager.java,"Box2DManager::createFixture( Body body)",15, 58, 8, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/Box2DManager.java,"Box2DManager::doPhysicsStep( World world)",5, 116, 12, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/TextureUtil.java,"TextureUtil::getTextureRegions( TextureRegion region , int rows , int cols)",17, 93, 4, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/util/CollisionUtils.java,"CollisionUtils::isCollision( Actor actor1 , Actor actor2 , float depth)",48, 98, 16, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/screen/GameScreen.java,"GameScreen::GameScreen( MyPaokuGame mainGame)",3, 46, 4, 0
repos/java/TowerGame/core/src/com/xqs/mypaoku/screen/GameScreen.java,"GameScreen::init( int level)",8, 58, 8, 0
