File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/MockBeanFactory.java,"MockBeanFactory::mockNamespace( String appId , String clusterName , String namespaceName)",9, 98, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/MockBeanFactory.java,"MockBeanFactory::mockAppNamespace( String appId , String name , boolean isPublic)",9, 93, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/MockBeanFactory.java,"MockBeanFactory::mockServerConfig( String key , String value , String cluster)",9, 90, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/MockBeanFactory.java,"MockBeanFactory::mockRelease( long releaseId , String releaseKey , String appId , String clusterName , String groupName , String configurations)",13, 99, 36, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/repository/AppNamespaceRepositoryTest.java,"AppNamespaceRepositoryTest::testFindByNameAndIsPublicTrue()",5, 90, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/repository/AppNamespaceRepositoryTest.java,"AppNamespaceRepositoryTest::testFindByNameAndNoPublicNamespace()",5, 85, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/repository/AppRepositoryTest.java,"AppRepositoryTest::testCreate()",18, 51, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/repository/AppRepositoryTest.java,"AppRepositoryTest::testRemove()",22, 51, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/repository/InstanceConfigRepositoryTest.java,"InstanceConfigRepositoryTest::shouldPaginated()",28, 92, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/config/BizConfigTest.java,"BizConfigTest::setUp()",4, 73, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/config/BizConfigTest.java,"BizConfigTest::testReleaseMessageNotificationBatch()",6, 118, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/config/BizConfigTest.java,"BizConfigTest::testReleaseMessageNotificationBatchWithDefaultValue()",5, 87, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/config/BizConfigTest.java,"BizConfigTest::testReleaseMessageNotificationBatchWithInvalidNumber()",7, 118, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/config/BizConfigTest.java,"BizConfigTest::testReleaseMessageNotificationBatchWithNAN()",7, 100, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/config/BizConfigTest.java,"BizConfigTest::testCheckInt()",15, 120, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/message/DatabaseMessageSenderTest.java,"DatabaseMessageSenderTest::setUp()",3, 73, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/message/DatabaseMessageSenderTest.java,"DatabaseMessageSenderTest::testSendMessage()",14, 99, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/message/DatabaseMessageSenderTest.java,"DatabaseMessageSenderTest::testSendUnsupportedMessage()",8, 79, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/message/DatabaseMessageSenderTest.java,"DatabaseMessageSenderTest::testSendMessageFailed()",6, 102, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/message/ReleaseMessageScannerTest.java,"ReleaseMessageScannerTest::setUp()",9, 96, 8, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/message/ReleaseMessageScannerTest.java,"ReleaseMessageScannerTest::testScanMessageAndNotifyMessageListener()",36, 103, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/message/ReleaseMessageScannerTest.java,"ReleaseMessageScannerTest::assembleReleaseMessage( long id , String message)",6, 75, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/utils/ReleaseKeyGeneratorTest.java,"ReleaseKeyGeneratorTest::testGenerateReleaseKey()",26, 106, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/utils/ReleaseKeyGeneratorTest.java,"ReleaseKeyGeneratorTest::generateReleaseKeysTask( Namespace namespace , Set<String> releaseKeys , int generateTimes , CountDownLatch latch)",13, 89, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::testPublishNormalNamespace()",27, 98, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::testPublishMasterNamespaceAndBranchHasNotItems()",58, 125, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::testPublishMasterNamespaceAndBranchHasItems()",56, 125, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::testModifyMasterNamespaceItemsAndBranchAlsoModify()",55, 125, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::testPublishBranchAtFirstTime()",53, 125, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::testPublishBranch()",54, 125, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::testRollback()",41, 129, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::instanceNamespace( long id , String clusterName)",8, 69, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/ReleaseCreationTest.java,"ReleaseCreationTest::parseConfiguration( String configuration)",3, 73, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/AdminServiceTransactionTest.java,"AdminServiceTransactionTest::verifyInitialDatabaseState()",9, 60, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/AdminServiceTransactionTest.java,"AdminServiceTransactionTest::setUpTestDataWithinTransaction()",6, 60, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/AdminServiceTransactionTest.java,"AdminServiceTransactionTest::modifyDatabaseWithinTransaction()",13, 50, 2, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/AdminServiceTransactionTest.java,"AdminServiceTransactionTest::tearDownWithinTransaction()",6, 60, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/AdminServiceTransactionTest.java,"AdminServiceTransactionTest::verifyFinalDatabaseState()",6, 60, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/InstanceServiceTest.java,"InstanceServiceTest::testCreateAndFindInstance()",19, 97, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/InstanceServiceTest.java,"InstanceServiceTest::testFindInstancesByIds()",19, 95, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/InstanceServiceTest.java,"InstanceServiceTest::testCreateAndFindInstanceConfig()",32, 97, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/InstanceServiceTest.java,"InstanceServiceTest::testFindActiveInstanceConfigs()",25, 96, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/InstanceServiceTest.java,"InstanceServiceTest::testFindInstancesByNamespace()",29, 99, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/InstanceServiceTest.java,"InstanceServiceTest::testFindInstancesByNamespaceAndInstanceAppId()",32, 106, 4, 0
repos/java/apollo/apollo-biz/src/test/java/com/ctrip/framework/apollo/biz/service/InstanceServiceTest.java,"InstanceServiceTest::testFindInstanceConfigsByNamespaceWithReleaseKeysNotIn()",28, 99, 4, 0
