File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/arthas/spy/src/main/java/java/arthas/Spy.java,"Spy::init( ClassLoader classLoader , Method onBeforeMethod , Method onReturnMethod , Method onThrowsMethod , Method beforeInvokingMethod , Method afterInvokingMethod , Method throwInvokingMethod)",16, 55, 8, 0
repos/java/arthas/spy/src/main/java/java/arthas/Spy.java,"Spy::initForAgentLauncher( ClassLoader classLoader , Method onBeforeMethod , Method onReturnMethod , Method onThrowsMethod , Method beforeInvokingMethod , Method afterInvokingMethod , Method throwInvokingMethod , Method agentResetMethod)",18, 55, 8, 0
repos/java/arthas/spy/src/main/java/java/arthas/Spy.java,"Spy::destroy()",18, 69, 8, 0
repos/java/arthas/demo/src/main/java/demo/MathGame.java,"MathGame::main( String [ ] args)",7, 73, 4, 0
repos/java/arthas/demo/src/main/java/demo/MathGame.java,"MathGame::run()",10, 116, 12, 0
repos/java/arthas/demo/src/main/java/demo/MathGame.java,"MathGame::print( int number , List<Integer> primeFactors)",10, 71, 4, 0
repos/java/arthas/demo/src/main/java/demo/MathGame.java,"MathGame::primeFactors( int number)",20, 88, 12, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Test.java,"Test::main( String [ ] args)",22, 73, 4, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Test.java,"Test::test( List<Pojo> list)",3, 47, 4, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Test.java,"Test::invoke( String a)",3, 42, 4, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Pojo.java,"Pojo::getName()",3, 30, 4, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Pojo.java,"Pojo::setName( String name)",3, 39, 4, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Pojo.java,"Pojo::getAge()",3, 26, 4, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Pojo.java,"Pojo::setAge( int age)",3, 34, 4, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Pojo.java,"Pojo::getHobby()",3, 31, 4, 0
repos/java/arthas/testcase/src/main/java/com/alibaba/arthas/Pojo.java,"Pojo::setHobby( String hobby)",3, 41, 4, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/testtool/TestUtils.java,"TestUtils::newArrayList( T ... items)",7, 57, 4, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/testtool/TestUtils.java,"TestUtils::assertEqualContent( final byte [ ] b0 , final File file)",20, 97, 4, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::TestClass::testMethod( int i , boolean b)",3, 50, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::TestClass::anotherTestMethod()",3, 70, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawInterface()",5, 146, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawParametersForMethod()",11, 143, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawParametersForMethodThrowsException()",3, 106, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawParametersForConstructor()",9, 131, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawParametersForConstructorThrowsException()",3, 103, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawReturn()",10, 130, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawReturnThrowsException()",3, 102, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawExceptionsForMethod()",10, 155, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawExceptionsForMethodThrowsException()",3, 106, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawExceptionsForConstructor()",8, 166, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TypeRenderUtilsTest.java,"TypeRenderUtilsTest::testDrawExceptionsForConstructorThrowsException()",3, 103, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::getTestDirectory()",3, 42, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testGetTestDirectory()",3, 50, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testOpenOutputStreamIsDirectory()",7, 100, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testOpenOutputStreamCannotWrite()",6, 95, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testOpenOutputStream()",6, 86, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testWriteByteArrayToFile()",6, 69, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testWriteByteArrayToFileWithAppend()",6, 75, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testReadFileToString()",7, 91, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testSaveCommandHistory()",7, 84, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/FileUtilsTest.java,"FileUtilsTest::testLoadCommandHistory()",8, 84, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/DateUtilsTest.java,"DateUtilsTest::testGetCurrentDateWithCorrectFormat()",6, 104, 4, 1
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/DateUtilsTest.java,"DateUtilsTest::testGetCurrentDateWithInCorrectFormat()",6, 106, 4, 1
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/StringUtilsTest.java,"StringUtilsTest::testHumanReadableByteCount()",9, 112, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/ArrayUtilsTest.java,"ArrayUtilsTest::testEmptyLongArray()",3, 76, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/ArrayUtilsTest.java,"ArrayUtilsTest::testToPrimitive()",18, 92, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/ArthasCheckUtilsTest.java,"ArthasCheckUtilsTest::testIsIn()",10, 70, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/ArthasCheckUtilsTest.java,"ArthasCheckUtilsTest::testIsEquals()",7, 68, 8, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,"TokenUtilsTest::newCliTokenList( CliToken ... tokens)",7, 65, 4, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,"TokenUtilsTest::testFindFirstTextToken()",29, 118, 16, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,"TokenUtilsTest::testFindLastTextToken()",33, 117, 16, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,"TokenUtilsTest::testFindSecondTextToken()",31, 133, 16, 0
repos/java/arthas/core/src/test/java/com/taobao/arthas/core/util/matcher/TrueMatcherTest.java,"TrueMatcherTest::testMatching()",6, 73, 8, 0
