File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/NativePageActivity.java,"NativePageActivity::onCreate( @ Nullable Bundle savedInstanceState)",13, 73, 8, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/NativePageActivity.java,"NativePageActivity::onClick( View v)",9, 82, 12, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/PageRouter.java,"PageRouter::openPageByUrl( Context context , String url)",3, 71, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/PageRouter.java,"PageRouter::openPageByUrl( Context context , String url , int requestCode)",18, 95, 16, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/MainActivity.java,"MainActivity::onCreate( @ Nullable Bundle savedInstanceState)",15, 73, 8, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/MainActivity.java,"MainActivity::onDestroy()",5, 33, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/MainActivity.java,"MainActivity::onClick( View v)",9, 82, 12, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterPageActivity.java,"FlutterPageActivity::onRegisterPlugins( PluginRegistry registry)",3, 61, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterPageActivity.java,"FlutterPageActivity::getContainerName()",3, 39, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterPageActivity.java,"FlutterPageActivity::getContainerParams()",3, 38, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterFragment.java,"FlutterFragment::setArguments( @ Nullable Bundle args)",7, 54, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterFragment.java,"FlutterFragment::setTabTag( String tag)",5, 40, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterFragment.java,"FlutterFragment::onRegisterPlugins( PluginRegistry registry)",3, 61, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterFragment.java,"FlutterFragment::getContainerName()",3, 39, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterFragment.java,"FlutterFragment::getContainerParams()",5, 59, 8, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterFragment.java,"FlutterFragment::destroyContainer()",3, 37, 4, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterFragment.java,"FlutterFragment::instance( String tag)",5, 58, 8, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/MyApplication.java,"MyApplication::onCreate()",34, 89, 12, 0
repos/java/flutter_boost/example/android/app/src/main/java/com/taobao/idlefish/flutterboostexample/FlutterFragmentPageActivity.java,"FlutterFragmentPageActivity::onCreate( @ Nullable Bundle savedInstanceState)",24, 91, 12, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/Debuger.java,"Debuger::Debuger()",1, 25, 4, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/Debuger.java,"Debuger::print( String info)",5, 38, 4, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/Debuger.java,"Debuger::log( String info)",3, 42, 4, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/Debuger.java,"Debuger::exception( String message)",7, 66, 12, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/Debuger.java,"Debuger::exception( Throwable t)",7, 48, 4, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/Debuger.java,"Debuger::isDebug()",7, 60, 12, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/Utils.java,"Utils::checkImageValid( final Bitmap bitmap)",43, 116, 16, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/BoostFlutterNativeView.java,"BoostFlutterNativeView::BoostFlutterNativeView( Context context)",3, 53, 4, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/BoostFlutterNativeView.java,"BoostFlutterNativeView::detach()",3, 27, 4, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/BoostFlutterNativeView.java,"BoostFlutterNativeView::destroy()",3, 28, 4, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/BoostFlutterNativeView.java,"BoostFlutterNativeView::boostDestroy()",3, 33, 4, 0
repos/java/flutter_boost/android/src/main/java/com/taobao/idlefish/flutterboost/BoostFlutterView.java,"BoostFlutterView::BoostFlutterView( Context context , AttributeSet attrs , FlutterNativeView nativeView)",20, 97, 4, 0
