File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/java/interviews/uva/MultipleOfSeventeen.java,"MultipleOfSeventeen::main( String [ ] args)",71, 0, 3
repos/java/interviews/uva/SimplyEmirp.java,"SimplyEmirp::main( String [ ] args)",55, 0, 4
repos/java/interviews/uva/VirtualFriends.java,"VirtualFriends::main( String args [ ])",82, 8, 0
repos/java/interviews/uva/VirtualFriends.java,"VirtualFriends::startUnion( int numberOfPeople)",68, 12, 0
repos/java/interviews/uva/VirtualFriends.java,"VirtualFriends::union( int person , int friend)",92, 12, 0
repos/java/interviews/uva/VirtualFriends.java,"VirtualFriends::find( int person)",51, 12, 0
repos/java/interviews/uva/WhoSaidCrisis.java,"WhoSaidCrisis::main( String [ ] args)",47, 0, 3
repos/java/interviews/uva/Newspaper.java,"Newspaper::main( String [ ] args)",65, 0, 3
repos/java/interviews/uva/SolveEquation.java,"SolveEquation::main( String [ ] args)",60, 0, 7
repos/java/interviews/uva/AddingReversedNumbers.java,"AddingReversedNumbers::main( String [ ] args)",69, 0, 3
repos/java/interviews/uva/SimplifyingFractions.java,"SimplifyingFractions::main( String [ ] args)",56, 0, 3
repos/java/interviews/uva/ICanGuessTheDataStructure.java,"ICanGuessTheDataStructure::main( String args [ ])",242, 12, 0
repos/java/interviews/uva/SkewBinary.java,"SkewBinary::main( String [ ] args)",64, 0, 4
repos/java/interviews/uva/GoldbachConjecture.java,"GoldbachConjecture::main( String [ ] args)",59, 0, 4
repos/java/interviews/uva/GoldbachConjecture.java,"GoldbachConjecture::sieveOfEratosthenes( int number)",62, 0, 2
repos/java/interviews/uva/HighPrecisionNumber.java,"HighPrecisionNumber::main( String [ ] args)",56, 0, 3
repos/java/interviews/uva/SplittingNumbers.java,"SplittingNumbers::main( String args [ ])",82, 8, 0
repos/java/interviews/uva/BrickGame.java,"BrickGame::main( String [ ] args)",57, 0, 3
repos/java/interviews/uva/BasicRemains.java,"BasicRemains::main( String [ ] args)",60, 0, 3
repos/java/interviews/uva/PeskyPalindromes.java,"PeskyPalindromes::main( String args [ ])",128, 12, 0
repos/java/interviews/uva/PeskyPalindromes.java,"PeskyPalindromes::generateSubstrings( String s)",64, 16, 0
repos/java/interviews/uva/PeskyPalindromes.java,"PeskyPalindromes::findUniquePalindromes( List<String> allSubstrings)",74, 4, 0
repos/java/interviews/uva/TheSettlersOfCatan.java,"TheSettlersOfCatan::main( String args [ ])",82, 8, 0
repos/java/interviews/uva/TheSettlersOfCatan.java,"TheSettlersOfCatan::dfs( int nd , int l , int nodes)",86, 16, 0
repos/java/interviews/uva/GoogleIsFeelingLucky.java,"GoogleIsFeelingLucky::main( String args [ ])",83, 8, 0
repos/java/interviews/uva/AverageSpeed.java,"AverageSpeed::main( String [ ] args)",57, 0, 3
repos/java/interviews/uva/AverageSpeed.java,"AverageSpeed::calcHours( String s)",84, 0, 2
repos/java/interviews/uva/MischievousChildren.java,"MischievousChildren::main( String [ ] args)",78, 0, 3
repos/java/interviews/uva/MischievousChildren.java,"MischievousChildren::computeFactorial( int number)",52, 0, 1
repos/java/interviews/uva/Modex.java,"Modex::main( String [ ] args)",43, 0, 2
repos/java/interviews/uva/TheLastNonZeroDigit.java,"TheLastNonZeroDigit::main( String [ ] args)",52, 0, 3
repos/java/interviews/uva/NumberingRoads.java,"NumberingRoads::main( String [ ] args)",63, 0, 5
repos/java/interviews/uva/CoconutsRevisited.java,"CoconutsRevisited::main( String [ ] args)",56, 0, 4
repos/java/interviews/uva/BigMod.java,"BigMod::main( String [ ] args)",42, 0, 1
repos/java/interviews/uva/Friends.java,"Friends::main( String args [ ])",86, 16, 0
repos/java/interviews/uva/Friends.java,"Friends::startUnion( int numberOfPeople , int [ ] people , int [ ] relationships)",91, 4, 0
repos/java/interviews/uva/Friends.java,"Friends::union( int person , int friend)",55, 4, 0
repos/java/interviews/uva/Friends.java,"Friends::find( int person)",51, 12, 0
repos/java/interviews/uva/Friends.java,"Friends::join( int person , int friend)",88, 8, 0
repos/java/interviews/uva/Parity.java,"Parity::main( String [ ] args)",65, 0, 3
repos/java/interviews/uva/Parity.java,"Parity::convertToBinary( int number)",53, 0, 1
repos/java/interviews/uva/NumberTheoryForNewbies.java,"NumberTheoryForNewbies::main( String [ ] args)",69, 0, 3
repos/java/interviews/uva/OpenSource.java,"OpenSource::main( String args [ ])",104, 32, 0
repos/java/interviews/uva/OpenSource.java,"Pair::Pair( String name , int total)",35, 4, 0
repos/java/interviews/uva/TheHugeOne.java,"TheHugeOne::main( String [ ] args)",57, 0, 4
repos/java/interviews/uva/FactorialFrequenices.java,"FactorialFrequenices::main( String [ ] args)",66, 0, 4
repos/java/interviews/uva/FactorialFrequenices.java,"FactorialFrequenices::formatOutput( int number , int [ ] digits)",62, 0, 1
repos/java/interviews/uva/BasicallySpeaking.java,"BasicallySpeaking::main( String [ ] args)",65, 0, 3
repos/java/interviews/uva/DigitCounting.java,"DigitCounting::main( String [ ] args)",43, 0, 2
repos/java/interviews/uva/WhatBaseIsThis.java,"WhatBaseIsThis::main( String [ ] args)",56, 0, 6
repos/java/interviews/uva/ArchaeologistsDilemma.java,"ArchaeologistsDilemma::main( String [ ] args)",70, 0, 3
repos/java/interviews/uva/HashmatWarriors.java,"HashmatWarriors::main( String [ ] args)",55, 0, 3
repos/java/interviews/uva/Ants.java,"Ants::main( String args [ ])",98, 16, 0
repos/java/interviews/uva/FiveHundredFactorial.java,"FiveHundredFactorial::main( String [ ] args)",55, 0, 4
repos/java/interviews/uva/BackToIntermediateMath.java,"BackToIntermediateMath::main( String [ ] args)",71, 0, 3
repos/java/interviews/uva/PrimeFactors.java,"PrimeFactors::main( String [ ] args)",91, 0, 3
repos/java/interviews/uva/PrimeFactors.java,"PrimeFactors::sieveOfEratosthenes( boolean [ ] isPrime , int number)",82, 0, 1
repos/java/interviews/uva/PrimeFactors.java,"PrimeFactors::formatOutput( int number , List<Integer> primeFactors , boolean isNegative)",88, 0, 1
repos/java/interviews/uva/PrimeFactors.java,"PrimeFactors::generatePrimeNumbers()",65, 0, 2
repos/java/interviews/uva/LightMoreLight.java,"LightMoreLight::main( String [ ] args)",42, 0, 1
repos/java/interviews/uva/LightMoreLight.java,"LightMoreLight::isAPerfectSquare( long number)",56, 0, 1
repos/java/interviews/uva/JollyJumpers.java,"JollyJumpers::main( String [ ] args)",63, 0, 3
repos/java/interviews/uva/HighSchoolPhysics.java,"HighSchoolPhysics::main( String [ ] args)",44, 0, 3
repos/java/interviews/uva/PseudoPrimeNumbers.java,"PseudoPrimeNumbers::main( String [ ] args)",60, 0, 4
repos/java/interviews/uva/IntegerInquiry.java,"IntegerInquiry::main( String [ ] args)",47, 0, 3
repos/java/interviews/uva/LargestPrimeDivisor.java,"LargestPrimeDivisor::main( String [ ] args)",51, 0, 3
repos/java/interviews/uva/VeryEasy.java,"VeryEasy::main( String [ ] args)",68, 0, 4
repos/java/interviews/leetcode/linked-list/AddTwoNumbers.java,"AddTwoNumbers::addTwoNumbers( ListNode l1 , ListNode l2)",62, 4, 0
repos/java/interviews/leetcode/linked-list/DeleteNodeInALinkedList.java,"DeleteNodeInALinkedList::deleteNode( ListNode node)",44, 4, 0
repos/java/interviews/leetcode/linked-list/LinkedListCycle.java,"Solution::hasCycle( ListNode head)",67, 8, 0
repos/java/interviews/leetcode/linked-list/PalindromeLinkedList.java,"PalindromeLinkedList::isPalindrome( ListNode head)",53, 8, 0
repos/java/interviews/leetcode/linked-list/PlusOneLinkedList.java,"PlusOneLinkedList::plusOne( ListNode head)",48, 12, 0
