File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/java/java-design-patterns/aggregator-microservices/information-microservice/src/test/java/com/iluwatar/information/microservice/InformationControllerTest.java,"InformationControllerTest::shouldGetProductTitle()",72, 4, 0
repos/java/java-design-patterns/aggregator-microservices/information-microservice/src/main/java/com/iluwatar/information/microservice/InformationApplication.java,"InformationApplication::main( String [ ] args)",63, 4, 0
repos/java/java-design-patterns/aggregator-microservices/information-microservice/src/main/java/com/iluwatar/information/microservice/InformationController.java,"InformationController::getProductTitle()",36, 2, 0
repos/java/java-design-patterns/aggregator-microservices/inventory-microservice/src/test/java/com/iluwatar/inventory/microservice/InventoryControllerTest.java,"InventoryControllerTest::testGetProductInventories()",75, 4, 0
repos/java/java-design-patterns/aggregator-microservices/inventory-microservice/src/main/java/com/iluwatar/inventory/microservice/InventoryController.java,"InventoryController::getProductInventories()",39, 2, 0
repos/java/java-design-patterns/aggregator-microservices/inventory-microservice/src/main/java/com/iluwatar/inventory/microservice/InventoryApplication.java,"InventoryApplication::main( String [ ] args)",61, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/test/java/com/iluwatar/aggregator/microservices/AggregatorTest.java,"AggregatorTest::setup()",40, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/test/java/com/iluwatar/aggregator/microservices/AggregatorTest.java,"AggregatorTest::testGetProduct()",75, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/App.java,"App::main( String [ ] args)",44, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Aggregator.java,"Aggregator::getProduct()",76, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/ProductInventoryClientImpl.java,"ProductInventoryClientImpl::getProductInventories()",79, 6, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,"Product::getTitle()",29, 2, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,"Product::setTitle( String title)",39, 2, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,"Product::getProductInventories()",39, 2, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,"Product::setProductInventories( int productInventories)",62, 2, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/ProductInformationClientImpl.java,"ProductInformationClientImpl::getProductTitle()",79, 6, 0
repos/java/java-design-patterns/callback/src/test/java/com/iluwatar/callback/AppTest.java,"AppTest::test()",42, 2, 0
repos/java/java-design-patterns/callback/src/test/java/com/iluwatar/callback/CallbackTest.java,"CallbackTest::test()",78, 4, 0
repos/java/java-design-patterns/callback/src/main/java/com/iluwatar/callback/Task.java,"Task::executeWith( Callback callback)",53, 2, 0
repos/java/java-design-patterns/callback/src/main/java/com/iluwatar/callback/App.java,"App::main( String [ ] args)",60, 4, 0
repos/java/java-design-patterns/callback/src/main/java/com/iluwatar/callback/LambdasApp.java,"LambdasApp::main( String [ ] args)",53, 4, 0
repos/java/java-design-patterns/callback/src/main/java/com/iluwatar/callback/SimpleTask.java,"SimpleTask::execute()",88, 4, 0
repos/java/java-design-patterns/reactor/src/test/java/com/iluwatar/reactor/app/ReactorTest.java,"ReactorTest::testAppUsingThreadPoolDispatcher()",92, 2, 0
repos/java/java-design-patterns/reactor/src/test/java/com/iluwatar/reactor/app/ReactorTest.java,"ReactorTest::testAppUsingSameThreadDispatcher()",92, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/ThreadPoolDispatcher.java,"ThreadPoolDispatcher::ThreadPoolDispatcher( int poolSize)",67, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/ThreadPoolDispatcher.java,"ThreadPoolDispatcher::onChannelReadEvent( AbstractNioChannel channel , Object readObject , SelectionKey key)",101, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/ThreadPoolDispatcher.java,"ThreadPoolDispatcher::stop()",59, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::NioDatagramChannel( int port , ChannelHandler handler)",83, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::getInterestedOps()",101, 5, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::read( SelectionKey key)",98, 5, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::getJavaChannel()",53, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::bind()",93, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::doWrite( Object pendingWrite , SelectionKey key)",85, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::write( Object data , SelectionKey key)",53, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::DatagramPacket( ByteBuffer data)",45, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::getSender()",39, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::setSender( SocketAddress sender)",50, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::getReceiver()",41, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::setReceiver( SocketAddress receiver)",54, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::getData()",34, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::AbstractNioChannel( ChannelHandler handler , SelectableChannel channel)",81, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::setReactor( NioReactor reactor)",40, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::getJavaChannel()",46, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::bind()",94, 3, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::flush( SelectionKey key)",94, 8, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::doWrite( Object pendingWrite , SelectionKey key)",102, 3, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::NioReactor( Dispatcher dispatcher)",64, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::start()",63, 8, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::stop()",64, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::registerChannel( AbstractNioChannel channel)",96, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::eventLoop()",116, 7, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::processPendingCommands()",62, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::processKey( SelectionKey key)",65, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::onChannelWritable( SelectionKey key)",79, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::onChannelReadable( SelectionKey key)",88, 6, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::dispatchReadEvent( SelectionKey key , Object readObject)",91, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::onChannelAcceptable( SelectionKey key)",83, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::changeOps( SelectionKey key , int interestedOps)",70, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::ChangeKeyOpsCommand::ChangeKeyOpsCommand( SelectionKey key , int interestedOps)",70, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::ChangeKeyOpsCommand::run()",38, 6, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::ChangeKeyOpsCommand::toString()",51, 6, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioServerSocketChannel.java,"NioServerSocketChannel::NioServerSocketChannel( int port , ChannelHandler handler)",87, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioServerSocketChannel.java,"NioServerSocketChannel::getInterestedOps()",97, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioServerSocketChannel.java,"NioServerSocketChannel::getJavaChannel()",57, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioServerSocketChannel.java,"NioServerSocketChannel::read( SelectionKey key)",65, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioServerSocketChannel.java,"NioServerSocketChannel::bind()",66, 8, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioServerSocketChannel.java,"NioServerSocketChannel::doWrite( Object pendingWrite , SelectionKey key)",85, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/SameThreadDispatcher.java,"SameThreadDispatcher::onChannelReadEvent( AbstractNioChannel channel , Object readObject , SelectionKey key)",100, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/SameThreadDispatcher.java,"SameThreadDispatcher::stop()",23, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/App.java,"App::App( Dispatcher dispatcher)",38, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/App.java,"App::main( String [ ] args)",62, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/App.java,"App::start()",100, 5, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/App.java,"App::stop()",64, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/App.java,"App::tcpChannel( int port , ChannelHandler handler)",95, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/App.java,"App::udpChannel( int port , ChannelHandler handler)",95, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/LoggingHandler.java,"LoggingHandler::handleChannelRead( AbstractNioChannel channel , Object readObject , SelectionKey key)",100, 5, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/LoggingHandler.java,"LoggingHandler::sendReply( AbstractNioChannel channel , DatagramPacket incomingPacket , SelectionKey key)",111, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/LoggingHandler.java,"LoggingHandler::sendReply( AbstractNioChannel channel , SelectionKey key)",80, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/LoggingHandler.java,"LoggingHandler::doLogging( ByteBuffer data)",60, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::main( String [ ] args)",62, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::start()",61, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::stop()",59, 8, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::artificialDelayOf( long millis)",55, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::TcpLoggingClient::TcpLoggingClient( String clientName , int serverPort)",65, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::TcpLoggingClient::run()",81, 6, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::TcpLoggingClient::sendLogRequests( PrintWriter writer , InputStream inputStream)",99, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::UdpLoggingClient::UdpLoggingClient( String clientName , int port)",87, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/app/AppClient.java,"AppClient::UdpLoggingClient::run()",96, 14, 0
