File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/java-design-patterns/aggregator-microservices/information-microservice/src/test/java/com/iluwatar/information/microservice/InformationControllerTest.java,"InformationControllerTest::shouldGetProductTitle()",7, 72, 4, 0
repos/java/java-design-patterns/aggregator-microservices/information-microservice/src/main/java/com/iluwatar/information/microservice/InformationApplication.java,"InformationApplication::main( String [ ] args)",3, 63, 4, 0
repos/java/java-design-patterns/aggregator-microservices/information-microservice/src/main/java/com/iluwatar/information/microservice/InformationController.java,"InformationController::getProductTitle()",3, 36, 2, 0
repos/java/java-design-patterns/aggregator-microservices/inventory-microservice/src/test/java/com/iluwatar/inventory/microservice/InventoryControllerTest.java,"InventoryControllerTest::testGetProductInventories()",7, 75, 4, 0
repos/java/java-design-patterns/aggregator-microservices/inventory-microservice/src/main/java/com/iluwatar/inventory/microservice/InventoryController.java,"InventoryController::getProductInventories()",3, 39, 2, 0
repos/java/java-design-patterns/aggregator-microservices/inventory-microservice/src/main/java/com/iluwatar/inventory/microservice/InventoryApplication.java,"InventoryApplication::main( String [ ] args)",3, 61, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/test/java/com/iluwatar/aggregator/microservices/AggregatorTest.java,"AggregatorTest::setup()",3, 40, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/test/java/com/iluwatar/aggregator/microservices/AggregatorTest.java,"AggregatorTest::testGetProduct()",12, 75, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/App.java,"App::main( String [ ] args)",3, 44, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Aggregator.java,"Aggregator::getProduct()",6, 76, 4, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/ProductInventoryClientImpl.java,"ProductInventoryClientImpl::getProductInventories()",12, 79, 6, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,"Product::getTitle()",3, 29, 2, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,"Product::setTitle( String title)",3, 39, 2, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,"Product::getProductInventories()",3, 39, 2, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/Product.java,"Product::setProductInventories( int productInventories)",3, 62, 2, 0
repos/java/java-design-patterns/aggregator-microservices/aggregator-service/src/main/java/com/iluwatar/aggregator/microservices/ProductInformationClientImpl.java,"ProductInformationClientImpl::getProductTitle()",12, 79, 6, 0
repos/java/java-design-patterns/callback/src/test/java/com/iluwatar/callback/AppTest.java,"AppTest::test()",4, 42, 2, 0
repos/java/java-design-patterns/callback/src/test/java/com/iluwatar/callback/CallbackTest.java,"CallbackTest::test()",16, 78, 4, 0
repos/java/java-design-patterns/callback/src/main/java/com/iluwatar/callback/Task.java,"Task::executeWith( Callback callback)",6, 53, 2, 0
repos/java/java-design-patterns/callback/src/main/java/com/iluwatar/callback/App.java,"App::main( String [ ] args)",5, 60, 4, 0
repos/java/java-design-patterns/callback/src/main/java/com/iluwatar/callback/LambdasApp.java,"LambdasApp::main( String [ ] args)",5, 53, 4, 0
repos/java/java-design-patterns/callback/src/main/java/com/iluwatar/callback/SimpleTask.java,"SimpleTask::execute()",3, 88, 4, 0
repos/java/java-design-patterns/reactor/src/test/java/com/iluwatar/reactor/app/ReactorTest.java,"ReactorTest::testAppUsingThreadPoolDispatcher()",20, 92, 2, 0
repos/java/java-design-patterns/reactor/src/test/java/com/iluwatar/reactor/app/ReactorTest.java,"ReactorTest::testAppUsingSameThreadDispatcher()",20, 92, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/ThreadPoolDispatcher.java,"ThreadPoolDispatcher::ThreadPoolDispatcher( int poolSize)",3, 67, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/ThreadPoolDispatcher.java,"ThreadPoolDispatcher::onChannelReadEvent( AbstractNioChannel channel , Object readObject , SelectionKey key)",3, 101, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/ThreadPoolDispatcher.java,"ThreadPoolDispatcher::stop()",4, 59, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::NioDatagramChannel( int port , ChannelHandler handler)",4, 83, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::getInterestedOps()",6, 101, 5, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::read( SelectionKey key)",14, 98, 5, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::getJavaChannel()",3, 53, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::bind()",5, 93, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::doWrite( Object pendingWrite , SelectionKey key)",4, 85, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::write( Object data , SelectionKey key)",3, 53, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::DatagramPacket( ByteBuffer data)",3, 45, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::getSender()",3, 39, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::setSender( SocketAddress sender)",3, 50, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::getReceiver()",3, 41, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::setReceiver( SocketAddress receiver)",3, 54, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioDatagramChannel.java,"NioDatagramChannel::DatagramPacket::getData()",3, 34, 4, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::AbstractNioChannel( ChannelHandler handler , SelectableChannel channel)",4, 81, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::setReactor( NioReactor reactor)",3, 40, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::getJavaChannel()",3, 46, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::bind()",18, 94, 3, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::flush( SelectionKey key)",14, 94, 8, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/AbstractNioChannel.java,"AbstractNioChannel::doWrite( Object pendingWrite , SelectionKey key)",38, 102, 3, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::NioReactor( Dispatcher dispatcher)",4, 64, 2, 0
repos/java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/NioReactor.java,"NioReactor::start()",10, 63, 8, 0
