File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/mall/mall-admin/src/test/com/macro/mall/PmsDaoTests.java,"PmsDaoTests::testInsertBatch()",12, 63, 12, 0
repos/java/mall/mall-admin/src/test/com/macro/mall/PmsDaoTests.java,"PmsDaoTests::testGetProductUpdateInfo()",5, 71, 8, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/MallAdminApplication.java,"MallAdminApplication::main( String [ ] args)",3, 65, 8, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryWithChildrenItem.java,"PmsProductCategoryWithChildrenItem::getChildren()",3, 52, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryWithChildrenItem.java,"PmsProductCategoryWithChildrenItem::setChildren( List<PmsProductCategory> children)",3, 65, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductAttributeCategoryItem.java,"PmsProductAttributeCategoryItem::getProductAttributeList()",3, 65, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductAttributeCategoryItem.java,"PmsProductAttributeCategoryItem::setProductAttributeList( List<PmsProductAttribute> productAttributeList)",3, 90, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::getAccessKeyId()",3, 37, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::setAccessKeyId( String accessKeyId)",3, 53, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::getPolicy()",3, 32, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::setPolicy( String policy)",3, 43, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::getSignature()",3, 35, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::setSignature( String signature)",3, 49, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::getDir()",3, 29, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::setDir( String dir)",3, 37, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::getHost()",3, 30, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/OssPolicyResult.java,"OssPolicyResult::setHost( String host)",3, 39, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/UmsAdminLoginParam.java,"UmsAdminLoginParam::getUsername()",3, 34, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/UmsAdminLoginParam.java,"UmsAdminLoginParam::setUsername( String username)",3, 47, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/UmsAdminLoginParam.java,"UmsAdminLoginParam::getPassword()",3, 34, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/UmsAdminLoginParam.java,"UmsAdminLoginParam::setPassword( String password)",3, 47, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/ProductAttrInfo.java,"ProductAttrInfo::getAttributeId()",3, 35, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/ProductAttrInfo.java,"ProductAttrInfo::setAttributeId( Long attributeId)",3, 51, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/ProductAttrInfo.java,"ProductAttrInfo::getAttributeCategoryId()",3, 43, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/ProductAttrInfo.java,"ProductAttrInfo::setAttributeCategoryId( Long attributeCategoryId)",3, 67, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/SmsCouponParam.java,"SmsCouponParam::getProductRelationList()",3, 69, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/SmsCouponParam.java,"SmsCouponParam::setProductRelationList( List<SmsCouponProductRelation> productRelationList)",3, 93, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/SmsCouponParam.java,"SmsCouponParam::getProductCategoryRelationList()",3, 85, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/SmsCouponParam.java,"SmsCouponParam::setProductCategoryRelationList( List<SmsCouponProductCategoryRelation> productCategoryRelationList)",3, 117, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getParentId()",3, 32, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setParentId( Long parentId)",3, 45, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getName()",3, 30, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setName( String name)",3, 39, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getProductUnit()",3, 37, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setProductUnit( String productUnit)",3, 53, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getNavStatus()",3, 36, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setNavStatus( Integer navStatus)",3, 50, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getShowStatus()",3, 37, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setShowStatus( Integer showStatus)",3, 52, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getSort()",3, 31, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setSort( Integer sort)",3, 40, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getIcon()",3, 30, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setIcon( String icon)",3, 39, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getKeywords()",3, 34, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setKeywords( String keywords)",3, 47, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getDescription()",3, 37, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setDescription( String description)",3, 53, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::getProductAttributeIdList()",3, 52, 4, 0
repos/java/mall/mall-admin/src/main/java/com/macro/mall/dto/PmsProductCategoryParam.java,"PmsProductCategoryParam::setProductAttributeIdList( List<Long> productAttributeIdList)",3, 79, 4, 0
