File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/BeanResolverTest.java,"BeanResolverTest::testPrimitiveMatches()",33, 105, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/BeanInfoTypesTest.java,"BeanInfoTypesTest::testResolver()",21, 160, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/DotNamesTest.java,"DotNamesTest::testSimpleName()",9, 160, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/SubclassGeneratorTest.java,"SubclassGeneratorTest::testGenerator()",16, 141, 16, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/SubclassGeneratorTest.java,"SubclassGeneratorTest::SimpleBean::SimpleBean( Baz baz)",3, 37, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/SubclassGeneratorTest.java,"SubclassGeneratorTest::SimpleBean::foo( String bar)",3, 48, 12, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/SubclassGeneratorTest.java,"SubclassGeneratorTest::SimpleBean::fooNotIntercepted()",3, 38, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/SubclassGeneratorTest.java,"SubclassGeneratorTest::SimpleInterceptor::intercept( InvocationContext ctx)",3, 67, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/Basics.java,"Basics::name( Class <?> clazz)",3, 54, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/Basics.java,"Basics::index( Class <?> ... classes)",9, 137, 12, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/InterceptorGeneratorTest.java,"InterceptorGeneratorTest::testGenerator()",18, 184, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/InterceptorGeneratorTest.java,"InterceptorGeneratorTest::MyInterceptor::superCoolAroundInvokeMethod( InvocationContext ctx)",3, 85, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/BeanGeneratorTest.java,"BeanGeneratorTest::testGenerator()",11, 170, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/BeanGeneratorTest.java,"BeanGeneratorTest::testGeneratorForNormalScopedProducer()",11, 170, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/BeanInfoInjectionsTest.java,"BeanInfoInjectionsTest::testInjections()",36, 159, 12, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/ClientProxyGeneratorTest.java,"ClientProxyGeneratorTest::testGenerator()",16, 175, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/ClientProxyGeneratorTest.java,"ClientProxyGeneratorTest::Producer::list()",3, 30, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/ClientProxyGeneratorTest.java,"ClientProxyGeneratorTest::MyList::get( int index)",3, 39, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/ClientProxyGeneratorTest.java,"ClientProxyGeneratorTest::MyList::size()",3, 28, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/ClientProxyGeneratorTest.java,"ClientProxyGeneratorTest::MyList::myMethod()",2, 45, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/TruePredicate.java,"TruePredicate::test( DotName dotName)",3, 43, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/BeanInfoQualifiersTest.java,"BeanInfoQualifiersTest::testQualifiers()",15, 138, 16, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/types/Bar.java,"Bar::Bar( List<String> list , @ FooQualifier(alpha='1',bravo='2') Foo foo)",2, 78, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/types/Bar.java,"Bar::init( Foo foo , List<String> list)",2, 51, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/types/Foo.java,"Foo::superCoolDestroyCallback()",2, 38, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/types/Foo.java,"Foo::get( int index)",3, 35, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/types/Foo.java,"Foo::size()",3, 24, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/test/java/io/quarkus/arc/processor/types/Baz.java,"Baz::isListResolvable()",3, 40, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/StereotypeInfo.java,"StereotypeInfo::StereotypeInfo( ScopeInfo defaultScope , List<AnnotationInstance> interceptorBindings , boolean isAlternative , boolean isNamed , ClassInfo target)",7, 156, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/StereotypeInfo.java,"StereotypeInfo::getDefaultScope()",3, 41, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/StereotypeInfo.java,"StereotypeInfo::getInterceptorBindings()",3, 63, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/StereotypeInfo.java,"StereotypeInfo::isAlternative()",3, 37, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/StereotypeInfo.java,"StereotypeInfo::isNamed()",3, 31, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/StereotypeInfo.java,"StereotypeInfo::getTarget()",3, 35, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Annotations.java,"Annotations::Annotations()",2, 28, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Annotations.java,"Annotations::find( Collection<AnnotationInstance> annotations , DotName name)",11, 95, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Annotations.java,"Annotations::contains( Collection<AnnotationInstance> annotations , DotName name)",11, 88, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Annotations.java,"Annotations::containsAny( Collection<AnnotationInstance> annotations , Iterable<DotName> names)",13, 102, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::javaClass( String name , byte [ ] data , SpecialType specialType , boolean applicationClass)",4, 109, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::serviceProvider( String name , byte [ ] data)",3, 64, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::serviceProvider( String name , byte [ ] data , SpecialType specialType)",3, 89, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::ResourceImpl( boolean applicationClass , String name , byte [ ] data , Type type , SpecialType specialType)",7, 115, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::isApplicationClass()",3, 42, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::writeTo( File directory)",15, 101, 16, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::getData()",3, 30, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::getName()",3, 30, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::getType()",3, 28, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::getSpecialType()",3, 42, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::getOutputDirectory( File directory)",10, 98, 12, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceImpl.java,"ResourceImpl::getSimpleName()",3, 101, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceClassOutput.java,"ResourceClassOutput::ResourceClassOutput( boolean applicationClass)",3, 59, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceClassOutput.java,"ResourceClassOutput::ResourceClassOutput( boolean applicationClass , Function<String,SpecialType> specialTypeFunction)",4, 110, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceClassOutput.java,"ResourceClassOutput::write( String name , byte [ ] data)",3, 147, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/ResourceClassOutput.java,"ResourceClassOutput::getResources()",3, 36, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/MethodDescriptors.java,"MethodDescriptors::MethodDescriptors()",2, 34, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Transformation.java,"Transformation::Transformation( TransformationContextImpl transformationContext)",4, 81, 8, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Transformation.java,"Transformation::add( AnnotationInstance annotation)",4, 63, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Transformation.java,"Transformation::addAll( Collection<AnnotationInstance> annotations)",4, 79, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Transformation.java,"Transformation::addAll( AnnotationInstance ... annotations)",4, 70, 4, 0
repos/java/quarkus/independent-projects/arc/processor/src/main/java/io/quarkus/arc/processor/Transformation.java,"Transformation::add( Class<?extends Annotation> annotationType , AnnotationValue ... values)",4, 103, 4, 0
