File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::setUp()",60, 8, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::serializeAndDeserialize()",89, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::deserializeEmpty()",60, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::deserializeWrongClass()",84, 10, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::deserializeWrongType()",94, 10, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::deserializeWrongValue()",77, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Phone( String number)",36, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Phone( String number , ByteString unknownFields)",58, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::newBuilder()",47, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::equals( Object other)",63, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::hashCode()",71, 6, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::toString()",68, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Builder::Builder()",23, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Builder::number( String number)",43, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Builder::build()",54, 6, 0
