File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::setUp()",7, 60, 8, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::serializeAndDeserialize()",13, 89, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::deserializeEmpty()",8, 60, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::deserializeWrongClass()",19, 84, 10, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::deserializeWrongType()",19, 94, 10, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/WireConverterFactoryTest.java,"WireConverterFactoryTest::deserializeWrongValue()",11, 77, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Phone( String number)",3, 36, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Phone( String number , ByteString unknownFields)",4, 58, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::newBuilder()",6, 47, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::equals( Object other)",7, 63, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::hashCode()",9, 71, 6, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::toString()",5, 68, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Builder::Builder()",2, 23, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Builder::number( String number)",4, 43, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::Builder::build()",3, 54, 6, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::ProtoAdapter_Phone::ProtoAdapter_Phone()",3, 58, 6, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::ProtoAdapter_Phone::encodedSize( Phone value)",4, 98, 6, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::ProtoAdapter_Phone::encode( ProtoWriter writer , Phone value)",4, 92, 6, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::ProtoAdapter_Phone::decode( ProtoReader reader)",16, 77, 10, 0
repos/java/retrofit/retrofit-converters/wire/src/test/java/retrofit2/converter/wire/Phone.java,"Phone::ProtoAdapter_Phone::redact( Phone value)",5, 44, 6, 0
repos/java/retrofit/retrofit-converters/wire/src/main/java/retrofit2/converter/wire/WireConverterFactory.java,"WireConverterFactory::create()",3, 48, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/main/java/retrofit2/converter/wire/WireConverterFactory.java,"WireConverterFactory::WireConverterFactory()",2, 35, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/main/java/retrofit2/converter/wire/WireConverterFactory.java,"WireConverterFactory::responseBodyConverter( Type type , Annotation [ ] annotations , Retrofit retrofit)",13, 94, 4, 0
repos/java/retrofit/retrofit-converters/wire/src/main/java/retrofit2/converter/wire/WireConverterFactory.java,"WireConverterFactory::requestBodyConverter( Type type , Annotation [ ] parameterAnnotations , Annotation [ ] methodAnnotations , Retrofit retrofit)",13, 94, 6, 0
repos/java/retrofit/retrofit-converters/wire/src/main/java/retrofit2/converter/wire/WireRequestBodyConverter.java,"WireRequestBodyConverter<T::WireRequestBodyConverter( ProtoAdapter<T> adapter)",3, 54, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/main/java/retrofit2/converter/wire/WireRequestBodyConverter.java,"WireRequestBodyConverter<T::convert( T value)",5, 69, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/main/java/retrofit2/converter/wire/WireResponseBodyConverter.java,"WireResponseBodyConverter<T::WireResponseBodyConverter( ProtoAdapter<T> adapter)",3, 55, 2, 0
repos/java/retrofit/retrofit-converters/wire/src/main/java/retrofit2/converter/wire/WireResponseBodyConverter.java,"WireResponseBodyConverter<T::convert( ResponseBody value)",7, 70, 2, 0
