File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/30-seconds-of-code/test/collectInto.test.js,"function ( val )",3, 35, 6, 0
repos/javascript/30-seconds-of-code/test/collectInto.test.js,"function ( reason )",1, 24, 4, 0
repos/javascript/30-seconds-of-code/test/partialRight.test.js,"greet ( greeting , name )",3, 38, 2, 0
repos/javascript/30-seconds-of-code/test/functions.test.js,"Foo ( )",4, 20, 2, 0
repos/javascript/30-seconds-of-code/test/_30s.js,"] ( )",3, 30, 6, 0
repos/javascript/30-seconds-of-code/test/_30s.js,"function ( ... args )",4, 60, 4, 0
repos/javascript/30-seconds-of-code/test/_30s.js,"cached ( val )",3, 99, 4, 0
repos/javascript/30-seconds-of-code/test/_30s.js,"function ( ... args )",5, 33, 4, 0
repos/javascript/30-seconds-of-code/test/_30s.js,"function ( )",6, 55, 6, 0
repos/javascript/30-seconds-of-code/test/_30s.js,"function ( )",17, 55, 6, 0
repos/javascript/30-seconds-of-code/test/sleep.test.js,"sleepyWork ( )",4, 32, 2, 0
repos/javascript/30-seconds-of-code/test/copyToClipboard.test.js,"document.getSelection ( )",7, 39, 2, 0
repos/javascript/30-seconds-of-code/test/copyToClipboard.test.js,"document.execCommand ( x )",1, 52, 2, 0
repos/javascript/30-seconds-of-code/test/copyToClipboard.test.js,"document.getSelection ( )",8, 39, 2, 0
repos/javascript/30-seconds-of-code/test/copyToClipboard.test.js,"document.execCommand ( x )",1, 52, 2, 0
repos/javascript/30-seconds-of-code/test/delay.test.js,"function ( text )",3, 33, 6, 0
repos/javascript/30-seconds-of-code/test/bind.test.js,"greet ( greeting , punctuation )",3, 51, 2, 0
repos/javascript/30-seconds-of-code/test/functionName.test.js,"f ( x )",3, 16, 0, 0
repos/javascript/30-seconds-of-code/test/rearg.test.js,"function ( a , b , c )",3, 22, 2, 0
repos/javascript/30-seconds-of-code/test/partial.test.js,"greet ( greeting , name )",3, 38, 2, 0
repos/javascript/30-seconds-of-code/dist/_30s.js,"function ( global , factory )",5, 84, 2, 0
repos/javascript/30-seconds-of-code/dist/_30s.js,"] ( )",3, 32, 8, 0
repos/javascript/30-seconds-of-code/dist/_30s.js,"function ( ... args )",4, 62, 6, 0
repos/javascript/30-seconds-of-code/dist/_30s.js,"cached ( val )",3, 101, 6, 0
repos/javascript/30-seconds-of-code/dist/_30s.js,"function ( ... args )",5, 35, 6, 0
repos/javascript/30-seconds-of-code/dist/_30s.js,"function ( )",6, 57, 8, 0
repos/javascript/30-seconds-of-code/dist/_30s.js,"function ( )",17, 57, 8, 0
repos/javascript/30-seconds-of-code/dist/_30s.js,"function ( exports )",1701, 103, 2, 0
repos/javascript/30-seconds-of-code/dist/_30s.es5.js,"function ( global , factory )",5, 84, 2, 0
repos/javascript/30-seconds-of-code/dist/_30s.es5.js,"_typeof ( obj )",3, 33, 6, 0
repos/javascript/30-seconds-of-code/dist/_30s.es5.js,"_typeof ( obj )",3, 134, 8, 0
repos/javascript/30-seconds-of-code/dist/_30s.es5.js,"_typeof ( obj )",13, 134, 8, 0
