File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/atom/benchmarks/text-editor-long-lines.bench.js,"timeout duration )",65, 2, 0
repos/javascript/atom/benchmarks/text-editor-large-file-construction.bench.js,"timeout duration )",65, 2, 0
repos/javascript/atom/spec/text-editor-element-spec.js,"buildTextEditorElement options = { } )",63, 4, 0
repos/javascript/atom/spec/text-editor-element-spec.js,"function )",64, 4, 0
repos/javascript/atom/spec/command-registry-spec.js,"function event )",64, 6, 0
repos/javascript/atom/spec/command-registry-spec.js,"function event )",59, 6, 0
repos/javascript/atom/spec/command-registry-spec.js,"function event )",61, 6, 0
repos/javascript/atom/spec/command-registry-spec.js,"listener )",30, 6, 0
repos/javascript/atom/spec/command-registry-spec.js,"function event )",64, 6, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"findRootDirectory )",43, 4, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"absolute ... parts )",77, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"parts fullPath )",66, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",89, 4, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",100, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",83, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",88, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",94, 4, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",91, 6, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",92, 4, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",101, 6, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",101, 6, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",101, 6, 0
repos/javascript/atom/spec/config-spec.js,"atom.config.saveCallback settings )",53, 4, 0
repos/javascript/atom/spec/text-editor-registry-spec.js,"function )",91, 4, 0
repos/javascript/atom/spec/text-editor-registry-spec.js,"function )",26, 2, 0
repos/javascript/atom/spec/text-editor-registry-spec.js,"function )",73, 4, 0
repos/javascript/atom/spec/text-editor-registry-spec.js,"function )",76, 4, 0
