File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/atom/benchmarks/text-editor-long-lines.bench.js,"timeout duration )",3, 65, 2, 0
repos/javascript/atom/benchmarks/text-editor-large-file-construction.bench.js,"timeout duration )",3, 65, 2, 0
repos/javascript/atom/spec/text-editor-element-spec.js,"buildTextEditorElement options = { } )",6, 63, 4, 0
repos/javascript/atom/spec/text-editor-element-spec.js,"function )",12, 64, 4, 0
repos/javascript/atom/spec/command-registry-spec.js,"function event )",8, 64, 6, 0
repos/javascript/atom/spec/command-registry-spec.js,"function event )",6, 59, 6, 0
repos/javascript/atom/spec/command-registry-spec.js,"function event )",6, 61, 6, 0
repos/javascript/atom/spec/command-registry-spec.js,"listener )",1, 30, 6, 0
repos/javascript/atom/spec/command-registry-spec.js,"function event )",8, 64, 6, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"findRootDirectory )",11, 43, 4, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"absolute ... parts )",4, 77, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"parts fullPath )",3, 66, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",3, 89, 4, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",9, 100, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",19, 83, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",20, 88, 2, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",56, 94, 4, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",42, 91, 6, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",60, 92, 4, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",58, 101, 6, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",164, 101, 6, 0
repos/javascript/atom/spec/native-watcher-registry-spec.js,"function )",280, 101, 6, 0
repos/javascript/atom/spec/config-spec.js,"atom.config.saveCallback settings )",3, 53, 4, 0
repos/javascript/atom/spec/text-editor-registry-spec.js,"function )",13, 91, 4, 0
repos/javascript/atom/spec/text-editor-registry-spec.js,"function )",3, 26, 2, 0
repos/javascript/atom/spec/text-editor-registry-spec.js,"function )",6, 73, 4, 0
repos/javascript/atom/spec/text-editor-registry-spec.js,"function )",8, 76, 4, 0
