File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/axios/webpack.config.js,"generateConfig name )",35, 67, 6, 0
repos/javascript/axios/webpack.config.js,"function key )",3, 48, 0, 0
repos/javascript/axios/Gruntfile.js,"function )",12, 92, 2, 0
repos/javascript/axios/Gruntfile.js,"module.exports grunt )",107, 120, 6, 0
repos/javascript/axios/karma.conf.js,"createCustomLauncher browser , version , platform )",8, 60, 0, 0
repos/javascript/axios/karma.conf.js,"function opt )",5, 37, 4, 0
repos/javascript/axios/karma.conf.js,"module.exports config )",232, 121, 4, 0
repos/javascript/axios/sandbox/server.js,"pipeFileToResponse res , file , type )",9, 61, 2, 0
repos/javascript/axios/sandbox/server.js,"function chunk )",3, 38, 4, 0
repos/javascript/axios/sandbox/server.js,"function )",22, 53, 10, 0
repos/javascript/axios/sandbox/server.js,"function req , res )",54, 69, 4, 0
repos/javascript/axios/sandbox/client.js,"handleSuccess data )",1, 52, 0, 0
repos/javascript/axios/sandbox/client.js,"handleFailure data )",1, 61, 0, 0
repos/javascript/axios/examples/server.js,"listDirs root )",16, 53, 6, 0
repos/javascript/axios/examples/server.js,"function dir )",4, 105, 4, 0
repos/javascript/axios/examples/server.js,"getIndexTemplate )",24, 105, 4, 0
repos/javascript/axios/examples/server.js,"sendResponse res , statusCode , body )",5, 47, 0, 0
repos/javascript/axios/examples/server.js,"send200 res , body )",3, 49, 2, 0
repos/javascript/axios/examples/server.js,"send404 res , body )",3, 56, 2, 0
repos/javascript/axios/examples/server.js,"pipeFileToResponse res , file , type )",8, 61, 2, 0
repos/javascript/axios/examples/server.js,"function req , res )",59, 77, 4, 0
repos/javascript/axios/examples/post/server.js,"function chunk )",3, 36, 2, 0
repos/javascript/axios/examples/post/server.js,"function )",8, 39, 4, 0
repos/javascript/axios/examples/post/server.js,"module.exports req , res )",16, 39, 0, 0
repos/javascript/axios/examples/upload/server.js,"function chunk )",3, 36, 2, 0
repos/javascript/axios/examples/upload/server.js,"function )",5, 34, 4, 0
repos/javascript/axios/examples/upload/server.js,"module.exports req , res )",13, 39, 0, 0
repos/javascript/axios/examples/get/server.js,"module.exports req , res )",7, 39, 0, 0
repos/javascript/axios/lib/axios.js,"createInstance defaultConfig )",12, 57, 2, 0
repos/javascript/axios/lib/axios.js,"create instanceConfig )",3, 70, 2, 0
repos/javascript/axios/lib/axios.js,"all promises )",3, 37, 0, 0
repos/javascript/axios/lib/utils.js,"isArray val )",3, 50, 2, 0
repos/javascript/axios/lib/utils.js,"isArrayBuffer val )",3, 56, 2, 0
repos/javascript/axios/lib/utils.js,"isFormData val )",3, 73, 2, 0
repos/javascript/axios/lib/utils.js,"isArrayBufferView val )",9, 75, 4, 0
repos/javascript/axios/lib/utils.js,"isString val )",3, 34, 2, 0
repos/javascript/axios/lib/utils.js,"isNumber val )",3, 34, 2, 0
repos/javascript/axios/lib/utils.js,"isUndefined val )",3, 37, 2, 0
repos/javascript/axios/lib/utils.js,"isObject val )",3, 50, 2, 0
repos/javascript/axios/lib/utils.js,"isDate val )",3, 49, 2, 0
repos/javascript/axios/lib/utils.js,"isFile val )",3, 49, 2, 0
repos/javascript/axios/lib/utils.js,"isBlob val )",3, 49, 2, 0
repos/javascript/axios/lib/utils.js,"isFunction val )",3, 53, 2, 0
repos/javascript/axios/lib/utils.js,"isStream val )",3, 48, 2, 0
repos/javascript/axios/lib/utils.js,"isURLSearchParams val )",3, 83, 2, 0
repos/javascript/axios/lib/utils.js,"trim str )",3, 54, 2, 0
repos/javascript/axios/lib/utils.js,"isStandardBrowserEnv )",11, 83, 43, 0
repos/javascript/axios/lib/utils.js,"forEach obj , fn )",26, 60, 6, 0
repos/javascript/axios/lib/utils.js,"assignValue val , key )",7, 70, 4, 0
repos/javascript/axios/lib/utils.js,"merge )",15, 70, 4, 0
repos/javascript/axios/lib/utils.js,"assignValue val , key )",9, 70, 4, 0
repos/javascript/axios/lib/utils.js,"deepMerge )",17, 70, 4, 0
repos/javascript/axios/lib/utils.js,"assignValue val , key )",7, 48, 4, 0
repos/javascript/axios/lib/utils.js,"extend a , b , thisArg )",10, 48, 4, 0
repos/javascript/axios/lib/defaults.js,"setContentTypeIfUnset headers , value )",5, 83, 2, 0
repos/javascript/axios/lib/defaults.js,"getDefaultAdapter )",12, 106, 2, 0
repos/javascript/axios/lib/defaults.js,"transformRequest data , headers )",25, 89, 6, 0
repos/javascript/axios/lib/defaults.js,"transformResponse data )",9, 57, 2, 0
repos/javascript/axios/lib/defaults.js,"validateStatus status )",3, 52, 2, 0
repos/javascript/axios/lib/defaults.js,"forEachMethodNoData method )",3, 80, 0, 0
repos/javascript/axios/lib/defaults.js,"forEachMethodWithData method )",3, 81, 0, 0
repos/javascript/axios/lib/core/enhanceError.js,"error.toJSON )",18, 39, 6, 0
repos/javascript/axios/lib/core/enhanceError.js,"enhanceError error , config , code , request , response )",30, 81, 0, 0
repos/javascript/axios/lib/core/Axios.js,"Axios instanceConfig )",7, 39, 4, 0
