File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/create-react-app/test/fixtures/mjs-support/src/App.js,"*global*",72, 8, 0
repos/javascript/create-react-app/test/fixtures/webpack-message-formatting/src/FooExport.js,"foo )",24, 0, 0
repos/javascript/create-react-app/test/fixtures/webpack-message-formatting/src/AppLintWarning.js,"foo )",18, 0, 0
repos/javascript/create-react-app/test/fixtures/webpack-message-formatting/src/AppLintError.js,"foo )",17, 0, 0
repos/javascript/create-react-app/test/fixtures/__shared__/util/scripts.js,"stripYarn output )",71, 4, 0
repos/javascript/create-react-app/test/fixtures/__shared__/util/scripts.js,"execaSafe ... args )",46, 4, 0
repos/javascript/create-react-app/tasks/screencast-start.js,"main cli )",75, 4, 0
repos/javascript/create-react-app/tasks/compile-lockfile.js,"*global*",103, 2, 0
repos/javascript/create-react-app/tasks/compile-lockfile.js,"*global*",103, 2, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/cra.js,"*global*",81, 6, 0
repos/javascript/create-react-app/tasks/screencast.js,"*global*",74, 4, 0
repos/javascript/create-react-app/tasks/screencast.js,"cut frames , { start , end } )",52, 2, 0
repos/javascript/create-react-app/tasks/screencast.js,"replace frames , replacements )",78, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/App.js,"*global*",86, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/ArraySpread.js,"load users )",26, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/CustomInterpolation.js,"load )",26, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/RestParameters.js,"load { id = 0 , ... rest } )",37, 0, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/DefaultParameters.js,"load id = 0 )",31, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/ObjectSpread.js,"load baseUser )",39, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/ObjectDestructuring.js,"load )",26, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/RestAndDefault.js,"load { id , ... rest } = { id : 0 , user : { id : 42 , name : '42' } } )",75, 0, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/ArrayDestructuring.js,"load )",51, 2, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/DestructuringAndAwait.js,"load )",28, 6, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/TemplateInterpolation.js,"load name )",33, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/Promises.js,"load )",27, 2, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/Generators.js,"load limit )",30, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/ComputedProperties.js,"load prefix )",40, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/features/syntax/AsyncAwait.js,"load )",26, 4, 0
repos/javascript/create-react-app/packages/react-scripts/fixtures/kitchensink/src/subfolder/lol.js,"module.exports )",30, 0, 0
repos/javascript/create-react-app/packages/react-scripts/config/webpack.config.js,"module.exports webpackEnv )",119, 6, 0
repos/javascript/create-react-app/packages/react-scripts/config/webpack.config.js,"*global*",119, 6, 0
repos/javascript/create-react-app/packages/react-scripts/config/webpackDevServer.config.js,"module.exports proxy , allowedHost )",93, 4, 0
repos/javascript/create-react-app/packages/react-scripts/config/env.js,"getClientEnvironment publicUrl )",80, 8, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/build.js,"build previousFileSizes )",79, 12, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/build.js,"copyPublicFolder )",49, 2, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/start.js,"function )",35, 6, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/start.js,"function sig )",50, 4, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/eject.js,"getGitStatus )",54, 4, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/eject.js,"verifyAbsent file )",87, 12, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/test.js,"isInGitRepository )",74, 4, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/test.js,"isInMercurialRepository )",54, 4, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/test.js,"resolveJestDefaultEnvironment name )",47, 0, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/init.js,"isInGitRepository )",74, 4, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/init.js,"isInMercurialRepository )",54, 4, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/init.js,"tryGitInit appPath )",71, 4, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/init.js,"module.exports appPath , appName , verbose , originalDirectory , template )",83, 2, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/init.js,"isReactInstalled appPackage )",54, 2, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/utils/verifyTypeScriptSetup.js,"writeJson fileName , object )",72, 2, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/utils/verifyTypeScriptSetup.js,"verifyNoTypeScript )",74, 2, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/utils/verifyTypeScriptSetup.js,"verifyTypeScriptSetup )",85, 8, 0
