File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/create-react-app/tasks/screencast-start.js,"main ( cli )",41, 75, 4, 0
repos/javascript/create-react-app/tasks/screencast.js,"main ( )",41, 74, 4, 0
repos/javascript/create-react-app/tasks/screencast.js,"cut ( frames , { start , end } )",10, 52, 2, 0
repos/javascript/create-react-app/tasks/screencast.js,"replace ( frames , replacements )",5, 78, 4, 0
repos/javascript/create-react-app/test/fixtures/__shared__/util/scripts.js,"stripYarn ( output )",11, 71, 4, 0
repos/javascript/create-react-app/test/fixtures/__shared__/util/scripts.js,"execaSafe ( ... args )",24, 46, 4, 0
repos/javascript/create-react-app/test/fixtures/webpack-message-formatting/src/AppLintWarning.js,"foo ( )",1, 18, 0, 0
repos/javascript/create-react-app/test/fixtures/webpack-message-formatting/src/AppLintError.js,"foo ( )",3, 17, 0, 0
repos/javascript/create-react-app/test/fixtures/webpack-message-formatting/src/FooExport.js,"foo ( )",3, 24, 0, 0
repos/javascript/create-react-app/packages/babel-preset-react-app/test.js,"module.exports ( api , opts )",3, 71, 2, 0
repos/javascript/create-react-app/packages/babel-preset-react-app/webpack-overrides.js,"module.exports ( )",21, 84, 6, 0
repos/javascript/create-react-app/packages/babel-preset-react-app/index.js,"module.exports ( api , opts )",10, 82, 2, 0
repos/javascript/create-react-app/packages/babel-preset-react-app/create.js,"module.exports ( api , opts , env )",178, 151, 10, 0
repos/javascript/create-react-app/packages/babel-preset-react-app/prod.js,"module.exports ( api , opts )",3, 77, 2, 0
repos/javascript/create-react-app/packages/babel-preset-react-app/dev.js,"module.exports ( api , opts )",3, 78, 2, 0
repos/javascript/create-react-app/packages/babel-preset-react-app/dependencies.js,"module.exports ( api , opts )",109, 151, 10, 0
repos/javascript/create-react-app/packages/react-dev-utils/clearConsole.js,"clearConsole ( )",5, 77, 4, 0
repos/javascript/create-react-app/packages/react-dev-utils/FileSizeReporter.js,"canReadAsset ( asset )",7, 52, 4, 0
