File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/handtrack.js/rollup.config.js,"copyPlugin ( options )",12, 68, 6, 0
repos/javascript/handtrack.js/demo/track.js,"function ( status )",10, 65, 12, 0
repos/javascript/handtrack.js/demo/track.js,"startVideo ( )",12, 65, 12, 0
repos/javascript/handtrack.js/demo/track.js,"toggleVideo ( )",11, 48, 8, 0
repos/javascript/handtrack.js/demo/track.js,"nextImage ( )",6, 53, 4, 0
repos/javascript/handtrack.js/demo/track.js,"runDetection ( )",9, 70, 8, 0
repos/javascript/handtrack.js/demo/track.js,"runDetectionImage ( img )",6, 68, 8, 0
repos/javascript/handtrack.js/src/index.js,"load ( params )",7, 62, 2, 0
repos/javascript/handtrack.js/src/index.js,"function ( err )",3, 32, 6, 0
repos/javascript/handtrack.js/src/index.js,"function ( resolve , reject )",19, 50, 2, 0
repos/javascript/handtrack.js/src/index.js,"startVideo ( video )",27, 74, 2, 0
repos/javascript/handtrack.js/src/index.js,"stopVideo ( )",10, 56, 4, 0
repos/javascript/handtrack.js/src/index.js,"function ( result )",48, 103, 6, 0
repos/javascript/handtrack.js/src/index.js,"getValidResolution ( imageScaleFactor , inputDimension , outputStride )",4, 78, 0, 0
repos/javascript/handtrack.js/src/index.js,"getInputTensorDimensions ( input )",3, 102, 2, 0
repos/javascript/handtrack.js/src/index.js,"calculateMaxScores ( scores , numBoxes , numClasses )",18, 60, 0, 0
