File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/material-ui/next.config.js,"traverse ( pages2 , userLanguage )",17, 70, 6, 0
repos/javascript/material-ui/dangerfile.js,"git ( args )",11, 44, 2, 0
repos/javascript/material-ui/dangerfile.js,"cleanup ( )",3, 49, 2, 0
repos/javascript/material-ui/dangerfile.js,"createComparisonFilter ( parsedThreshold , gzipThreshold )",9, 67, 6, 0
repos/javascript/material-ui/dangerfile.js,"isPackageComparison ( comparisonEntry )",4, 48, 0, 0
repos/javascript/material-ui/dangerfile.js,"addPercent ( change , goodEmoji = '' , badEmooji = ':small_red_triangle:' )",7, 82, 0, 0
repos/javascript/material-ui/dangerfile.js,"generateMDTable ( headers , body )",14, 84, 2, 0
repos/javascript/material-ui/dangerfile.js,"generateEmphasizedChange ( [ bundle , { parsed , gzip } ] )",7, 83, 2, 0
repos/javascript/material-ui/dangerfile.js,"run ( )",70, 90, 2, 0
repos/javascript/material-ui/babel.config.js,"resolvePath ( sourcePath , currentFile , opts )",8, 71, 4, 0
repos/javascript/material-ui/test/karma.conf.js,"setKarmaConfig ( config )",121, 75, 6, 0
repos/javascript/material-ui/test/utils/createDOM.js,"createDOM ( )",27, 66, 2, 0
repos/javascript/material-ui/test/utils/consoleError.js,"consoleError ( )",7, 54, 4, 0
repos/javascript/material-ui/test/utils/rerender.js,"componentDidUpdate ( )",6, 71, 4, 0
repos/javascript/material-ui/test/utils/rerender.js,"createComponentDidUpdate ( instance )",8, 71, 4, 0
repos/javascript/material-ui/test/regressions/TestViewer.js,"TestViewer ( props )",5, 57, 2, 0
repos/javascript/material-ui/test/regressions/tests/RadioGroup/RadioGroupWithLabelRequired.js,"RadioGroupWithLabelRequired ( )",11, 75, 8, 0
repos/javascript/material-ui/test/regressions/tests/RadioGroup/SimpleRadioGroup.js,"SimpleRadioGroup ( )",10, 75, 8, 0
repos/javascript/material-ui/test/regressions/tests/RadioGroup/RadioGroupWithLabel.js,"RadioGroupWithLabel ( )",11, 75, 8, 0
repos/javascript/material-ui/test/regressions/tests/RadioGroup/RadioGroupWithLabelError.js,"RadioGroupWithLabelError ( )",11, 75, 8, 0
repos/javascript/material-ui/test/regressions/tests/Paper/SimplePaper.js,"SimplePaper ( )",9, 44, 6, 0
repos/javascript/material-ui/test/regressions/tests/Tabs/SimpleTabs.js,"SimpleTabs ( props )",43, 83, 8, 0
repos/javascript/material-ui/test/regressions/tests/Tabs/AdvancedTabs.js,"AdvancedTabs ( props )",48, 93, 8, 0
repos/javascript/material-ui/test/regressions/tests/ListSubheader/PrimaryListSubheader.js,"PrimaryListSubheader ( )",3, 63, 2, 0
repos/javascript/material-ui/test/regressions/tests/ListSubheader/SimpleListSubheader.js,"SimpleListSubheader ( )",3, 48, 0, 0
repos/javascript/material-ui/test/regressions/tests/ListSubheader/InsetListSubheader.js,"InsetListSubheader ( )",3, 53, 2, 0
repos/javascript/material-ui/test/regressions/tests/Tooltip/PositionedTooltips.js,"PositionedTooltips ( props )",65, 78, 8, 0
repos/javascript/material-ui/test/regressions/tests/Input/InputLabels.js,"InputLabels ( props )",19, 56, 6, 0
repos/javascript/material-ui/test/regressions/tests/Input/InputSearch.js,"InputSearch ( )",3, 61, 2, 0
repos/javascript/material-ui/test/regressions/tests/Chip/DeletableAvatarChip.js,"DeletableAvatarChip ( )",3, 89, 2, 0
repos/javascript/material-ui/test/regressions/tests/TextField/TextFieldError.js,"TextFieldError ( )",8, 58, 6, 0
repos/javascript/material-ui/test/regressions/tests/TextField/TextFieldMultiline.js,"TextFieldMultiline ( )",3, 76, 2, 0
repos/javascript/material-ui/test/regressions/tests/TextField/TextFieldRequired.js,"TextFieldRequired ( )",8, 61, 6, 0
repos/javascript/material-ui/test/regressions/tests/TextField/TextFieldMargin.js,"TextFieldMargin ( )",8, 83, 6, 0
repos/javascript/material-ui/test/regressions/tests/Dialog/AlertDialog.js,"AlertDialog ( )",22, 97, 10, 0
repos/javascript/material-ui/test/regressions/tests/SpeedDial/Directions.js,"SimpleSpeedDial ( props )",23, 92, 10, 0
repos/javascript/material-ui/test/regressions/tests/SpeedDial/Directions.js,"Directions ( { classes } )",17, 75, 4, 0
repos/javascript/material-ui/test/regressions/tests/Button/MultilineButton.js,"MultilineButton ( )",11, 61, 8, 0
repos/javascript/material-ui/test/regressions/tests/Table/DenseCheckboxTable.js,"createData ( name , calories , fat , carbs , protein )",4, 59, 0, 0
repos/javascript/material-ui/test/regressions/tests/Table/DenseCheckboxTable.js,"DenseCheckboxTable ( props )",40, 75, 14, 0
repos/javascript/material-ui/test/regressions/tests/List/IconListItem.js,"IconListItem ( )",30, 69, 8, 0
repos/javascript/material-ui/test/regressions/tests/List/PrimaryActionCheckboxListItem.js,"PrimaryActionCheckboxListItem ( )",35, 58, 0, 0
repos/javascript/material-ui/test/regressions/tests/List/AvatarListItem.js,"AvatarListItem ( )",32, 66, 10, 0
repos/javascript/material-ui/test/regressions/tests/List/SecondaryActionCheckboxListItem.js,"SecondaryActionCheckboxListItem ( )",26, 60, 0, 0
repos/javascript/material-ui/test/regressions/tests/List/SimpleListItem.js,"SimpleListItem ( )",21, 65, 8, 0
repos/javascript/material-ui/test/regressions/tests/Menu/SimpleMenuList.js,"SimpleMenuList ( )",11, 49, 8, 0
repos/javascript/material-ui/test/regressions/tests/Select/SelectOverflow.js,"SelectOverflow ( )",10, 50, 4, 0
repos/javascript/material-ui/test/regressions/tests/Select/SelectAlignment.js,"SelectAlignment ( )",29, 68, 8, 0
repos/javascript/material-ui/test/regressions/tests/LinearProgress/BufferLinearProgress.js,"DeterminateLinearProgress ( )",12, 54, 0, 0
repos/javascript/material-ui/test/regressions/tests/LinearProgress/DeterminateLinearProgress.js,"DeterminateLinearProgress ( )",11, 54, 0, 0
