File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/next.js/bench/readdir/recursive-readdir.js,"test ( )",9, 52, 2, 0
repos/javascript/next.js/bench/readdir/recursive-readdir.js,"run ( )",5, 33, 2, 0
repos/javascript/next.js/bench/readdir/glob.js,"test ( )",9, 52, 2, 0
repos/javascript/next.js/bench/readdir/glob.js,"run ( )",5, 33, 2, 0
repos/javascript/next.js/bench/recursive-delete/recursive-delete.js,"test ( )",9, 52, 2, 0
repos/javascript/next.js/bench/recursive-delete/rimraf.js,"test ( )",9, 52, 2, 0
repos/javascript/next.js/test/jest-global-teardown.js,"globalSetup ( )",3, 49, 0, 0
repos/javascript/next.js/test/jest-global-setup.js,"globalSetup ( )",9, 60, 2, 0
repos/javascript/next.js/test/unit/getDisplayName.test.js,"FunctionalComponent ( )",3, 38, 4, 0
repos/javascript/next.js/test/integration/production-config/test/index.test.js,"testBrowser ( )",9, 75, 2, 0
repos/javascript/next.js/test/integration/config/test/rendering.js,"$ ( path , query )",4, 43, 4, 0
repos/javascript/next.js/test/integration/config/test/rendering.js,"function ( { app } , suiteName , render , fetch )",38, 106, 4, 0
repos/javascript/next.js/test/integration/serverless/server.js,"start ( port = 0 )",34, 74, 6, 0
repos/javascript/next.js/test/integration/with-router/pages/router-method-ssr.js,"RouterMethodSSR ( { router } )",4, 55, 2, 0
repos/javascript/next.js/test/integration/basic/warning-loader.js,"module.exports ( source )",4, 88, 2, 0
repos/javascript/next.js/test/integration/basic/test/rendering.js,"$ ( path , query )",4, 43, 4, 0
repos/javascript/next.js/test/integration/basic/test/rendering.js,"function ( { app } , suiteName , render , fetch )",287, 213, 6, 0
repos/javascript/next.js/test/integration/basic/test/dynamic.js,"$ ( path , query )",4, 43, 4, 0
repos/javascript/next.js/test/integration/basic/lib/async-function.js,"function ( )",3, 37, 0, 0
repos/javascript/next.js/test/integration/basic/pages/instance-get-initial-props.js,"fetchData ( )",6, 62, 4, 0
repos/javascript/next.js/test/integration/basic/pages/circular-json-error.js,"CircularJSONErrorPage ( )",3, 38, 2, 0
repos/javascript/next.js/test/integration/basic/pages/read-only-object-error.js,"ReadOnlyObjectError ( )",3, 48, 2, 0
repos/javascript/next.js/test/integration/basic/pages/async-props.js,"fetchData ( )",6, 60, 4, 0
repos/javascript/next.js/test/integration/production-build-dir/test/index.test.js,"function ( chunk )",3, 52, 6, 0
repos/javascript/next.js/test/integration/production-build-dir/test/index.test.js,"function ( chunk )",3, 52, 6, 0
repos/javascript/next.js/test/integration/production-build-dir/test/index.test.js,"runNextCommand ( argv , options = { } )",33, 203, 4, 0
repos/javascript/next.js/test/integration/babel/test/rendering.js,"$ ( path , query )",4, 43, 4, 0
repos/javascript/next.js/test/integration/babel/test/rendering.js,"function ( { app } , suiteName , render , fetch )",13, 70, 4, 0
repos/javascript/next.js/test/integration/amphtml/test/index.test.js,"validateAMP ( html )",16, 75, 8, 0
repos/javascript/next.js/test/integration/amphtml/components/Foo.js,"Foo ( )",12, 33, 0, 0
repos/javascript/next.js/test/integration/amphtml/components/Bar.js,"Bar ( )",12, 33, 0, 0
repos/javascript/next.js/test/integration/production/test/security.js,"checkInjected ( browser )",10, 55, 4, 0
repos/javascript/next.js/test/integration/production/test/dynamic.js,"$ ( path , query )",4, 43, 4, 0
repos/javascript/next.js/test/integration/app-document/shared-module.js,"setState ( state )",3, 35, 0, 0
repos/javascript/next.js/test/integration/app-document/shared-module.js,"currentState ( )",3, 42, 0, 0
repos/javascript/next.js/test/integration/app-document/test/rendering.js,"$ ( path , query )",4, 43, 4, 0
repos/javascript/next.js/test/integration/app-document/test/rendering.js,"function ( { app } , suiteName , render , fetch )",103, 119, 6, 0
repos/javascript/next.js/test/integration/dynamic-require/locales/ru.js,"en ( props )",3, 23, 0, 0
repos/javascript/next.js/test/integration/dynamic-require/locales/en.js,"en ( props )",3, 23, 0, 0
repos/javascript/next.js/test/integration/config-promise-error/pages/index.js,"Index ( props )",5, 40, 0, 0
