File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/puppeteer/install.js,"onSuccess ( localRevisions )",7, 101, 2, 0
repos/javascript/puppeteer/install.js,"onError ( error )",5, 139, 2, 0
repos/javascript/puppeteer/install.js,"onProgress ( downloadedBytes , totalBytes )",14, 125, 4, 0
repos/javascript/puppeteer/install.js,"toMegabytes ( bytes )",4, 43, 2, 0
repos/javascript/puppeteer/install.js,"buildNode6IfNecessary ( )",15, 81, 2, 0
repos/javascript/puppeteer/install.js,"supportsAsyncAwait ( )",8, 52, 4, 0
repos/javascript/puppeteer/install.js,"generateProtocolTypesIfNecessary ( updated )",11, 81, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/install.js,"onSuccess ( localRevisions )",10, 115, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/install.js,"onError ( error )",5, 68, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/install.js,"onProgress ( downloadedBytes , totalBytes )",14, 149, 4, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/install.js,"toMegabytes ( bytes )",4, 43, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/misc/install-preferences.js,"installFirefoxPreferences ( executablePath )",35, 88, 4, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/misc/install-preferences.js,"function ( resolve , reject )",6, 49, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/misc/install-preferences.js,"function ( error )",5, 29, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/misc/install-preferences.js,"copyFile ( { from , to } )",14, 49, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"addScriptUrl ( url , type )",13, 55, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"addScriptContent ( content , type = 'text/javascript' )",11, 67, 4, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"addStyleUrl ( url )",12, 51, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"addStyleContent ( content )",12, 59, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"hasVisibleBoundingBox ( )",4, 73, 8, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"predicate ( selectorOrXPath , isXPath , waitForVisible , waitForHidden )",23, 120, 8, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"pollMutation ( )",25, 57, 4, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"onRaf ( )",11, 51, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"pollRaf ( )",18, 51, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"onTimeout ( )",11, 51, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"pollInterval ( pollInterval )",18, 51, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/DOMWorld.js,"waitForPredicatePageFunction ( predicateBody , polling , timeout , ... args )",86, 88, 0, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/JSHandle.js,"createHandle ( context , result , exceptionDetails )",10, 112, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/JSHandle.js,"computeQuadArea ( quad )",12, 61, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/JSHandle.js,"computeQuadCenter ( quad )",8, 62, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/Page.js,"addPageBinding ( bindingName )",16, 97, 8, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/Page.js,"deliverResult ( name , seq , result )",4, 58, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/Page.js,"deliverError ( name , seq , message , stack )",6, 56, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/Page.js,"deliverErrorValue ( name , seq , value )",4, 56, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/Page.js,"processClip ( clip )",9, 59, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/Page.js,"getScreenshotMimeType ( options )",18, 99, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/BrowserFetcher.js,"archiveName ( product , platform , revision )",20, 78, 6, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/BrowserFetcher.js,"downloadURL ( product , platform , host , revision )",3, 113, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/BrowserFetcher.js,"existsAsync ( filePath )",6, 49, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/BrowserFetcher.js,"parseFolderPath ( folderPath )",10, 48, 2, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/BrowserFetcher.js,"onData ( chunk )",4, 51, 4, 0
repos/javascript/puppeteer/experimental/puppeteer-firefox/lib/BrowserFetcher.js,"downloadFile ( url , destinationPath , progressCallback )",31, 108, 6, 0
