File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/react/dangerfile.js,"generateMDTable headers , body )",64, 2, 0
repos/javascript/react/dangerfile.js,"addPercent change , includeEmoji )",51, 6, 0
repos/javascript/react/dangerfile.js,"setBoldness row , isBold )",49, 4, 0
repos/javascript/react/dangerfile.js,"git args )",51, 4, 0
repos/javascript/react/dangerfile.js,"function )",80, 2, 0
repos/javascript/react/fixtures/attribute-behavior/src/attributes.js,"getProperty propertyName )",37, 0, 0
repos/javascript/react/fixtures/attribute-behavior/src/attributes.js,"getAttribute attributeName )",47, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/attributes.js,"getSVGProperty propertyName )",40, 0, 0
repos/javascript/react/fixtures/attribute-behavior/src/attributes.js,"getSVGAttribute attributeName )",60, 4, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"f )",32, 4, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"getCanonicalizedValue value )",76, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"warn str )",21, 0, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"createContainer )",76, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"getRenderedAttributeValue react , renderer , serverRenderer , attribute , type )",76, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"getRenderedAttributeValues attribute , type )",79, 8, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"prepareState initGlobals )",79, 8, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"RendererResult { result , canonicalResult , defaultValue , canonicalDefaultValue , didWarn , didError , ssrHasSameBehavior , ssrHasSameBehaviorExceptWarnings , } )",73, 4, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"ColumnHeader { children } )",70, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"initGlobals attribute , type )",83, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"*global*",92, 8, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"*global*",92, 8, 0
repos/javascript/react/fixtures/unstable-async/time-slicing/src/index.js,"*global*",76, 6, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/Spinner.js,"Spinner { size = 'small' } )",74, 2, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/App.js,"*global*",78, 6, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/UserPage.js,"UserPage { id } )",73, 6, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/UserPage.js,"Img { src , alt , ... rest } )",79, 4, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/UserPage.js,"Repository { description , name , url } )",55, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"fetchCoreContributorListJSON )",74, 2, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"fetchUserProfileJSON id )",65, 2, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"fetchUserRepositoriesListJSON id )",79, 2, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"setFakeRequestTime val )",42, 0, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"setProgressHandler handler )",46, 0, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"setPauseNewRequests value )",45, 0, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"setPaused url , isPaused )",43, 0, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"notify )",51, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"makeFakeAPICall url , result )",51, 8, 0
repos/javascript/react/fixtures/tracing/script.js,"runTest listItem , callback )",60, 4, 0
repos/javascript/react/fixtures/tracing/script.js,"runAllTests )",49, 8, 0
repos/javascript/react/fixtures/tracing/script.js,"checkSchedulerAPI )",71, 4, 0
repos/javascript/react/fixtures/tracing/script.js,"checkSchedulerTracingAPI )",81, 6, 0
repos/javascript/react/fixtures/tracing/script.js,"checkSchedulerTracingSubscriptionsAPI )",79, 8, 0
repos/javascript/react/fixtures/tracing/script.js,"checkEndToEndIntegration )",76, 6, 0
repos/javascript/react/fixtures/ssr/server/render.js,"render )",70, 2, 0
repos/javascript/react/fixtures/ssr/server/index.js,"function req , res )",77, 4, 0
repos/javascript/react/fixtures/ssr/server/index.js,"function req , res )",36, 2, 0
repos/javascript/react/fixtures/ssr/server/index.js,"function error )",73, 2, 0
repos/javascript/react/fixtures/packaging/build-all.js,"buildFixture cmdArg , path )",73, 2, 0
repos/javascript/react/fixtures/packaging/rjs/prod/input.js,"function React , ReactDOM )",60, 0, 0
repos/javascript/react/fixtures/packaging/rjs/dev/input.js,"function React , ReactDOM )",60, 0, 0
repos/javascript/react/fixtures/packaging/systemjs-builder/prod/build.js,"function )",35, 4, 0
repos/javascript/react/fixtures/packaging/systemjs-builder/prod/build.js,"function err )",32, 4, 0
repos/javascript/react/fixtures/packaging/systemjs-builder/dev/build.js,"function )",35, 4, 0
repos/javascript/react/fixtures/packaging/systemjs-builder/dev/build.js,"function err )",32, 4, 0
repos/javascript/react/fixtures/fiber-debugger/src/Fibers.js,"getFiberColor fibers , id )",44, 2, 0
repos/javascript/react/fixtures/fiber-debugger/src/Fibers.js,"function child )",77, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/Fibers.js,"Graph props )",77, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/Fibers.js,"*global*",77, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/Fibers.js,"*global*",77, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/Fibers.js,"formatPriority priority )",44, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/App.js,"getFiberState root , workInProgress )",55, 2, 0
repos/javascript/react/fixtures/fiber-debugger/src/App.js,"*global*",78, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/App.js,"*global*",78, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/describeFibers.js,"getFiberUniqueID fiber )",42, 4, 0
repos/javascript/react/fixtures/fiber-debugger/src/describeFibers.js,"getFriendlyTag tag )",39, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/describeFibers.js,"getFriendlyEffect effectTag )",40, 0, 0
repos/javascript/react/fixtures/fiber-debugger/src/describeFibers.js,"acknowledgeFiber fiber )",71, 6, 0
repos/javascript/react/fixtures/fiber-debugger/src/describeFibers.js,"markAsCurrent id )",36, 4, 0
repos/javascript/react/fixtures/fiber-debugger/src/describeFibers.js,"describeFibers rootFiber , workInProgress )",71, 6, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"getQueryParam key )",57, 4, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"getBooleanQueryParam key )",42, 4, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"setStatus label )",30, 2, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"prerender )",54, 4, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"render )",76, 4, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"handleError error )",35, 4, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"script.onerror error )",52, 8, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"function resolve , reject )",53, 6, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"loadScript src )",53, 6, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"injectFixture src )",70, 6, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"reloadFixture code )",45, 4, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"reload.onclick )",32, 2, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"function )",52, 8, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"function )",62, 6, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"function event )",73, 14, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"function )",73, 14, 0
repos/javascript/react/fixtures/dom/public/renderer.js,"function )",76, 4, 0
repos/javascript/react/fixtures/dom/src/polyfills.js,"function )",46, 6, 0
repos/javascript/react/fixtures/dom/src/polyfills.js,"window.requestAnimationFrame callback , element )",65, 4, 0
repos/javascript/react/fixtures/dom/src/polyfills.js,"window.cancelAnimationFrame id )",49, 4, 0
repos/javascript/react/fixtures/dom/src/polyfills.js,"function )",81, 4, 0
repos/javascript/react/fixtures/dom/src/tags.js,"getVersionTags )",80, 6, 0
repos/javascript/react/fixtures/dom/src/react-loader.js,"parseQuery qstr )",70, 4, 0
repos/javascript/react/fixtures/dom/src/react-loader.js,"loadScript src )",76, 4, 0
