File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/react/dangerfile.js,"generateMDTable headers , body )",9, 64, 2, 0
repos/javascript/react/dangerfile.js,"addPercent change , includeEmoji )",16, 51, 6, 0
repos/javascript/react/dangerfile.js,"setBoldness row , isBold )",7, 49, 4, 0
repos/javascript/react/dangerfile.js,"git args )",11, 51, 4, 0
repos/javascript/react/dangerfile.js,"function )",118, 80, 2, 0
repos/javascript/react/fixtures/attribute-behavior/src/attributes.js,"getProperty propertyName )",3, 37, 0, 0
repos/javascript/react/fixtures/attribute-behavior/src/attributes.js,"getAttribute attributeName )",8, 47, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/attributes.js,"getSVGProperty propertyName )",3, 40, 0, 0
repos/javascript/react/fixtures/attribute-behavior/src/attributes.js,"getSVGAttribute attributeName )",8, 60, 4, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"f )",1, 32, 4, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"getCanonicalizedValue value )",87, 76, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"warn str )",3, 21, 0, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"createContainer )",9, 76, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"getRenderedAttributeValue react , renderer , serverRenderer , attribute , type )",168, 76, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"getRenderedAttributeValues attribute , type )",43, 79, 8, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"prepareState initGlobals )",94, 79, 8, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"RendererResult { result , canonicalResult , defaultValue , canonicalDefaultValue , didWarn , didError , ssrHasSameBehavior , ssrHasSameBehaviorExceptWarnings , } )",57, 73, 4, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"ColumnHeader { children } )",58, 70, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"initGlobals attribute , type )",36, 83, 6, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"*global*",1016, 92, 8, 0
repos/javascript/react/fixtures/attribute-behavior/src/App.js,"*global*",1016, 92, 8, 0
repos/javascript/react/fixtures/unstable-async/time-slicing/src/index.js,"*global*",155, 76, 6, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/Spinner.js,"Spinner { size = 'small' } )",29, 74, 2, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",64, 68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",64, 68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",64, 68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",64, 68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/ContributorListPage.js,"*global*",64, 68, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/App.js,"*global*",90, 78, 6, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/UserPage.js,"UserPage { id } )",11, 73, 6, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/UserPage.js,"Img { src , alt , ... rest } )",7, 79, 4, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/components/UserPage.js,"Repository { description , name , url } )",18, 55, 8, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"fetchCoreContributorListJSON )",3, 74, 2, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"fetchUserProfileJSON id )",3, 65, 2, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"fetchUserRepositoriesListJSON id )",3, 79, 2, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"setFakeRequestTime val )",3, 42, 0, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"setProgressHandler handler )",3, 46, 0, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"setPauseNewRequests value )",3, 45, 0, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"setPaused url , isPaused )",7, 43, 0, 0
repos/javascript/react/fixtures/unstable-async/suspense/src/api/index.js,"notify )",14, 51, 8, 0
