File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/taro/website/pages/en/index.js,"imgUrl ( img )",3, 44, 2, 0
repos/javascript/taro/website/pages/en/index.js,"docUrl ( doc , language )",3, 80, 2, 0
repos/javascript/taro/website/pages/en/index.js,"pageUrl ( page , language )",3, 77, 2, 0
repos/javascript/taro/packages/postcss-plugin-constparse/index.js,"function ( decl )",7, 67, 8, 0
repos/javascript/taro/packages/postcss-plugin-constparse/index.js,"function ( root )",11, 67, 8, 0
repos/javascript/taro/packages/postcss-plugin-constparse/index.js,"plugin ( opts )",19, 67, 8, 0
repos/javascript/taro/packages/taro-plugin-stylus/index.js,"compileStylus ( content , file , config )",29, 66, 0, 0
repos/javascript/taro/packages/taro-plugin-sass/index.js,"compileSass ( content , file , config )",15, 64, 0, 0
repos/javascript/taro/packages/taro-redux-rn/src/index.js,"connect ( mapStateToProps = null , mapDispatchToProps = null , mergeProps = null , options = { } )",39, 104, 0, 0
repos/javascript/taro/packages/taro-rn/src/native-api.js,"processApis ( taro )",8, 76, 2, 0
repos/javascript/taro/packages/taro-rn/src/native-api.js,"pxTransform ( size )",7, 62, 4, 0
repos/javascript/taro/packages/taro-rn/src/native-api.js,"initNativeApi ( taro )",27, 52, 2, 0
repos/javascript/taro/packages/taro-rn/src/component.js,"getApp ( component )",10, 70, 4, 0
repos/javascript/taro/packages/taro-rn/src/__tests__/interactive.test.js,"function ( )",25, 58, 4, 0
repos/javascript/taro/packages/taro-rn/src/__tests__/interactive.test.js,"function ( )",28, 65, 6, 0
repos/javascript/taro/packages/taro-rn/src/__tests__/interactive.test.js,"function ( )",55, 65, 6, 0
repos/javascript/taro/packages/taro-rn/src/__tests__/interactive.test.js,"function ( )",21, 53, 4, 0
repos/javascript/taro/packages/taro-rn/src/__tests__/interactive.test.js,"function ( )",23, 53, 4, 0
repos/javascript/taro/packages/taro-rn/src/__tests__/interactive.test.js,"function ( )",4, 58, 4, 0
repos/javascript/taro/packages/taro-rn/src/__tests__/interactive.test.js,"function ( )",6, 58, 4, 0
repos/javascript/taro/packages/taro-rn/src/__tests__/interactive.test.js,"function ( )",86, 65, 6, 0
repos/javascript/taro/packages/taro-rn/src/api/webSocket/index.js,"connectSocket ( opts = { } )",44, 100, 6, 0
repos/javascript/taro/packages/taro-rn/src/api/webSocket/index.js,"onSocketOpen ( )",3, 45, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/webSocket/index.js,"onSocketError ( )",3, 46, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/webSocket/index.js,"sendSocketMessage ( )",3, 43, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/webSocket/index.js,"onSocketMessage ( )",3, 48, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/webSocket/index.js,"closeSocket ( )",3, 44, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/webSocket/index.js,"onSocketClose ( )",3, 46, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/WxModal/index.js,"onConfirm ( )",7, 55, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxModal/index.js,"onCancel ( )",6, 49, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxModal/index.js,"showModal ( obj )",57, 55, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/file/index.js,"downloadFile ( opts )",63, 77, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxPreviewImage/index.js,"onSwipeDown ( )",4, 33, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxPreviewImage/index.js,"onSuccess ( )",6, 44, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxPreviewImage/index.js,"onFail ( e )",5, 40, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxPreviewImage/index.js,"previewImage ( obj )",51, 45, 10, 0
repos/javascript/taro/packages/taro-rn/src/api/StyleSheet/index.js,"create ( styles )",19, 49, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/web/index.js,"openUrl ( opts = { } )",19, 64, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxActionSheet/index.js,"onSuccess ( tapIndex )",6, 67, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxActionSheet/index.js,"onFail ( )",7, 56, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/WxActionSheet/index.js,"showActionSheet ( obj )",79, 67, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/others/index.js,"arrayBufferToBase64 ( arrayBuffer )",3, 52, 0, 0
repos/javascript/taro/packages/taro-rn/src/api/others/index.js,"base64ToArrayBuffer ( base64 )",3, 47, 0, 0
repos/javascript/taro/packages/taro-rn/src/api/utils/index.js,"askAsyncPermissions ( PermissionsType )",4, 65, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/storage/index.js,"] ( )",3, 69, 6, 0
repos/javascript/taro/packages/taro-rn/src/api/storage/index.js,"generateUnSupportApi ( errText , fnNames )",9, 69, 6, 0
repos/javascript/taro/packages/taro-rn/src/api/storage/index.js,"setStorage ( opts = { } )",20, 54, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/storage/index.js,"getStorage ( opts = { } )",21, 48, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/storage/index.js,"getStorageInfo ( opts = { } )",23, 46, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/storage/index.js,"removeStorage ( opts = { } )",20, 48, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/storage/index.js,"clearStorage ( )",3, 40, 0, 0
repos/javascript/taro/packages/taro-rn/src/api/system/index.js,"getSystemInfo ( opts = { } )",16, 44, 0, 0
repos/javascript/taro/packages/taro-rn/src/api/system/index.js,"getSystemInfoSync ( )",31, 106, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/system/index.js,"canIUse ( )",3, 29, 0, 0
repos/javascript/taro/packages/taro-rn/src/api/WxToast/index.js,"showToast ( obj )",37, 127, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/WxToast/index.js,"showLoading ( obj )",12, 62, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/WxToast/index.js,"hideToast ( )",4, 71, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/geolocation/index.js,"getLocation ( opts = { } )",44, 99, 6, 0
repos/javascript/taro/packages/taro-rn/src/api/request/index.js,"serializeParams ( params )",7, 93, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/request/index.js,"generateRequestUrlWithParams ( url , params )",6, 73, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/request/index.js,"request ( options )",59, 111, 6, 0
repos/javascript/taro/packages/taro-rn/src/api/device/phone.js,"makePhoneCall ( opts = { } )",20, 76, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/device/clipboard.js,"setClipboardData ( opts = { } )",19, 90, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/device/clipboard.js,"getClipboardData ( opts = { } )",19, 48, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/device/vibrate.js,"vibrate ( DURATION , API )",13, 44, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/device/vibrate.js,"vibrateShort ( )",3, 37, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/device/vibrate.js,"vibrateLong ( )",3, 37, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/device/accelerometer.js,"onAccelerometerChange ( fnc )",3, 39, 0, 0
repos/javascript/taro/packages/taro-rn/src/api/device/accelerometer.js,"startAccelerometer ( object )",13, 67, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/device/accelerometer.js,"stopAccelerometer ( object )",12, 45, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/device/network.js,"getNetworkType ( opts = { } )",26, 55, 8, 0
repos/javascript/taro/packages/taro-rn/src/api/device/network.js,"changeCallback ( connectionInfo )",13, 56, 4, 0
repos/javascript/taro/packages/taro-rn/src/api/device/network.js,"onNetworkStatusChange ( callback )",17, 63, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/device/deviceMotion.js,"onDeviceMotionChange ( fnc )",3, 38, 0, 0
repos/javascript/taro/packages/taro-rn/src/api/device/deviceMotion.js,"startDeviceMotionListening ( object = { } )",16, 89, 2, 0
repos/javascript/taro/packages/taro-rn/src/api/device/deviceMotion.js,"stopDeviceMotionListening ( object = { } )",12, 51, 0, 0
repos/javascript/taro/packages/taro-rn/src/api/media/index.js,"chooseImage ( opts )",3, 37, 0, 0
