File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
github/python/PySyft/setup.py,"read( fname )", 2, 71, 4, 0
github/python/PySyft/setup.py,"my_test_suite( )", 4, 67, 4, 0
github/python/PySyft/examples/other/experimental/kerasTensorflow/keras_distributed_classifier.py,"before_run( self , run_context )", 2, 56, 12, 0
github/python/PySyft/examples/other/experimental/kerasTensorflow/keras_distributed_classifier.py,"after_run( self , run_context , run_values )", 4, 58, 16, 0
github/python/PySyft/examples/other/experimental/kerasTensorflow/keras_federated_classifier.py,"before_run( self , run_context )", 2, 56, 12, 0
github/python/PySyft/examples/other/experimental/kerasTensorflow/keras_federated_classifier.py,"after_run( self , run_context , run_values )", 4, 58, 16, 0
github/python/PySyft/syft/core/profiling.py,"save_send_msg_stats( prof , * args , ** kwargs )", 24, 70, 4, 0
github/python/PySyft/syft/core/profiling.py,"profile.profile.decorator.wrapper( * args , ** kwargs )", 7, 58, 12, 0
github/python/PySyft/syft/core/profiling.py,"profile.decorator( mthd )", 11, 58, 12, 0
github/python/PySyft/syft/core/profiling.py,"profile( profile_processing_fun )", 25, 74, 6, 0
github/python/PySyft/syft/core/utils.py,"is_in_place_method( attr : str )", 12, 67, 8, 0
github/python/PySyft/syft/core/utils.py,"map_tuple( hook , args : Tuple [ Any , ... ] , func : Callable )", 5, 79, 0, 0
github/python/PySyft/syft/core/utils.py,"map_dict( hook , kwargs : Dict [ str , Any ] , func : Callable )", 5, 78, 0, 0
github/python/PySyft/syft/core/utils.py,"pass_method_args.pass_args( * args : Tuple [ Any , ... ] , ** kwargs : Dict [ str , Any ] )", 2, 69, 4, 0
github/python/PySyft/syft/core/utils.py,"pass_method_args( method : Callable )", 8, 69, 4, 0
github/python/PySyft/syft/core/utils.py,"pass_func_args.pass_args( * args : Tuple [ Any , ... ] , ** kwargs : Dict [ str , Any ] )", 11, 85, 8, 0
github/python/PySyft/syft/core/utils.py,"pass_func_args( func : Callable )", 17, 85, 8, 0
github/python/PySyft/syft/core/frameworks/encode.py,"get_serialized_key( obj )", 7, 61, 8, 0
github/python/PySyft/syft/core/frameworks/encode.py,"get_deserialized_key( ser_type_name )", 11, 82, 12, 0
github/python/PySyft/syft/core/frameworks/encode.py,"encode( message , retrieve_pointers = False , private_local = True )", 15, 87, 4, 0
github/python/PySyft/syft/core/frameworks/encode.py,"__init__( self )", 5, 56, 8, 0
github/python/PySyft/syft/core/frameworks/encode.py,"encode( self , obj , retrieve_pointers = False , private_local = True )", 23, 80, 8, 0
github/python/PySyft/syft/core/frameworks/encode.py,"python_encode( self , obj , private_local )", 53, 86, 12, 0
github/python/PySyft/syft/core/frameworks/encode.py,"decode( message , worker , acquire = None , message_is_dict = False )", 52, 85, 4, 0
github/python/PySyft/syft/core/frameworks/encode.py,"__init__( self , worker , acquire = False )", 4, 53, 8, 0
github/python/PySyft/syft/core/frameworks/encode.py,"python_decode( self , dct )", 89, 89, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"__new__( cls , input_array , id = None , owner = None )", 9, 60, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"init( self , input_array , id , owner )", 22, 66, 12, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"__array_finalize__( self , obj )", 5, 56, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"handle_call( cls , command , owner )", 17, 64, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"is_overloaded_method( cls , attr )", 12, 85, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"is_overloaded_function( cls , attr )", 5, 79, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"ser( self , private = True , to_json = False )", 15, 72, 12, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"send( self , worker , ptr_id = None )", 14, 85, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"create_pointer( self , id , location , id_at_location )", 9, 60, 4, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"torch( self )", 2, 39, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"__new__( cls , _ , id = None , owner = None , location = None , id_at_location = None )", 12, 82, 4, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"__str__( self )", 2, 36, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"__repr__( self )", 2, 36, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"get( self , deregister_ptr = True )", 17, 78, 8, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"ser( self , private = True , to_json = False )", 17, 56, 12, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"torch( self )", 8, 71, 12, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"__array_ufunc__( self , ufunc , method , * args , ** kwargs )", 10, 80, 12, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"get_array_ptr_override_method.method( self , * args , ** kwargs )", 8, 79, 12, 0
github/python/PySyft/syft/core/frameworks/numpy/ndarray.py,"get_array_ptr_override_method( attr )", 11, 79, 12, 0
github/python/PySyft/syft/core/frameworks/pandas/utils.py,"__init__( self )", 2, 24, 4, 0
github/python/PySyft/syft/core/frameworks/pandas/utils.py,"serialise( self , pandas_obj )", 45, 87, 8, 0
