File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/SharPyShell/SharPyShell.py,"create_generate_parser( subparsers )",53, 108, 8, 0
repos/python/SharPyShell/SharPyShell.py,"create_interact_parser( subparsers )",73, 160, 8, 0
repos/python/SharPyShell/core/Generate.py,"__init__( self , password , encryption , obfuscator , endian_type , output )",10, 79, 4, 0
repos/python/SharPyShell/core/Generate.py,"__get_template_code( self )",12, 80, 8, 0
repos/python/SharPyShell/core/Generate.py,"__generate_webshell_code_encrypted_dll.xor_file( path , key )",6, 93, 12, 0
repos/python/SharPyShell/core/Generate.py,"__generate_webshell_code_encrypted_dll.generate_byte_file_string( byte_arr )",3, 59, 12, 0
repos/python/SharPyShell/core/Generate.py,"__generate_webshell_code_encrypted_dll( self , template_code )",22, 108, 8, 0
repos/python/SharPyShell/core/Generate.py,"__generate_webshell_code_ulong_compression.get_dll_code( dll_code_path )",4, 58, 12, 0
repos/python/SharPyShell/core/Generate.py,"__generate_webshell_code_ulong_compression.get_ulong_arrays( dll_code , divisor , endian_type )",16, 84, 16, 0
repos/python/SharPyShell/core/Generate.py,"__generate_webshell_code_ulong_compression( self , template_code )",35, 106, 8, 0
repos/python/SharPyShell/core/Generate.py,"generate( self )",13, 102, 12, 0
repos/python/SharPyShell/core/Request.py,"__parse_custom_header( self , custom_header )",5, 64, 8, 0
repos/python/SharPyShell/core/Request.py,"__init__( self , url , user_agent , cookies_string = False , custom_header = False , insecure_ssl = 'false' , proxy = False )",21, 119, 4, 0
repos/python/SharPyShell/core/Request.py,"send_request( self , request )",12, 90, 57, 0
repos/python/SharPyShell/core/ChannelAES.py,"__init__( self , password )",3, 54, 8, 0
repos/python/SharPyShell/core/ChannelAES.py,"encrypt( self , plain_data )",6, 91, 8, 0
repos/python/SharPyShell/core/ChannelAES.py,"decrypt( self , encrypted_data )",5, 67, 8, 0
repos/python/SharPyShell/core/ChannelXOR.py,"__init__( self , password )",2, 49, 8, 0
repos/python/SharPyShell/core/ChannelXOR.py,"encrypt( self , plain_data )",5, 89, 8, 0
repos/python/SharPyShell/core/ChannelXOR.py,"decrypt( self , encrypted_data )",2, 43, 8, 0
repos/python/SharPyShell/core/Environment.py,"_create_request( self , args )",2, 37, 4, 0
repos/python/SharPyShell/core/Environment.py,"_create_request( self , args )",6, 80, 12, 0
repos/python/SharPyShell/core/Environment.py,"_create_request( self , args )",8, 66, 8, 0
repos/python/SharPyShell/core/Environment.py,"__init__( self , password , channel_enc_mode , request_object )",5, 94, 8, 0
repos/python/SharPyShell/core/Environment.py,"__get_temp_dir( self )",7, 58, 8, 0
repos/python/SharPyShell/core/Environment.py,"make_env( self , random_name_dir )",13, 64, 8, 0
