File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"non( p )",4, 41, 4, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"contain( p , q )",3, 68, 4, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"isConn( p )",2, 21, 4, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"in2pre.matchParentheses( i = 0 , reverse = False )",14, 69, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"in2pre( s )",30, 77, 4, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"__init__( self , preOrderLst )",5, 66, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"__eq__( self , x )",2, 75, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"isValid( self )",2, 50, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"isNonType( self )",3, 43, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"validSub.w( sym )",2, 55, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"validSub( self , s = None , begin = 0 , end = None )",20, 71, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"getPairs( self )",11, 83, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"p2q( self , fm = None )",14, 70, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"getContNonNum( self , s = None , i = 0 )",11, 69, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"pre2in.addParentheses( li )",2, 61, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"pre2in( self , li , begin = 0 )",33, 83, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"__init__( self )",2, 24, 4, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"l1( self , p , q )",3, 39, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"l2( self , p , q , r )",5, 49, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"l3( self , p , q )",5, 38, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"genFormula( self , s : str )",8, 64, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"addL1( self , i , p , q , tmp_mp )",8, 53, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"addMP( self , i , p , q , tmp_mp )",15, 54, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"addTheo._iterLst( li , f )",10, 38, 16, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"addTheo( self , li , mp )",21, 73, 8, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"mpDeduce.getIdx( x )",11, 91, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"mpDeduce._mpDeduce( x )",26, 64, 24, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"mpDeduce( self , formulas , x , mp = None )",50, 91, 12, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"nonDeduce( self , formulas , x , mp = None )",24, 101, 16, 0
repos/python/USTC-Course/数理逻辑/codes/mbinary/system_L.py,"prove( self , formulas , x )",34, 93, 12, 0
