File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
github/python/bert/create_pretraining_data.py,"__init__( self , tokens , segment_ids , masked_lm_positions , masked_lm_labels , is_random_next )", 2, 81, 2, 0
github/python/bert/create_pretraining_data.py,"__str__( self )", 12, 78, 4, 0
github/python/bert/create_pretraining_data.py,"__repr__( self )", 2, 26, 4, 0
github/python/bert/create_pretraining_data.py,"write_instance_to_example_files( instances , tokenizer , max_seq_length , max_predictions_per_seq , output_files )", 2, 76, 36, 0
github/python/bert/create_pretraining_data.py,"create_int_feature( values )", 3, 80, 2, 0
github/python/bert/create_pretraining_data.py,"create_float_feature( values )", 3, 80, 2, 0
github/python/bert/create_pretraining_data.py,"create_training_instances( input_files , tokenizer , max_seq_length , dupe_factor , short_seq_prob , masked_lm_prob , max_predictions_per_seq , rng )", 3, 75, 30, 0
github/python/bert/create_pretraining_data.py,"create_instances_from_document( all_documents , document_index , max_seq_length , short_seq_prob , masked_lm_prob , max_predictions_per_seq , vocab_words , rng )", 3, 67, 4, 0
github/python/bert/create_pretraining_data.py,"create_masked_lm_predictions( tokens , masked_lm_prob , max_predictions_per_seq , vocab_words , rng )", 2, 77, 33, 0
github/python/bert/create_pretraining_data.py,"truncate_seq_pair( tokens_a , tokens_b , max_num_tokens , rng )", 16, 75, 4, 0
github/python/bert/create_pretraining_data.py,"main( _ )", 27, 81, 6, 0
github/python/bert/extract_features.py,"__init__( self , unique_id , text_a , text_b )", 4, 49, 2, 0
github/python/bert/extract_features.py,"__init__( self , unique_id , tokens , input_ids , input_mask , input_type_ids )", 6, 80, 2, 0
github/python/bert/extract_features.py,"input_fn_builder.input_fn( params )", 30, 79, 12, 0
github/python/bert/extract_features.py,"input_fn_builder( features , seq_length )", 46, 79, 12, 0
github/python/bert/extract_features.py,"model_fn_builder( bert_config , init_checkpoint , layer_indexes , use_tpu , use_one_hot_embeddings )", 2, 75, 0, 0
github/python/bert/extract_features.py,"model_fn.tpu_scaffold( )", 3, 71, 8, 0
github/python/bert/extract_features.py,"model_fn( features , labels , mode , params )", 54, 83, 2, 0
github/python/bert/extract_features.py,"convert_examples_to_features( examples , seq_length , tokenizer )", 90, 81, 6, 0
github/python/bert/extract_features.py,"_truncate_seq_pair( tokens_a , tokens_b , max_length )", 15, 80, 2, 0
github/python/bert/extract_features.py,"read_examples( input_file )", 22, 75, 10, 0
github/python/bert/extract_features.py,"main( _ )", 68, 79, 6, 0
