File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/django/setup.py,"read( fname )",3, 24, 4, 0
repos/python/django/tests/runtests.py,"get_test_modules( )",17, 19, 5, 0
repos/python/django/tests/runtests.py,"get_installed( )",2, 70, 4, 0
repos/python/django/tests/runtests.py,"setup.no_available_apps( self )",3, 47, 8, 0
repos/python/django/tests/runtests.py,"setup( verbosity , test_labels , parallel )",116, 17, 4, 0
repos/python/django/tests/runtests.py,"teardown( state )",10, 45, 4, 0
repos/python/django/tests/runtests.py,"actual_test_processes( parallel )",9, 24, 8, 0
repos/python/django/tests/runtests.py,"__call__( self , parser , namespace , values , option_string = None )",8, 48, 8, 0
repos/python/django/tests/runtests.py,"django_tests( verbosity , interactive , failfast , keepdb , reverse , test_labels , debug_sql , parallel , tags , exclude_tags )",2, 72, 17, 0
repos/python/django/tests/runtests.py,"get_subprocess_args( options )",15, 27, 4, 0
repos/python/django/tests/runtests.py,"bisect_tests( bisection_label , options , test_labels , parallel )",49, 20, 4, 0
repos/python/django/tests/runtests.py,"paired_tests( paired_test , options , test_labels , parallel )",27, 20, 4, 0
repos/python/django/tests/known_related_objects/tests.py,"setUpTestData( cls )",10, 80, 8, 0
repos/python/django/tests/known_related_objects/tests.py,"test_foreign_key( self )",5, 55, 12, 0
repos/python/django/tests/known_related_objects/tests.py,"test_foreign_key_prefetch_related( self )",5, 55, 12, 0
repos/python/django/tests/known_related_objects/tests.py,"test_foreign_key_multiple_prefetch( self )",7, 60, 12, 0
repos/python/django/tests/known_related_objects/tests.py,"test_queryset_or( self )",7, 76, 12, 0
repos/python/django/tests/known_related_objects/tests.py,"test_queryset_or_different_cached_items( self )",8, 54, 12, 0
repos/python/django/tests/known_related_objects/tests.py,"test_queryset_or_only_one_with_precache( self )",13, 76, 12, 0
repos/python/django/tests/known_related_objects/tests.py,"test_queryset_and( self )",8, 54, 12, 0
repos/python/django/tests/known_related_objects/tests.py,"test_one_to_one( self )",5, 49, 12, 0
repos/python/django/tests/known_related_objects/tests.py,"test_one_to_one_select_related( self )",5, 49, 12, 0
