File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/geekcomputers-Python/recyclebin.py,"sid2user( sid )",8, 111, 4, 0
repos/python/geekcomputers-Python/recyclebin.py,"returnDir( )",7, 76, 0, 0
repos/python/geekcomputers-Python/recyclebin.py,"findRecycled( recycleDir )",9, 91, 0, 0
repos/python/geekcomputers-Python/recyclebin.py,"main( )",3, 27, 2, 0
repos/python/geekcomputers-Python/Decimal_To_Binary.py,"dtbconverter( num )",26, 104, 4, 0
repos/python/geekcomputers-Python/Guess_the_number_game.py,"new_game( )",3, 22, 4, 0
repos/python/geekcomputers-Python/Guess_the_number_game.py,"range_of_100( )",4, 34, 4, 0
repos/python/geekcomputers-Python/Guess_the_number_game.py,"range_of_1000( )",4, 35, 4, 0
repos/python/geekcomputers-Python/Guess_the_number_game.py,"input_guess( guess )",10, 36, 4, 0
repos/python/geekcomputers-Python/tf_idf_generator.py,"paint( str , color = 'r' )",16, 78, 4, 0
repos/python/geekcomputers-Python/tf_idf_generator.py,"find_tf_idf( file_names = [ './../test/testdata' ] , prev_file_path = None , dump_path = None )",63, 149, 4, 0
repos/python/geekcomputers-Python/script_count.py,"clear_screen( )",5, 68, 0, 0
repos/python/geekcomputers-Python/script_count.py,"count_files( path , extensions )",6, 161, 0, 0
repos/python/geekcomputers-Python/script_count.py,"github( )",11, 123, 2, 0
repos/python/geekcomputers-Python/script_count.py,"development( )",11, 167, 4, 0
repos/python/geekcomputers-Python/spotlight.py,"md5( fname )",8, 61, 8, 0
repos/python/geekcomputers-Python/spotlight.py,"make_folder( folder_name )",10, 69, 8, 0
repos/python/geekcomputers-Python/spotlight.py,"get_spotlight_wallpapers( target_folder )",32, 101, 12, 0
repos/python/geekcomputers-Python/diceV2_dynamic.py,"__init__( self )",2, 27, 8, 0
repos/python/geekcomputers-Python/diceV2_dynamic.py,"setSides( self , sides )",6, 92, 12, 0
repos/python/geekcomputers-Python/diceV2_dynamic.py,"roll( self )",2, 45, 8, 0
repos/python/geekcomputers-Python/diceV2_dynamic.py,"checkInput( sides )",11, 109, 12, 0
repos/python/geekcomputers-Python/diceV2_dynamic.py,"pickNumber( item , question_string , lower_limit )",10, 52, 0, 0
repos/python/geekcomputers-Python/diceV2_dynamic.py,"getDices( )",16, 94, 4, 0
repos/python/geekcomputers-Python/chicks_n_rabs.py,"solve( num_heads , num_legs )",7, 38, 8, 0
repos/python/geekcomputers-Python/dice_rolling_simulator.py,"start( )",6, 73, 4, 0
repos/python/geekcomputers-Python/dice_rolling_simulator.py,"bye( )",2, 79, 4, 0
repos/python/geekcomputers-Python/dice_rolling_simulator.py,"result( )",22, 91, 4, 0
repos/python/geekcomputers-Python/dice_rolling_simulator.py,"dice6( )",6, 63, 4, 0
repos/python/geekcomputers-Python/dice_rolling_simulator.py,"dice8( )",5, 51, 4, 0
repos/python/geekcomputers-Python/dice_rolling_simulator.py,"dice12( )",5, 52, 4, 0
repos/python/geekcomputers-Python/dice_rolling_simulator.py,"user_exit_checker( )",8, 115, 4, 0
repos/python/geekcomputers-Python/multiplication_table.py,"table( rows , columns )",11, 158, 0, 1
repos/python/geekcomputers-Python/merge.py,"merge( )",19, 65, 4, 0
repos/python/geekcomputers-Python/merge.py,"main( )",4, 57, 4, 0
repos/python/geekcomputers-Python/pscheck.py,"ps( )",17, 62, 2, 0
repos/python/geekcomputers-Python/pscheck.py,"main( )",5, 68, 2, 0
repos/python/geekcomputers-Python/batch_file_rename.py,"batch_rename( work_dir , old_ext , new_ext )",20, 81, 8, 0
repos/python/geekcomputers-Python/batch_file_rename.py,"get_parser( )",7, 101, 4, 0
repos/python/geekcomputers-Python/batch_file_rename.py,"main( )",20, 63, 4, 0
repos/python/geekcomputers-Python/kmp_str_search.py,"kmp( pattern , text , len_p = None , len_t = None )",27, 49, 4, 0
repos/python/geekcomputers-Python/site_health.py,"__init__( self , base_url , port , tcp )",9, 48, 8, 0
repos/python/geekcomputers-Python/site_health.py,"obtain_ip( self )",15, 70, 8, 0
repos/python/geekcomputers-Python/site_health.py,"ping_host( self )",9, 80, 8, 0
repos/python/geekcomputers-Python/site_health.py,"obtain_http_info( self )",14, 77, 12, 0
repos/python/geekcomputers-Python/site_health.py,"obtain_cert_info( self )",34, 105, 12, 0
repos/python/geekcomputers-Python/xkcd_downloader.py,"main( )",30, 63, 4, 0
repos/python/geekcomputers-Python/wiki_random.py,"load( )",21, 102, 12, 0
repos/python/geekcomputers-Python/powerup_checks.py,"windows( )",9, 152, 8, 0
repos/python/geekcomputers-Python/powerup_checks.py,"linux( )",8, 149, 8, 0
repos/python/geekcomputers-Python/powerup_checks.py,"get_servers( query )",13, 106, 2, 0
repos/python/geekcomputers-Python/powerup_checks.py,"main( )",27, 125, 2, 0
repos/python/geekcomputers-Python/tweeter.py,"getStatus( )",10, 31, 12, 0
repos/python/geekcomputers-Python/tweeter.py,"tweetthis( type )",21, 44, 0, 3
repos/python/geekcomputers-Python/tweeter.py,"initialize( )",12, 36, 0, 1
repos/python/geekcomputers-Python/tweeter.py,"main( )",10, 46, 0, 1
repos/python/geekcomputers-Python/tar.py,"uncompress( src_file , dest_dir )",59, 65, 12, 0
repos/python/geekcomputers-Python/Binary Coefficients.py,"pascal_triangle( lineNumber )",16, 52, 12, 0
repos/python/geekcomputers-Python/Binary Coefficients.py,"binomial_coef( n , k )",3, 38, 4, 0
repos/python/geekcomputers-Python/meme_maker.py,"input_par( )",9, 55, 4, 0
repos/python/geekcomputers-Python/meme_maker.py,"main( )",33, 94, 4, 0
repos/python/geekcomputers-Python/WikipediaModule.py,"wiki( )",34, 70, 8, 0
repos/python/geekcomputers-Python/WikipediaModule.py,"fullPage( page )",3, 44, 4, 0
repos/python/geekcomputers-Python/WikipediaModule.py,"randomWiki( )",34, 66, 4, 0
repos/python/geekcomputers-Python/Merge-sort.py,"merge_sort( L )",41, 42, 8, 0
repos/python/geekcomputers-Python/chaos.py,"main( )",16, 67, 12, 0
repos/python/geekcomputers-Python/password_cracker.py,"testPass( cryptPass )",11, 75, 4, 0
repos/python/geekcomputers-Python/password_cracker.py,"main( )",8, 76, 6, 0
repos/python/geekcomputers-Python/tik_tak.py,"print_board( )",13, 54, 4, 0
repos/python/geekcomputers-Python/tik_tak.py,"enter_number( p1_sign , p2_sign )",52, 73, 28, 0
repos/python/geekcomputers-Python/tik_tak.py,"checkwin( )",28, 39, 4, 0
repos/python/geekcomputers-Python/tik_tak.py,"play( )",6, 59, 4, 0
repos/python/geekcomputers-Python/testlines.py,"write_to_file( filename , txt )",3, 43, 2, 0
repos/python/geekcomputers-Python/thread_signal.py,"__init__( self , event )",3, 40, 8, 0
repos/python/geekcomputers-Python/thread_signal.py,"run( self )",7, 36, 12, 0
repos/python/geekcomputers-Python/thread_signal.py,"handler_thread( event )",3, 29, 4, 0
repos/python/geekcomputers-Python/thread_signal.py,"handler( signum , frame )",2, 45, 4, 0
repos/python/geekcomputers-Python/EncryptionTool.py,"encryptChar( target )",4, 43, 4, 0
repos/python/geekcomputers-Python/EncryptionTool.py,"decryptChar( target )",3, 43, 4, 0
repos/python/geekcomputers-Python/EncryptionTool.py,"encrypt( input_text )",7, 39, 8, 0
repos/python/geekcomputers-Python/EncryptionTool.py,"decrypt( enc_text )",7, 48, 8, 0
repos/python/geekcomputers-Python/EncryptionTool.py,"readAndDecrypt( filename )",15, 52, 8, 0
repos/python/geekcomputers-Python/EncryptionTool.py,"readAndEncrypt( filename )",12, 39, 8, 0
repos/python/geekcomputers-Python/EncryptionTool.py,"readAndEncryptAndSave( inp_file , out_file )",6, 47, 0, 0
repos/python/geekcomputers-Python/EncryptionTool.py,"readAndDecryptAndSave( inp_file , out_file )",6, 47, 0, 0
repos/python/geekcomputers-Python/sha1.py,"__init__( self , data )",9, 93, 8, 0
repos/python/geekcomputers-Python/sha1.py,"rotate( n , b )",5, 76, 8, 0
repos/python/geekcomputers-Python/sha1.py,"padding( self )",7, 87, 8, 0
repos/python/geekcomputers-Python/sha1.py,"split_blocks( self )",5, 87, 8, 0
repos/python/geekcomputers-Python/sha1.py,"expand_block( self , block )",9, 94, 8, 0
repos/python/geekcomputers-Python/sha1.py,"final_hash( self )",35, 97, 16, 0
repos/python/geekcomputers-Python/sha1.py,"testMatchHashes( self )",3, 84, 8, 0
repos/python/geekcomputers-Python/sha1.py,"main( )",20, 90, 4, 0
repos/python/geekcomputers-Python/ex20.py,"print_all( f )",3, 18, 0, 0
repos/python/geekcomputers-Python/ex20.py,"rewind( f )",2, 15, 0, 0
repos/python/geekcomputers-Python/ex20.py,"print_a_line( line_count , f )",3, 33, 0, 0
repos/python/geekcomputers-Python/nmap_scan.py,"nmapScan( tgtHost , tgtPort )",5, 95, 0, 0
repos/python/geekcomputers-Python/nmap_scan.py,"main( )",14, 108, 2, 0
repos/python/geekcomputers-Python/portscanner.py,"connScan( tgtHost , tgtPort )",15, 57, 0, 0
repos/python/geekcomputers-Python/portscanner.py,"portScan( tgtHost , tgtPorts )",15, 64, 0, 2
repos/python/geekcomputers-Python/portscanner.py,"main( )",11, 107, 0, 1
repos/python/geekcomputers-Python/four_digit_num_combination.py,"four_digit_combinations( )",7, 52, 4, 0
repos/python/geekcomputers-Python/four_digit_num_combination.py,"one_line_combinations( )",4, 54, 4, 0
repos/python/geekcomputers-Python/TTS.py,"text2Speech( )",4, 40, 1, 0
repos/python/geekcomputers-Python/two_num.py,"twoSum( nums , target )",11, 46, 12, 0
repos/python/geekcomputers-Python/Blackjack Game.py,"__init__( self , suit , rank )",8, 48, 8, 0
repos/python/geekcomputers-Python/Blackjack Game.py,"__str__( self )",2, 37, 8, 0
repos/python/geekcomputers-Python/Blackjack Game.py,"get_suit( self )",2, 25, 8, 0
repos/python/geekcomputers-Python/Blackjack Game.py,"get_rank( self )",2, 25, 8, 0
repos/python/geekcomputers-Python/Blackjack Game.py,"draw( self , canvas , pos )",4, 123, 8, 0
repos/python/geekcomputers-Python/Blackjack Game.py,"string_list_join( string , string_list )",5, 42, 0, 0
repos/python/geekcomputers-Python/Blackjack Game.py,"__init__( self )",2, 24, 4, 0
