File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/python/httpie/setup.py,"finalize_options( self )",46, 12, 0
repos/python/httpie/setup.py,"run_tests( self )",46, 8, 0
repos/python/httpie/setup.py,"long_description( )",58, 4, 0
repos/python/httpie/extras/get-homebrew-formula-vars.py,"get_package_meta( package_name )",74, 4, 0
repos/python/httpie/extras/get-homebrew-formula-vars.py,"main( )",73, 8, 0
repos/python/httpie/tests/test_regressions.py,"test_Host_header_overwrite( httpbin )",57, 4, 0
repos/python/httpie/tests/test_regressions.py,"test_output_devnull( httpbin )",55, 4, 0
repos/python/httpie/tests/test_cli.py,"test_invalid_items( self )",76, 12, 0
repos/python/httpie/tests/test_cli.py,"test_escape_separator( self )",62, 8, 0
repos/python/httpie/tests/test_cli.py,"test_backslash_before_non_special_character_does_not_escape( self , string , key , sep , value )",69, 4, 0
repos/python/httpie/tests/test_cli.py,"test_escape_longsep( self )",47, 8, 0
repos/python/httpie/tests/test_cli.py,"test_valid_items( self )",72, 8, 0
repos/python/httpie/tests/test_cli.py,"test_multiple_file_fields_with_same_field_name( self )",62, 4, 0
repos/python/httpie/tests/test_cli.py,"test_multiple_text_fields_with_same_field_name( self )",62, 4, 0
repos/python/httpie/tests/test_cli.py,"test_query_string_params_in_url( self , httpbin )",69, 8, 0
repos/python/httpie/tests/test_cli.py,"test_query_string_params_items( self , httpbin )",69, 8, 0
repos/python/httpie/tests/test_cli.py,"test_query_string_params_in_url_and_items_with_duplicates( self , httpbin )",76, 66, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand( self )",68, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_slash( self )",69, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_port( self )",72, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_path( self )",73, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_port_and_slash( self )",73, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_port_and_path( self )",77, 8, 0
repos/python/httpie/tests/test_cli.py,"test_dont_expand_shorthand_ipv6_as_shorthand( self )",70, 8, 0
repos/python/httpie/tests/test_cli.py,"test_dont_expand_longer_ipv6_as_shorthand( self )",57, 4, 0
repos/python/httpie/tests/test_cli.py,"test_dont_expand_full_ipv6_as_shorthand( self )",76, 8, 0
repos/python/httpie/tests/test_cli.py,"setup_method( self , method )",51, 8, 0
repos/python/httpie/tests/test_cli.py,"test_guess_when_method_set_and_valid( self )",61, 8, 0
repos/python/httpie/tests/test_cli.py,"test_guess_when_method_not_set( self )",61, 8, 0
repos/python/httpie/tests/test_cli.py,"test_guess_when_method_set_but_invalid_and_data_field( self )",69, 4, 0
repos/python/httpie/tests/test_cli.py,"test_guess_when_method_set_but_invalid_and_header_field( self )",71, 4, 0
repos/python/httpie/tests/test_cli.py,"test_guess_when_method_set_but_invalid_and_item_exists( self )",77, 12, 0
repos/python/httpie/tests/test_cli.py,"test_valid_no_options( self , httpbin )",75, 8, 0
repos/python/httpie/tests/test_cli.py,"test_invalid_no_options( self , httpbin )",62, 8, 0
repos/python/httpie/tests/test_cli.py,"test_ignore_stdin( self , httpbin )",74, 12, 0
repos/python/httpie/tests/test_cli.py,"test_ignore_stdin_cannot_prompt_password( self , httpbin )",79, 8, 0
repos/python/httpie/tests/test_cli.py,"test_invalid_custom_scheme( self )",51, 8, 0
repos/python/httpie/tests/test_cli.py,"test_invalid_scheme_via_via_default_scheme( self )",60, 12, 0
repos/python/httpie/tests/test_cli.py,"test_default_scheme( self , httpbin_secure )",73, 8, 0
repos/python/httpie/tests/test_auth_plugins.py,"basic_auth.inner( r )",44, 8, 0
repos/python/httpie/tests/test_auth_plugins.py,"basic_auth( header = BASIC_AUTH_HEADER_VALUE )",48, 0, 0
repos/python/httpie/tests/test_auth_plugins.py,"test_auth_plugin_parse_auth_false.get_auth( self , username = None , password = None )",60, 12, 0
repos/python/httpie/tests/test_auth_plugins.py,"test_auth_plugin_parse_auth_false( httpbin )",60, 12, 0
repos/python/httpie/tests/test_auth_plugins.py,"test_auth_plugin_require_auth_false.get_auth( self , username = None , password = None )",58, 8, 0
repos/python/httpie/tests/test_auth_plugins.py,"test_auth_plugin_require_auth_false( httpbin )",58, 8, 0
repos/python/httpie/tests/test_auth_plugins.py,"test_auth_plugin_require_auth_false_and_auth_provided.get_auth( self , username = None , password = None )",74, 12, 0
repos/python/httpie/tests/test_auth_plugins.py,"test_auth_plugin_require_auth_false_and_auth_provided( httpbin )",74, 12, 0
repos/python/httpie/tests/test_auth_plugins.py,"test_auth_plugin_prompt_password_false.get_auth( self , username = None , password = None )",58, 8, 0
repos/python/httpie/tests/test_auth_plugins.py,"test_auth_plugin_prompt_password_false( httpbin )",58, 8, 0
repos/python/httpie/tests/test_httpie.py,"test_debug( )",56, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_help( )",65, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_version( )",62, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_GET( httpbin_both )",43, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_DELETE( httpbin_both )",49, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_PUT( httpbin_both )",54, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_POST_JSON_data( httpbin_both )",56, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_POST_form( httpbin_both )",66, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_POST_form_multiple_values( httpbin_both )",77, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_POST_stdin( httpbin_both )",68, 8, 0
repos/python/httpie/tests/test_httpie.py,"test_headers( httpbin_both )",58, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_headers_unset( httpbin_both )",70, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_unset_host_header( httpbin_both )",66, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_headers_empty_value( httpbin_both )",69, 4, 0
repos/python/httpie/tests/test_httpie.py,"test_headers_empty_value_with_value_gives_error( httpbin )",65, 8, 0
repos/python/httpie/tests/test_httpie.py,"test_json_input_preserve_order( httpbin_both )",60, 8, 0
repos/python/httpie/tests/test_windows.py,"test_windows_colorized_output( self , httpbin )",54, 4, 0
repos/python/httpie/tests/test_windows.py,"test_output_file_pretty_not_allowed_on_windows( self , httpbin )",78, 8, 0
repos/python/httpie/tests/test_uploads.py,"test_non_existent_file_raises_parse_error( self , httpbin )",75, 17, 0
repos/python/httpie/tests/test_uploads.py,"test_upload_ok( self , httpbin )",71, 8, 0
repos/python/httpie/tests/test_uploads.py,"test_upload_multiple_fields_with_the_same_name( self , httpbin )",76, 23, 0
repos/python/httpie/tests/test_uploads.py,"test_request_body_from_file_by_path( self , httpbin )",69, 17, 0
repos/python/httpie/tests/test_uploads.py,"test_request_body_from_file_by_path_with_explicit_content_type( self , httpbin )",72, 4, 0
repos/python/httpie/tests/test_uploads.py,"test_request_body_from_file_by_path_no_field_name_allowed( self , httpbin )",67, 4, 0
repos/python/httpie/tests/test_uploads.py,"test_request_body_from_file_by_path_no_data_items_allowed( self , httpbin )",67, 4, 0
repos/python/httpie/tests/test_ssl.py,"test_ssl_version( httpbin_secure , ssl_version )",61, 12, 0
repos/python/httpie/tests/test_ssl.py,"test_cert_and_key( self , httpbin_secure )",49, 4, 0
repos/python/httpie/tests/test_ssl.py,"test_cert_pem( self , httpbin_secure )",45, 4, 0
repos/python/httpie/tests/test_ssl.py,"test_cert_file_not_found( self , httpbin_secure )",56, 4, 0
repos/python/httpie/tests/test_ssl.py,"test_cert_file_invalid( self , httpbin_secure )",54, 4, 0
repos/python/httpie/tests/test_ssl.py,"test_cert_ok_but_missing_key( self , httpbin_secure )",60, 4, 0
repos/python/httpie/tests/test_ssl.py,"test_verify_no_OK( self , httpbin_secure )",61, 8, 0
repos/python/httpie/tests/test_ssl.py,"test_verify_false_OK( self , httpbin_secure , verify_value )",72, 8, 0
repos/python/httpie/tests/test_ssl.py,"test_verify_custom_ca_bundle_path( self , httpbin_secure_untrusted",43, 4, 0
repos/python/httpie/tests/test_ssl.py,"test_self_signed_server_cert_by_default_raises_ssl_error( self , httpbin_secure_untrusted",66, 4, 0
repos/python/httpie/tests/test_ssl.py,"test_verify_custom_ca_bundle_invalid_path( self , httpbin_secure )",76, 12, 0
repos/python/httpie/tests/test_ssl.py,"test_verify_custom_ca_bundle_invalid_bundle( self , httpbin_secure )",75, 4, 0
repos/python/httpie/tests/test_output.py,"test_output_option( httpbin , stdout_isatty )",78, 4, 0
repos/python/httpie/tests/test_output.py,"test_verbose( self , httpbin )",70, 17, 0
repos/python/httpie/tests/test_output.py,"test_verbose_form( self , httpbin )",71, 8, 0
repos/python/httpie/tests/test_output.py,"test_verbose_json( self , httpbin )",70, 17, 0
repos/python/httpie/tests/test_output.py,"test_verbose_implies_all( self , httpbin )",67, 8, 0
repos/python/httpie/tests/test_output.py,"test_get_lexer( self , mime , explicit_json , body , expected_lexer_name )",78, 4, 0
repos/python/httpie/tests/test_output.py,"test_get_lexer_not_found( self )",44, 8, 0
repos/python/httpie/tests/test_output.py,"test_pretty_enabled_by_default( self , httpbin )",55, 4, 0
repos/python/httpie/tests/test_output.py,"test_pretty_enabled_by_default_unless_stdout_redirected( self , httpbin )",80, 4, 0
repos/python/httpie/tests/test_output.py,"test_force_pretty( self , httpbin )",73, 8, 0
repos/python/httpie/tests/test_output.py,"test_force_ugly( self , httpbin )",63, 8, 0
repos/python/httpie/tests/test_output.py,"test_subtype_based_pygments_lexer_match( self , httpbin )",69, 8, 0
repos/python/httpie/tests/test_output.py,"test_colors_option( self , httpbin )",53, 17, 0
repos/python/httpie/tests/test_output.py,"test_format_option( self , httpbin )",53, 17, 0
repos/python/httpie/tests/test_output.py,"_validate_crlf( self , msg )",76, 12, 0
repos/python/httpie/tests/test_output.py,"test_CRLF_headers_only( self , httpbin )",59, 8, 0
repos/python/httpie/tests/test_output.py,"test_CRLF_ugly_response( self , httpbin )",63, 8, 0
repos/python/httpie/tests/test_output.py,"test_CRLF_formatted_response( self , httpbin )",65, 8, 0
repos/python/httpie/tests/test_output.py,"test_CRLF_ugly_request( self , httpbin )",77, 8, 0
repos/python/httpie/tests/test_output.py,"test_CRLF_formatted_request( self , httpbin )",79, 8, 0
repos/python/httpie/tests/test_sessions.py,"start_session( self , httpbin )",66, 8, 0
repos/python/httpie/tests/test_sessions.py,"teardown_method( self , method )",39, 4, 0
repos/python/httpie/tests/test_sessions.py,"env( self )",59, 8, 0
repos/python/httpie/tests/test_sessions.py,"start_session( self , httpbin )",76, 8, 0
repos/python/httpie/tests/test_sessions.py,"test_session_created_and_reused( self , httpbin )",75, 8, 0
repos/python/httpie/tests/test_sessions.py,"test_session_update( self , httpbin )",77, 8, 0
repos/python/httpie/tests/test_sessions.py,"test_session_read_only( self , httpbin )",77, 18, 0
repos/python/httpie/tests/test_sessions.py,"test_session_ignored_header_prefixes( self , httpbin )",72, 18, 0
repos/python/httpie/tests/test_sessions.py,"test_session_by_path( self , httpbin )",77, 8, 0
repos/python/httpie/tests/test_sessions.py,"test_session_unicode( self , httpbin )",69, 18, 0
repos/python/httpie/tests/test_sessions.py,"test_session_default_header_value_overwritten( self , httpbin )",78, 8, 0
repos/python/httpie/tests/test_sessions.py,"test_download_in_session( self , httpbin )",61, 8, 0
repos/python/httpie/tests/test_redirects.py,"test_follow_all_redirects_shown( httpbin )",63, 4, 0
repos/python/httpie/tests/test_redirects.py,"test_follow_without_all_redirects_hidden( httpbin , follow_flag )",68, 0, 0
repos/python/httpie/tests/test_redirects.py,"test_follow_all_output_options_used_for_redirects( httpbin )",64, 0, 0
repos/python/httpie/tests/test_redirects.py,"test_follow_redirect_output_options( httpbin )",50, 0, 0
repos/python/httpie/tests/test_redirects.py,"test_max_redirects( httpbin )",75, 4, 0
repos/python/httpie/tests/conftest.py,"httpbin_add_ca_bundle( monkeypatch )",60, 4, 0
repos/python/httpie/tests/conftest.py,"httpbin_secure_untrusted( monkeypatch , httpbin_secure )",59, 0, 0
repos/python/httpie/tests/test_errors.py,"test_error.error( msg , * args , ** kwargs )",37, 4, 0
repos/python/httpie/tests/test_errors.py,"test_error( get_response )",77, 4, 0
repos/python/httpie/tests/test_errors.py,"test_error_traceback( get_response )",69, 4, 0
repos/python/httpie/tests/test_errors.py,"test_timeout.error( msg , * args , ** kwargs )",37, 4, 0
repos/python/httpie/tests/test_errors.py,"test_timeout( get_response )",77, 4, 0
repos/python/httpie/tests/test_docs.py,"has_docutils( )",46, 8, 0
repos/python/httpie/tests/test_docs.py,"rst_filenames( )",75, 4, 0
repos/python/httpie/tests/test_docs.py,"test_rst_file_syntax( filename )",73, 8, 0
repos/python/httpie/tests/test_exit_status.py,"test_keyboard_interrupt_during_arg_parsing_exit_status( httpbin )",69, 0, 0
repos/python/httpie/tests/test_exit_status.py,"test_keyboard_interrupt_in_program_exit_status( httpbin )",66, 8, 0
repos/python/httpie/tests/test_exit_status.py,"test_ok_response_exits_0( httpbin )",47, 4, 0
repos/python/httpie/tests/test_exit_status.py,"test_error_response_exits_0_without_check_status( httpbin )",63, 0, 0
repos/python/httpie/tests/test_exit_status.py,"test_timeout_exit_status( httpbin )",66, 4, 0
repos/python/httpie/tests/test_exit_status.py,"test_3xx_check_status_exits_3_and_stderr_when_stdout_redirected( httpbin )",69, 0, 0
repos/python/httpie/tests/test_exit_status.py,"test_3xx_check_status_redirects_allowed_exits_0( httpbin )",62, 0, 0
repos/python/httpie/tests/test_exit_status.py,"test_4xx_check_status_exits_4( httpbin )",67, 4, 0
repos/python/httpie/tests/test_exit_status.py,"test_5xx_check_status_exits_5( httpbin )",67, 4, 0
repos/python/httpie/tests/test_binary.py,"test_binary_stdin( self , httpbin )",74, 12, 0
repos/python/httpie/tests/test_binary.py,"test_binary_file_path( self , httpbin )",70, 8, 0
repos/python/httpie/tests/test_binary.py,"test_binary_file_form( self , httpbin )",71, 8, 0
repos/python/httpie/tests/test_binary.py,"test_binary_suppresses_when_terminal( self , httpbin )",61, 4, 0
repos/python/httpie/tests/test_binary.py,"test_binary_suppresses_when_not_terminal_but_pretty( self , httpbin )",76, 4, 0
repos/python/httpie/tests/test_binary.py,"test_binary_included_and_correct_when_suitable( self , httpbin )",71, 4, 0
repos/python/httpie/tests/test_downloads.py,"__init__( self , url , headers = { } , status_code = 200 )",58, 4, 0
repos/python/httpie/tests/test_downloads.py,"test_Content_Range_parsing( self )",74, 8, 0
repos/python/httpie/tests/test_downloads.py,"test_Content_Disposition_parsing( self , header , expected_filename )",78, 8, 0
repos/python/httpie/tests/test_downloads.py,"test_filename_from_url( self )",51, 12, 0
repos/python/httpie/tests/test_downloads.py,"test_unique_filename( self , get_filename_max_length , orig_name , unique_on_attempt , expected )",60, 4, 0
repos/python/httpie/tests/test_downloads.py,"attempts.exists( filename )",56, 16, 0
repos/python/httpie/tests/test_downloads.py,"attempts( unique_on_attempt = 0 )",64, 12, 0
repos/python/httpie/tests/test_downloads.py,"test_actual_download( self , httpbin_both , httpbin )",71, 8, 0
repos/python/httpie/tests/test_downloads.py,"test_download_with_Content_Length( self , httpbin_both )",76, 8, 0
repos/python/httpie/tests/test_downloads.py,"test_download_no_Content_Length( self , httpbin_both )",76, 8, 0
repos/python/httpie/tests/test_downloads.py,"test_download_interrupted( self , httpbin_both )",76, 8, 0
repos/python/httpie/tests/test_config.py,"test_default_options( httpbin )",56, 4, 0
repos/python/httpie/tests/test_config.py,"test_default_options_overwrite( httpbin )",66, 4, 0
repos/python/httpie/tests/test_config.py,"test_migrate_implicit_content_type( )",51, 4, 0
repos/python/httpie/tests/test_config.py,"test_current_version( )",57, 4, 0
repos/python/httpie/tests/test_stream.py,"test_pretty_redirected_stream( httpbin )",70, 4, 0
repos/python/httpie/tests/test_stream.py,"test_encoded_stream( httpbin )",66, 8, 0
repos/python/httpie/tests/test_stream.py,"test_redirected_stream( httpbin )",66, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_default_headers_case_insensitive( httpbin )",60, 4, 0
repos/python/httpie/tests/test_defaults.py,"test_implicit_GET( self , httpbin )",42, 4, 0
repos/python/httpie/tests/test_defaults.py,"test_implicit_GET_with_headers( self , httpbin )",55, 4, 0
repos/python/httpie/tests/test_defaults.py,"test_implicit_POST_json( self , httpbin )",55, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_implicit_POST_form( self , httpbin )",61, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_implicit_POST_stdin( self , httpbin )",63, 12, 0
repos/python/httpie/tests/test_defaults.py,"test_GET_no_data_no_auto_headers( self , httpbin )",60, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_POST_no_data_no_auto_headers( self , httpbin )",77, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_POST_with_data_auto_JSON_headers( self , httpbin )",71, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_GET_with_data_auto_JSON_headers( self , httpbin )",75, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_POST_explicit_JSON_auto_JSON_accept( self , httpbin )",71, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_GET_explicit_JSON_explicit_headers( self , httpbin )",64, 4, 0
repos/python/httpie/tests/test_defaults.py,"test_POST_form_auto_Content_Type( self , httpbin )",73, 8, 0
repos/python/httpie/tests/test_defaults.py,"test_POST_form_Content_Type_override( self , httpbin )",61, 4, 0
repos/python/httpie/tests/test_defaults.py,"test_print_only_body_when_stdout_redirected_by_default( self , httpbin )",79, 4, 0
repos/python/httpie/tests/test_defaults.py,"test_print_overridable_when_stdout_redirected( self , httpbin )",70, 4, 0
repos/python/httpie/tests/utils.py,"mk_config_dir( )",56, 4, 0
repos/python/httpie/tests/utils.py,"add_auth( url , auth )",45, 4, 0
repos/python/httpie/tests/utils.py,"__init__( self , ** kwargs )",56, 8, 0
