File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/httpie/setup.py,"finalize_options( self )",7, 31, 8, 0
repos/python/httpie/setup.py,"run_tests( self )",3, 46, 8, 0
repos/python/httpie/setup.py,"long_description( )",3, 24, 4, 0
repos/python/httpie/extras/get-homebrew-formula-vars.py,"get_package_meta( package_name )",16, 69, 12, 0
repos/python/httpie/extras/get-homebrew-formula-vars.py,"main( )",16, 18, 8, 0
repos/python/httpie/tests/test_regressions.py,"test_Host_header_overwrite( httpbin )",11, 41, 4, 0
repos/python/httpie/tests/test_regressions.py,"test_output_devnull( httpbin )",6, 49, 4, 0
repos/python/httpie/tests/test_cli.py,"test_invalid_items( self )",4, 76, 12, 0
repos/python/httpie/tests/test_cli.py,"test_escape_separator( self )",21, 40, 8, 0
repos/python/httpie/tests/test_cli.py,"test_backslash_before_non_special_character_does_not_escape( self , string , key , sep , value )",2, 44, 4, 0
repos/python/httpie/tests/test_cli.py,"test_escape_longsep( self )",5, 47, 8, 0
repos/python/httpie/tests/test_cli.py,"test_valid_items( self )",45, 48, 8, 0
repos/python/httpie/tests/test_cli.py,"test_multiple_file_fields_with_same_field_name( self )",6, 51, 8, 0
repos/python/httpie/tests/test_cli.py,"test_multiple_text_fields_with_same_field_name( self )",11, 10, 8, 0
repos/python/httpie/tests/test_cli.py,"test_query_string_params_in_url( self , httpbin )",7, 40, 8, 0
repos/python/httpie/tests/test_cli.py,"test_query_string_params_items( self , httpbin )",7, 40, 8, 0
repos/python/httpie/tests/test_cli.py,"test_query_string_params_in_url_and_items_with_duplicates( self , httpbin )",2, 76, 66, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand( self )",3, 46, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_slash( self )",3, 47, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_port( self )",3, 51, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_path( self )",3, 51, 8, 0
repos/python/httpie/tests/test_cli.py,"test_expand_localhost_shorthand_with_port_and_slash( self )",3, 52, 8, 0
